split,accuracy,balanced_accuracy,macro_f1,weighted_f1,loss
train,0.3911719939117199,0.38531916119641885,0.3823647414272022,0.3835474346589717,1.8115165494892695
val,0.4251968503937008,0.4218795093795094,0.40344853768859085,0.4002987674884118,1.8182226419448853
test,0.2992125984251969,0.2794612794612794,0.24014831494670208,0.2513981848310017,2.4085707664489746
