epoch,train_loss,val_balanced_accuracy,val_accuracy
1,2.5631222271302336,0.20479797979797976,0.2125984251968504
2,2.238946810886377,0.2330176767676768,0.2440944881889764
3,2.0911967260833926,0.2082070707070707,0.2204724409448819
4,1.9957677555955164,0.24640151515151518,0.25984251968503935
5,1.9280948168973764,0.2518308080808081,0.25984251968503935
6,1.8766610350238677,0.27756132756132756,0.28346456692913385
7,1.8422736370400206,0.3081168831168831,0.31496062992125984
8,1.8199548886428323,0.3087481962481962,0.31496062992125984
9,1.8056390312708677,0.30874819624819627,0.31496062992125984
10,1.7862318518317817,0.3191648629148629,0.3228346456692913
11,1.7658089829362147,0.35881132756132755,0.36220472440944884
12,1.7502199464011228,0.3546446608946609,0.36220472440944884
13,1.7376707710631907,0.3477002164502165,0.3543307086614173
14,1.7282676890923372,0.3463113275613276,0.3543307086614173
15,1.7106240904313064,0.35672799422799417,0.36220472440944884
16,1.695225538728444,0.3303391053391053,0.33070866141732286
17,1.6892458055298805,0.33381132756132753,0.33070866141732286
18,1.6803490790783724,0.34075577200577206,0.33858267716535434
19,1.6679360487326822,0.353255772005772,0.3543307086614173
20,1.6552166071475187,0.35117243867243864,0.3543307086614173
21,1.649469109430705,0.33381132756132753,0.33858267716535434
22,1.6425852895327355,0.3525613275613275,0.3543307086614173
23,1.6320783634708351,0.3303391053391053,0.33070866141732286
24,1.623337769254339,0.3268668831168831,0.3228346456692913
25,1.6189058197143416,0.33936688311688307,0.33858267716535434
26,1.6124444280040864,0.3463113275613275,0.3464566929133858
27,1.6063007032853103,0.3755140692640693,0.3700787401574803
28,1.6070192861774741,0.3928751803751804,0.3937007874015748
29,1.603159714144296,0.3636093073593074,0.3700787401574803
30,1.593648385965298,0.3546446608946609,0.36220472440944884
31,1.5852879559794155,0.3365891053391053,0.33858267716535434
32,1.5828160363245227,0.3525613275613275,0.3543307086614173
33,1.5798372999173866,0.3401244588744588,0.33858267716535434
34,1.574027692164823,0.39786255411255406,0.3937007874015748
35,1.5658489044761368,0.38952922077922075,0.3858267716535433
36,1.5592631504415921,0.3985930735930736,0.3937007874015748
37,1.5558765449843268,0.4138708513708514,0.4094488188976378
38,1.552644394485555,0.4055375180375181,0.4015748031496063
39,1.5452983461014211,0.38539862914862916,0.3779527559055118
40,1.540562647118416,0.36730699855699855,0.36220472440944884
41,1.5402742843831148,0.3728625541125541,0.3700787401574803
42,1.5384719529652704,0.43060064935064934,0.4251968503937008
43,1.5317678923294786,0.42226731601731604,0.41732283464566927
44,1.5287655742563977,0.3826839826839827,0.3779527559055118
45,1.5310314229634254,0.41387085137085133,0.4094488188976378
46,1.5223367892806752,0.41387085137085133,0.4094488188976378
47,1.5125136555057683,0.3936327561327561,0.3937007874015748
48,1.5128683757201358,0.3386724386724387,0.33858267716535434
49,1.5201861459189172,0.35553751803751804,0.3464566929133858
50,1.5180083669302489,0.3847041847041847,0.3779527559055118
