cv_mode,method,rotation,seed,split,user,n,accuracy,balanced_accuracy,macro_f1
cross_user,raw250_linear,3,53,train,user_1,60,1.0,1.0,1.0
cross_user,raw250_linear,3,53,train,user_10,33,1.0,1.0,1.0
cross_user,raw250_linear,3,53,train,user_12,42,1.0,1.0,1.0
cross_user,raw250_linear,3,53,train,user_13,32,1.0,1.0,1.0
cross_user,raw250_linear,3,53,train,user_15,42,1.0,1.0,1.0
cross_user,raw250_linear,3,53,train,user_18,30,1.0,1.0,1.0
cross_user,raw250_linear,3,53,train,user_2,44,1.0,1.0,1.0
cross_user,raw250_linear,3,53,train,user_20,42,1.0,1.0,1.0
cross_user,raw250_linear,3,53,train,user_5,42,1.0,1.0,1.0
cross_user,raw250_linear,3,53,train,user_6,50,1.0,1.0,1.0
cross_user,raw250_linear,3,53,train,user_7,55,1.0,1.0,1.0
cross_user,raw250_linear,3,53,train,user_8,43,1.0,1.0,1.0
cross_user,raw250_linear,3,53,val,user_11,44,0.5,0.5208333333333334,0.45180328930328933
cross_user,raw250_linear,3,53,val,user_19,42,0.6428571428571429,0.6666666666666666,0.6417508417508417
cross_user,raw250_linear,3,53,val,user_4,44,0.7727272727272727,0.7916666666666666,0.7546296296296297
cross_user,raw250_linear,3,53,val,user_9,40,0.4,0.4236111111111111,0.33461399711399714
cross_user,raw250_linear,3,53,test,user_0,22,0.36363636363636365,0.4166666666666667,0.38611111111111107
cross_user,raw250_linear,3,53,test,user_14,41,0.7073170731707317,0.6875,0.6566137566137566
cross_user,raw250_linear,3,53,test,user_16,42,0.6666666666666666,0.6388888888888888,0.5979797979797981
cross_user,raw250_linear,3,53,test,user_3,63,0.7142857142857143,0.7222222222222223,0.6954184704184704
