cv_mode,method,rotation,seed,split,user,n,accuracy,balanced_accuracy,macro_f1
cross_user,a2_234x234,4,71,train,user_0,22,0.6818181818181818,0.6666666666666666,0.6166666666666667
cross_user,a2_234x234,4,71,train,user_10,33,0.9090909090909091,0.9027777777777777,0.8978174603174603
cross_user,a2_234x234,4,71,train,user_12,42,0.8809523809523809,0.875,0.8765211640211641
cross_user,a2_234x234,4,71,train,user_13,32,0.90625,0.9027777777777777,0.9061507936507937
cross_user,a2_234x234,4,71,train,user_14,41,0.9512195121951219,0.9375,0.9417989417989419
cross_user,a2_234x234,4,71,train,user_16,42,1.0,1.0,1.0
cross_user,a2_234x234,4,71,train,user_2,44,1.0,1.0,1.0
cross_user,a2_234x234,4,71,train,user_3,63,0.9682539682539683,0.9625,0.9648499648499649
cross_user,a2_234x234,4,71,train,user_5,42,0.7857142857142857,0.8125,0.8029761904761904
cross_user,a2_234x234,4,71,train,user_6,50,0.9,0.9013888888888889,0.895628908128908
cross_user,a2_234x234,4,71,train,user_7,55,0.7818181818181819,0.7763888888888889,0.7671088171088171
cross_user,a2_234x234,4,71,train,user_8,43,0.9534883720930233,0.9375,0.9417989417989419
cross_user,a2_234x234,4,71,val,user_1,60,0.65,0.6069444444444444,0.5964886964886965
cross_user,a2_234x234,4,71,val,user_15,42,0.5476190476190477,0.5763888888888888,0.5089285714285715
cross_user,a2_234x234,4,71,val,user_18,30,0.2,0.2222222222222222,0.16296296296296295
cross_user,a2_234x234,4,71,val,user_20,42,0.47619047619047616,0.4583333333333333,0.4438949938949939
cross_user,a2_234x234,4,71,test,user_11,44,0.3181818181818182,0.3333333333333333,0.33176406926406926
cross_user,a2_234x234,4,71,test,user_19,42,0.6428571428571429,0.625,0.6096380471380473
cross_user,a2_234x234,4,71,test,user_4,44,0.5909090909090909,0.5972222222222222,0.5517857142857142
cross_user,a2_234x234,4,71,test,user_9,40,0.3,0.3055555555555555,0.2918650793650794
