cv_mode,method,rotation,seed,split,user,n,accuracy,balanced_accuracy,macro_f1
within_user,a2_234x234,2,37,train,user_0,13,0.3076923076923077,0.4,0.24166666666666664
within_user,a2_234x234,2,37,train,user_1,36,0.7777777777777778,0.7847222222222222,0.7731962481962481
within_user,a2_234x234,2,37,train,user_10,19,0.47368421052631576,0.45454545454545453,0.43636363636363645
within_user,a2_234x234,2,37,train,user_11,26,0.2692307692307692,0.27777777777777773,0.23888888888888885
within_user,a2_234x234,2,37,train,user_12,25,0.52,0.5,0.44027777777777777
within_user,a2_234x234,2,37,train,user_13,19,0.42105263157894735,0.3333333333333333,0.24166666666666667
within_user,a2_234x234,2,37,train,user_14,25,0.48,0.4444444444444444,0.36706349206349204
within_user,a2_234x234,2,37,train,user_15,24,0.375,0.4090909090909091,0.27878787878787875
within_user,a2_234x234,2,37,train,user_16,26,0.4230769230769231,0.45833333333333326,0.3453703703703704
within_user,a2_234x234,2,37,train,user_18,18,0.3333333333333333,0.303030303030303,0.2424242424242424
within_user,a2_234x234,2,37,train,user_19,26,0.6153846153846154,0.5757575757575757,0.48287037037037034
within_user,a2_234x234,2,37,train,user_2,27,0.5925925925925926,0.5833333333333334,0.501388888888889
within_user,a2_234x234,2,37,train,user_20,26,0.38461538461538464,0.375,0.32222222222222224
within_user,a2_234x234,2,37,train,user_3,39,0.46153846153846156,0.4375,0.360991785991786
within_user,a2_234x234,2,37,train,user_4,26,0.6538461538461539,0.6249999999999999,0.5492063492063491
within_user,a2_234x234,2,37,train,user_5,25,0.44,0.47222222222222215,0.4059523809523809
within_user,a2_234x234,2,37,train,user_6,30,0.6666666666666666,0.6944444444444443,0.6416666666666667
within_user,a2_234x234,2,37,train,user_7,33,0.2727272727272727,0.25,0.17380952380952383
within_user,a2_234x234,2,37,train,user_8,26,0.5,0.5138888888888888,0.43156565656565654
within_user,a2_234x234,2,37,train,user_9,24,0.2916666666666667,0.3194444444444444,0.21085858585858586
within_user,a2_234x234,2,37,val,user_0,4,0.5,0.5,0.3333333333333333
within_user,a2_234x234,2,37,val,user_1,12,0.5,0.5,0.3939393939393939
within_user,a2_234x234,2,37,val,user_10,7,0.42857142857142855,0.42857142857142855,0.2708333333333333
within_user,a2_234x234,2,37,val,user_11,9,0.1111111111111111,0.1111111111111111,0.09090909090909091
within_user,a2_234x234,2,37,val,user_12,9,0.4444444444444444,0.4444444444444444,0.3333333333333333
within_user,a2_234x234,2,37,val,user_13,7,0.5714285714285714,0.5714285714285714,0.4444444444444444
within_user,a2_234x234,2,37,val,user_14,8,0.25,0.25,0.18518518518518517
within_user,a2_234x234,2,37,val,user_15,9,0.1111111111111111,0.1111111111111111,0.05
within_user,a2_234x234,2,37,val,user_16,8,0.625,0.625,0.5208333333333333
within_user,a2_234x234,2,37,val,user_18,6,0.16666666666666666,0.16666666666666666,0.1111111111111111
within_user,a2_234x234,2,37,val,user_19,8,0.5,0.5,0.3333333333333333
within_user,a2_234x234,2,37,val,user_2,9,0.3333333333333333,0.3333333333333333,0.3
within_user,a2_234x234,2,37,val,user_20,8,0.25,0.25,0.12962962962962962
within_user,a2_234x234,2,37,val,user_3,12,0.16666666666666666,0.18181818181818182,0.16666666666666666
within_user,a2_234x234,2,37,val,user_4,9,0.3333333333333333,0.3333333333333333,0.3
within_user,a2_234x234,2,37,val,user_5,9,0.3333333333333333,0.3333333333333333,0.19444444444444442
within_user,a2_234x234,2,37,val,user_6,10,0.5,0.5,0.4333333333333333
within_user,a2_234x234,2,37,val,user_7,11,0.09090909090909091,0.09090909090909091,0.027777777777777776
within_user,a2_234x234,2,37,val,user_8,8,0.75,0.75,0.6875
within_user,a2_234x234,2,37,val,user_9,8,0.625,0.625,0.48148148148148145
within_user,a2_234x234,2,37,test,user_0,5,0.2,0.2,0.125
within_user,a2_234x234,2,37,test,user_1,12,0.4166666666666667,0.45454545454545453,0.34722222222222215
within_user,a2_234x234,2,37,test,user_10,7,0.42857142857142855,0.42857142857142855,0.2952380952380952
within_user,a2_234x234,2,37,test,user_11,9,0.1111111111111111,0.1111111111111111,0.1111111111111111
within_user,a2_234x234,2,37,test,user_12,8,0.25,0.25,0.2
within_user,a2_234x234,2,37,test,user_13,6,0.16666666666666666,0.16666666666666666,0.1111111111111111
within_user,a2_234x234,2,37,test,user_14,8,0.125,0.125,0.05555555555555555
within_user,a2_234x234,2,37,test,user_15,9,0.2222222222222222,0.2222222222222222,0.1515151515151515
within_user,a2_234x234,2,37,test,user_16,8,0.5,0.5,0.4166666666666667
within_user,a2_234x234,2,37,test,user_18,6,0.0,0.0,0.0
within_user,a2_234x234,2,37,test,user_19,8,0.375,0.375,0.26666666666666666
within_user,a2_234x234,2,37,test,user_2,8,0.125,0.125,0.04
within_user,a2_234x234,2,37,test,user_20,8,0.625,0.625,0.5185185185185185
within_user,a2_234x234,2,37,test,user_3,12,0.5833333333333334,0.6363636363636364,0.5151515151515151
within_user,a2_234x234,2,37,test,user_4,9,0.5555555555555556,0.5555555555555556,0.4333333333333333
within_user,a2_234x234,2,37,test,user_5,8,0.125,0.125,0.07407407407407407
within_user,a2_234x234,2,37,test,user_6,10,0.3,0.3,0.19696969696969696
within_user,a2_234x234,2,37,test,user_7,11,0.36363636363636365,0.36363636363636365,0.22727272727272727
within_user,a2_234x234,2,37,test,user_8,9,0.6666666666666666,0.6666666666666666,0.6000000000000001
within_user,a2_234x234,2,37,test,user_9,8,0.125,0.125,0.06666666666666667
