case,seed,layer,representation,affine,no_bias,affine_minus_no_bias_pp
C0_a2_2layer,11,L1,fixed250,0.5234411421911421,0.5356303418803419,-1.2189199689199737
C0_a2_2layer,11,L1,wholecount,0.5772047397047396,0.5304618992118992,4.674284049284038
C0_a2_2layer,11,L2,fixed250,0.5716290653790653,0.5802350427350427,-0.8605977355977346
C0_a2_2layer,11,L2,wholecount,0.5758297258297258,0.5357656232656232,4.006410256410264
C0_a2_2layer,23,L1,fixed250,0.5359772172272171,0.5445970695970695,-0.861985236985241
C0_a2_2layer,23,L1,wholecount,0.5981664169164168,0.5553515928515927,4.281482406482406
C0_a2_2layer,23,L2,fixed250,0.6055305805305805,0.5971972471972471,0.8333333333333415
C0_a2_2layer,23,L2,wholecount,0.5878697691197691,0.5069597069597068,8.091006216006225
C0_a2_2layer,37,L1,fixed250,0.5739600677100677,0.5744179431679431,-0.045787545787545625
C0_a2_2layer,37,L1,wholecount,0.6255293317793318,0.6087024087024088,1.6826923076923017
C0_a2_2layer,37,L2,fixed250,0.5611131923631923,0.5642017704517704,-0.3088578088578098
C0_a2_2layer,37,L2,wholecount,0.5951208513708514,0.5802190864690865,1.490176490176487
C1_frozen_a2_train_l3,11,L1,fixed250,0.5234411421911421,0.5356303418803419,-1.2189199689199737
C1_frozen_a2_train_l3,11,L1,wholecount,0.5772047397047396,0.5304618992118992,4.674284049284038
C1_frozen_a2_train_l3,11,L2,fixed250,0.5716290653790653,0.5802350427350427,-0.8605977355977346
C1_frozen_a2_train_l3,11,L2,wholecount,0.5758297258297258,0.5357656232656232,4.006410256410264
C1_frozen_a2_train_l3,11,L3,fixed250,0.5515602453102453,0.5567321567321567,-0.5171911421911424
C1_frozen_a2_train_l3,11,L3,wholecount,0.5145333832833833,0.5021346708846709,1.2398712398712375
C1_frozen_a2_train_l3,23,L1,fixed250,0.5359772172272171,0.5445970695970695,-0.861985236985241
C1_frozen_a2_train_l3,23,L1,wholecount,0.5981664169164168,0.5553515928515927,4.281482406482406
C1_frozen_a2_train_l3,23,L2,fixed250,0.6055305805305805,0.5971972471972471,0.8333333333333415
C1_frozen_a2_train_l3,23,L2,wholecount,0.5878697691197691,0.5069597069597068,8.091006216006225
C1_frozen_a2_train_l3,23,L3,fixed250,0.5396575646575646,0.5349227161727161,0.47348484848485084
C1_frozen_a2_train_l3,23,L3,wholecount,0.5628718503718503,0.5447170884670883,1.8154761904761951
C1_frozen_a2_train_l3,37,L1,fixed250,0.5739600677100677,0.5744179431679431,-0.045787545787545625
C1_frozen_a2_train_l3,37,L1,wholecount,0.6255293317793318,0.6087024087024088,1.6826923076923017
C1_frozen_a2_train_l3,37,L2,fixed250,0.5611131923631923,0.5642017704517704,-0.3088578088578098
C1_frozen_a2_train_l3,37,L2,wholecount,0.5951208513708514,0.5802190864690865,1.490176490176487
C1_frozen_a2_train_l3,37,L3,fixed250,0.49406080031080024,0.5411817349317348,-4.712093462093458
C1_frozen_a2_train_l3,37,L3,wholecount,0.5246482683982683,0.4896346708846709,3.5013597513597396
C2_c1_init_e2e_3layer,11,L1,fixed250,0.5369692807192806,0.5356303418803419,0.13389388389387635
C2_c1_init_e2e_3layer,11,L1,wholecount,0.5707944832944832,0.5304618992118992,4.0332584082583995
C2_c1_init_e2e_3layer,11,L2,fixed250,0.5716290653790653,0.5802350427350427,-0.8605977355977346
C2_c1_init_e2e_3layer,11,L2,wholecount,0.5758297258297258,0.5417180042180041,3.4111721611721713
C2_c1_init_e2e_3layer,11,L3,fixed250,0.5515602453102453,0.5567321567321567,-0.5171911421911424
C2_c1_init_e2e_3layer,11,L3,wholecount,0.5323905261405261,0.5021346708846709,3.025585525585517
C2_c1_init_e2e_3layer,23,L1,fixed250,0.52135989010989,0.5574938949938949,-3.6134004884004867
C2_c1_init_e2e_3layer,23,L1,wholecount,0.60620004995005,0.5354360916860916,7.0763958263958315
C2_c1_init_e2e_3layer,23,L2,fixed250,0.5860209235209234,0.5742445054945055,1.1776418026417934
C2_c1_init_e2e_3layer,23,L2,wholecount,0.6073502886002886,0.5937992562992562,1.3551032301032384
C2_c1_init_e2e_3layer,23,L3,fixed250,0.5727924852924853,0.5967372904872904,-2.394480519480513
C2_c1_init_e2e_3layer,23,L3,wholecount,0.5254009879009879,0.5444215506715506,-1.9020562770562743
C2_c1_init_e2e_3layer,37,L1,fixed250,0.5870303307803307,0.5744179431679431,1.2612387612387588
C2_c1_init_e2e_3layer,37,L1,wholecount,0.5912580475080474,0.5597416472416472,3.1516400266400235
C2_c1_init_e2e_3layer,37,L2,fixed250,0.5541687479187478,0.5603556166056166,-0.6186868686868796
C2_c1_init_e2e_3layer,37,L2,wholecount,0.5261065323565323,0.5336822899322898,-0.7575757575757569
C2_c1_init_e2e_3layer,37,L3,fixed250,0.5332993395493394,0.5770222832722832,-4.372294372294383
C2_c1_init_e2e_3layer,37,L3,wholecount,0.5190386002886003,0.5277798590298589,-0.874125874125864
