case,seed,architecture,training_scope,best_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
C0_a2_2layer,11,234x234,reused_exp7.3_A2,94,0.9316703490044639,0.5236531986531987,0.5306318681318681,0.547945205479452,0.518542025196482
C0_a2_2layer,23,234x234,reused_exp7.3_A2,89,0.9174331048696077,0.5722643097643098,0.5961822899322898,0.6027397260273972,0.5890452140452139
C0_a2_2layer,37,234x234,reused_exp7.3_A2,90,0.9174871329830127,0.566576479076479,0.5666909479409479,0.5753424657534246,0.5566508822296506
C1_frozen_a2_train_l3,11,234x234x234,W3_only,9,0.8667437603707863,0.544059644059644,0.4795045232545232,0.5,0.45991391376589014
C1_frozen_a2_train_l3,23,234x234x234,W3_only,47,0.9458032892488113,0.5636063011063012,0.536383755133755,0.541095890410959,0.521351822952354
C1_frozen_a2_train_l3,37,234x234x234,W3_only,10,0.8361931778327838,0.5166786916786916,0.4105262792762792,0.4246575342465753,0.3910267922761308
C2_c1_init_e2e_3layer,11,234x234x234,full_e2e_from_C1,0,0.8667437603707863,0.544059644059644,0.4795045232545232,0.5,0.45991391376589014
C2_c1_init_e2e_3layer,23,234x234x234,full_e2e_from_C1,18,0.9774115792884738,0.5708814333814334,0.530893412143412,0.541095890410959,0.5228638607205879
C2_c1_init_e2e_3layer,37,234x234x234,full_e2e_from_C1,58,0.9873795616031543,0.5802669552669553,0.5021617271617271,0.5136986301369864,0.48521141673672546
