case,seed,representation,bias_mode,L1,L2,L3,L3_minus_L2_pp
C1_frozen_a2_train_l3,11,fixed250,affine,0.5234411421911421,0.5716290653790653,0.5515602453102453,-2.006882006882005
C1_frozen_a2_train_l3,11,fixed250,no_bias,0.5356303418803419,0.5802350427350427,0.5567321567321567,-2.350288600288597
C1_frozen_a2_train_l3,11,wholecount,affine,0.5772047397047396,0.5758297258297258,0.5145333832833833,-6.129634254634253
C1_frozen_a2_train_l3,11,wholecount,no_bias,0.5304618992118992,0.5357656232656232,0.5021346708846709,-3.363095238095226
C1_frozen_a2_train_l3,23,fixed250,affine,0.5359772172272171,0.6055305805305805,0.5396575646575646,-6.587301587301586
C1_frozen_a2_train_l3,23,fixed250,no_bias,0.5445970695970695,0.5971972471972471,0.5349227161727161,-6.2274531024530955
C1_frozen_a2_train_l3,23,wholecount,affine,0.5981664169164168,0.5878697691197691,0.5628718503718503,-2.499791874791879
C1_frozen_a2_train_l3,23,wholecount,no_bias,0.5553515928515927,0.5069597069597068,0.5447170884670883,3.7757381507381504
C1_frozen_a2_train_l3,37,fixed250,affine,0.5739600677100677,0.5611131923631923,0.49406080031080024,-6.705239205239211
C1_frozen_a2_train_l3,37,fixed250,no_bias,0.5744179431679431,0.5642017704517704,0.5411817349317348,-2.302003552003562
C1_frozen_a2_train_l3,37,wholecount,affine,0.6255293317793318,0.5951208513708514,0.5246482683982683,-7.047258297258308
C1_frozen_a2_train_l3,37,wholecount,no_bias,0.6087024087024088,0.5802190864690865,0.4896346708846709,-9.05844155844156
C2_c1_init_e2e_3layer,11,fixed250,affine,0.5369692807192806,0.5716290653790653,0.5515602453102453,-2.006882006882005
C2_c1_init_e2e_3layer,11,fixed250,no_bias,0.5356303418803419,0.5802350427350427,0.5567321567321567,-2.350288600288597
C2_c1_init_e2e_3layer,11,wholecount,affine,0.5707944832944832,0.5758297258297258,0.5323905261405261,-4.343919968919973
C2_c1_init_e2e_3layer,11,wholecount,no_bias,0.5304618992118992,0.5417180042180041,0.5021346708846709,-3.9583333333333193
C2_c1_init_e2e_3layer,23,fixed250,affine,0.52135989010989,0.5860209235209234,0.5727924852924853,-1.322843822843811
C2_c1_init_e2e_3layer,23,fixed250,no_bias,0.5574938949938949,0.5742445054945055,0.5967372904872904,2.2492784992784953
C2_c1_init_e2e_3layer,23,wholecount,affine,0.60620004995005,0.6073502886002886,0.5254009879009879,-8.194930069930074
C2_c1_init_e2e_3layer,23,wholecount,no_bias,0.5354360916860916,0.5937992562992562,0.5444215506715506,-4.93777056277056
C2_c1_init_e2e_3layer,37,fixed250,affine,0.5870303307803307,0.5541687479187478,0.5332993395493394,-2.0869408369408426
C2_c1_init_e2e_3layer,37,fixed250,no_bias,0.5744179431679431,0.5603556166056166,0.5770222832722832,1.6666666666666607
C2_c1_init_e2e_3layer,37,wholecount,affine,0.5912580475080474,0.5261065323565323,0.5190386002886003,-0.7067932067931992
C2_c1_init_e2e_3layer,37,wholecount,no_bias,0.5597416472416472,0.5336822899322898,0.5277798590298589,-0.5902430902430922
