case,seed,layer,bias_mode,fixed250,wholecount,fixed250_minus_wholecount_pp
C0_a2_2layer,11,L1,affine,0.5234411421911421,0.5772047397047396,-5.376359751359749
C0_a2_2layer,11,L1,no_bias,0.5356303418803419,0.5304618992118992,0.516844266844263
C0_a2_2layer,11,L2,affine,0.5716290653790653,0.5758297258297258,-0.4200660450660476
C0_a2_2layer,11,L2,no_bias,0.5802350427350427,0.5357656232656232,4.446941946941951
C0_a2_2layer,23,L1,affine,0.5359772172272171,0.5981664169164168,-6.218919968919967
C0_a2_2layer,23,L1,no_bias,0.5445970695970695,0.5553515928515927,-1.0754523254523196
C0_a2_2layer,23,L2,affine,0.6055305805305805,0.5878697691197691,1.766081141081144
C0_a2_2layer,23,L2,no_bias,0.5971972471972471,0.5069597069597068,9.023754023754027
C0_a2_2layer,37,L1,affine,0.5739600677100677,0.6255293317793318,-5.156926406926409
C0_a2_2layer,37,L1,no_bias,0.5744179431679431,0.6087024087024088,-3.4284465534465625
C0_a2_2layer,37,L2,affine,0.5611131923631923,0.5951208513708514,-3.400765900765901
C0_a2_2layer,37,L2,no_bias,0.5642017704517704,0.5802190864690865,-1.6017316017316041
C1_frozen_a2_train_l3,11,L1,affine,0.5234411421911421,0.5772047397047396,-5.376359751359749
C1_frozen_a2_train_l3,11,L1,no_bias,0.5356303418803419,0.5304618992118992,0.516844266844263
C1_frozen_a2_train_l3,11,L2,affine,0.5716290653790653,0.5758297258297258,-0.4200660450660476
C1_frozen_a2_train_l3,11,L2,no_bias,0.5802350427350427,0.5357656232656232,4.446941946941951
C1_frozen_a2_train_l3,11,L3,affine,0.5515602453102453,0.5145333832833833,3.7026862026862006
C1_frozen_a2_train_l3,11,L3,no_bias,0.5567321567321567,0.5021346708846709,5.4597485847485805
C1_frozen_a2_train_l3,23,L1,affine,0.5359772172272171,0.5981664169164168,-6.218919968919967
C1_frozen_a2_train_l3,23,L1,no_bias,0.5445970695970695,0.5553515928515927,-1.0754523254523196
C1_frozen_a2_train_l3,23,L2,affine,0.6055305805305805,0.5878697691197691,1.766081141081144
C1_frozen_a2_train_l3,23,L2,no_bias,0.5971972471972471,0.5069597069597068,9.023754023754027
C1_frozen_a2_train_l3,23,L3,affine,0.5396575646575646,0.5628718503718503,-2.321428571428563
C1_frozen_a2_train_l3,23,L3,no_bias,0.5349227161727161,0.5447170884670883,-0.9794372294372189
C1_frozen_a2_train_l3,37,L1,affine,0.5739600677100677,0.6255293317793318,-5.156926406926409
C1_frozen_a2_train_l3,37,L1,no_bias,0.5744179431679431,0.6087024087024088,-3.4284465534465625
C1_frozen_a2_train_l3,37,L2,affine,0.5611131923631923,0.5951208513708514,-3.400765900765901
C1_frozen_a2_train_l3,37,L2,no_bias,0.5642017704517704,0.5802190864690865,-1.6017316017316041
C1_frozen_a2_train_l3,37,L3,affine,0.49406080031080024,0.5246482683982683,-3.058746808746804
C1_frozen_a2_train_l3,37,L3,no_bias,0.5411817349317348,0.4896346708846709,5.154706404706394
C2_c1_init_e2e_3layer,11,L1,affine,0.5369692807192806,0.5707944832944832,-3.3825202575202606
C2_c1_init_e2e_3layer,11,L1,no_bias,0.5356303418803419,0.5304618992118992,0.516844266844263
C2_c1_init_e2e_3layer,11,L2,affine,0.5716290653790653,0.5758297258297258,-0.4200660450660476
C2_c1_init_e2e_3layer,11,L2,no_bias,0.5802350427350427,0.5417180042180041,3.851703851703858
C2_c1_init_e2e_3layer,11,L3,affine,0.5515602453102453,0.5323905261405261,1.9169719169719213
C2_c1_init_e2e_3layer,11,L3,no_bias,0.5567321567321567,0.5021346708846709,5.4597485847485805
C2_c1_init_e2e_3layer,23,L1,affine,0.52135989010989,0.60620004995005,-8.484015984015992
C2_c1_init_e2e_3layer,23,L1,no_bias,0.5574938949938949,0.5354360916860916,2.205780330780327
C2_c1_init_e2e_3layer,23,L2,affine,0.5860209235209234,0.6073502886002886,-2.1329365079365226
C2_c1_init_e2e_3layer,23,L2,no_bias,0.5742445054945055,0.5937992562992562,-1.9554750804750776
C2_c1_init_e2e_3layer,23,L3,affine,0.5727924852924853,0.5254009879009879,4.73914973914974
C2_c1_init_e2e_3layer,23,L3,no_bias,0.5967372904872904,0.5444215506715506,5.231573981573979
C2_c1_init_e2e_3layer,37,L1,affine,0.5870303307803307,0.5912580475080474,-0.42277167277167127
C2_c1_init_e2e_3layer,37,L1,no_bias,0.5744179431679431,0.5597416472416472,1.4676295926295935
C2_c1_init_e2e_3layer,37,L2,affine,0.5541687479187478,0.5261065323565323,2.8062215562215553
C2_c1_init_e2e_3layer,37,L2,no_bias,0.5603556166056166,0.5336822899322898,2.667332667332678
C2_c1_init_e2e_3layer,37,L3,affine,0.5332993395493394,0.5190386002886003,1.426073926073912
C2_c1_init_e2e_3layer,37,L3,no_bias,0.5770222832722832,0.5277798590298589,4.924242424242431
