bias_mode,case,feature_dim,fit_intercept,layer,normalization,representation,scaler_with_mean,seed,selected_C,test_accuracy,test_balanced_accuracy,test_macro_f1,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1
affine,C0_a2_2layer,128,True,L1,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,11,1.0,0.589041095890411,0.5772047397047396,0.5706377231925578,0.9586919104991394,0.958034309862185,0.9601729816029415,0.5317460317460317,0.5173039923039923,0.5141578791578791
no_bias,C0_a2_2layer,128,False,L1,train_only_scale_no_centering,wholecount,False,11,1.0,0.541095890410959,0.5304618992118992,0.5208667713053677,0.9655765920826161,0.9661029424939894,0.966521149868615,0.5238095238095238,0.5196488696488696,0.5040159415028415
affine,C0_a2_2layer,2048,True,L1,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,11,1.0,0.5342465753424658,0.5234411421911421,0.5202819426212223,0.9965576592082617,0.996545584045584,0.996651896640988,0.5634920634920635,0.5550144300144301,0.57575785479794
no_bias,C0_a2_2layer,2048,False,L1,train_only_scale_no_centering,fixed250,False,11,0.01,0.547945205479452,0.5356303418803419,0.5263365910166736,0.9604130808950087,0.9613413409496464,0.9623638163579186,0.5793650793650794,0.5668831168831169,0.5775089937009442
affine,C0_a2_2layer,128,True,L2,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,11,0.01,0.5958904109589042,0.5758297258297258,0.5647219342648474,0.9328743545611016,0.9312395565165112,0.9341769235894811,0.5714285714285714,0.5579184704184704,0.5578608181389512
no_bias,C0_a2_2layer,128,False,L2,train_only_scale_no_centering,wholecount,False,11,10.0,0.541095890410959,0.5357656232656232,0.5266802561367779,0.9965576592082617,0.9967634489693312,0.9965909985581155,0.5396825396825397,0.5441859066859067,0.540528208175267
affine,C0_a2_2layer,2048,True,L2,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,11,0.01,0.589041095890411,0.5716290653790653,0.5583087341844147,0.9845094664371773,0.9831529280216821,0.98455832882428,0.5952380952380952,0.5859848484848486,0.5842567678952119
no_bias,C0_a2_2layer,2048,False,L2,train_only_scale_no_centering,fixed250,False,11,0.01,0.6027397260273972,0.5802350427350427,0.5637408451778794,0.9879518072289156,0.9885001549402216,0.9886009976066963,0.6031746031746031,0.5985209235209236,0.5984813509305095
affine,C0_a2_2layer,128,True,L1,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,23,0.1,0.6164383561643836,0.5981664169164168,0.5922747826304272,0.8726333907056799,0.8691019735990975,0.8784916522606957,0.5793650793650794,0.5606601731601731,0.5839346851509146
no_bias,C0_a2_2layer,128,False,L1,train_only_scale_no_centering,wholecount,False,23,0.1,0.5684931506849316,0.5553515928515927,0.546428678026751,0.882960413080895,0.8805704821733232,0.8832419857231066,0.5396825396825397,0.5218975468975469,0.5170185915412121
