variant,rotation,native_test_balanced_accuracy,lif_test_balanced_accuracy,native_test_action0_balanced_accuracy,native_test_action1_balanced_accuracy,lif_test_action0_balanced_accuracy,lif_test_action1_balanced_accuracy
masked_accel_reencode,0,0.4582325898502369,0.4020013483248777,0.45478395061728394,0.46908068783068785,0.4043981481481482,0.4115410052910053
masked_accel_reencode,1,0.5419439356939356,0.4778527028527028,0.5231481481481483,0.5645833333333333,0.4682539682539682,0.4904431216931217
masked_accel_reencode,2,0.31111612153278817,0.27511073031906363,0.3013888888888889,0.32192460317460314,0.2596230158730159,0.29497354497354494
masked_accel_reencode,3,0.46375152625152616,0.36731744335911,0.44343033509700175,0.49041005291005285,0.36688712522045847,0.36871693121693117
masked_accel_reencode,4,0.4255850630850631,0.36027421652421654,0.34920634920634913,0.5069444444444444,0.31828703703703703,0.4019510582010582
original,0,0.4737806515380045,0.43004864824717765,0.482253086419753,0.47083333333333327,0.45023148148148145,0.4177248677248677
original,1,0.4991589429089429,0.45987195674695674,0.49074074074074076,0.5100859788359787,0.43468915343915343,0.4880952380952381
original,2,0.31622725268558605,0.28133567821067823,0.283234126984127,0.34771825396825395,0.2749007936507937,0.28720238095238093
original,3,0.5326596628679963,0.48976945122778454,0.5103284832451499,0.5618386243386243,0.4674382716049383,0.517526455026455
original,4,0.45005977818477816,0.3951706857956858,0.3892195767195767,0.513558201058201,0.3525132275132275,0.4431216931216932
postencode_mask,0,0.5209007971875619,0.4463798524460289,0.48433641975308644,0.5647156084656085,0.4334104938271605,0.46527777777777785
postencode_mask,1,0.49067356254856254,0.47564195064195064,0.46990740740740744,0.5117063492063493,0.4836309523809524,0.46494708994708994
postencode_mask,2,0.37010882635882636,0.32508066778900113,0.3512896825396825,0.3895502645502645,0.3101190476190476,0.33994708994708994
postencode_mask,3,0.5521867792701126,0.45750237416904077,0.48412698412698413,0.638558201058201,0.39963624338624343,0.531084656084656
postencode_mask,4,0.45650310337810335,0.361492673992674,0.4072420634920635,0.5014880952380952,0.33548280423280424,0.3840939153439153
