contrast,left_variant,right_variant,rotation,seed,probe,test_ba_delta
D0_minus_D1,original,postencode_mask,0,11,input__events__whole_count,-0.023923482563188492
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,input__events__whole_count,-0.03997697563874042
D0_minus_D2,original,masked_accel_reencode,0,11,input__events__whole_count,-0.06390045820192891
D0_minus_D1,original,postencode_mask,0,11,input__events__fixed250_count,-0.02689351090086367
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,input__events__fixed250_count,0.12990795968737145
D0_minus_D2,original,masked_accel_reencode,0,11,input__events__fixed250_count,0.10301444878650778
D0_minus_D1,original,postencode_mask,0,11,l1__syn_current__whole_mean,0.0688514100278807
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l1__syn_current__whole_mean,-0.017009461127108272
D0_minus_D2,original,masked_accel_reencode,0,11,l1__syn_current__whole_mean,0.05184194890077243
D0_minus_D1,original,postencode_mask,0,11,l1__syn_current__fixed250_ordered_mean,-0.048154623154623266
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l1__syn_current__fixed250_ordered_mean,0.04155768659445147
D0_minus_D2,original,masked_accel_reencode,0,11,l1__syn_current__fixed250_ordered_mean,-0.0065969365601717955
D0_minus_D1,original,postencode_mask,0,11,l1__pre_reset__whole_mean,0.003486362493715478
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l1__pre_reset__whole_mean,0.02138109031491381
D0_minus_D2,original,masked_accel_reencode,0,11,l1__pre_reset__whole_mean,0.024867452808629287
D0_minus_D1,original,postencode_mask,0,11,l1__pre_reset__fixed250_ordered_mean,-0.05788655788655783
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l1__pre_reset__fixed250_ordered_mean,0.07797388477535527
D0_minus_D2,original,masked_accel_reencode,0,11,l1__pre_reset__fixed250_ordered_mean,0.02008732688879744
D0_minus_D1,original,postencode_mask,0,11,l1__spike__whole_mean,-0.077541820924174
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l1__spike__whole_mean,0.05514391654097539
D0_minus_D2,original,masked_accel_reencode,0,11,l1__spike__whole_mean,-0.022397904383198608
D0_minus_D1,original,postencode_mask,0,11,l1__spike__fixed250_ordered_mean,-0.0725374502948033
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l1__spike__fixed250_ordered_mean,0.011897395904748809
D0_minus_D2,original,masked_accel_reencode,0,11,l1__spike__fixed250_ordered_mean,-0.06064005439005449
D0_minus_D1,original,postencode_mask,0,11,l1__post_reset__whole_mean,-0.010834590246354803
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l1__post_reset__whole_mean,0.03502673796791439
D0_minus_D2,original,masked_accel_reencode,0,11,l1__post_reset__whole_mean,0.024192147721559587
D0_minus_D1,original,postencode_mask,0,11,l1__post_reset__fixed250_ordered_mean,-0.09220371132135863
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l1__post_reset__fixed250_ordered_mean,0.10492209995886492
D0_minus_D2,original,masked_accel_reencode,0,11,l1__post_reset__fixed250_ordered_mean,0.012718388637506295
D0_minus_D1,original,postencode_mask,0,11,l1__spike__whole_count,-0.02956887883358489
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l1__spike__whole_count,-0.009742647058823495
D0_minus_D2,original,masked_accel_reencode,0,11,l1__spike__whole_count,-0.03931152589240838
D0_minus_D1,original,postencode_mask,0,11,l1__spike__fixed250_count,-0.010780885780885874
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l1__spike__fixed250_count,-0.0016851204351203686
D0_minus_D2,original,masked_accel_reencode,0,11,l1__spike__fixed250_count,-0.012466006216006242
D0_minus_D1,original,postencode_mask,0,11,l2__syn_current__whole_mean,-0.04446615476027249
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l2__syn_current__whole_mean,0.0009364002011061912
D0_minus_D2,original,masked_accel_reencode,0,11,l2__syn_current__whole_mean,-0.0435297545591663
D0_minus_D1,original,postencode_mask,0,11,l2__syn_current__fixed250_ordered_mean,0.07051339183692118
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l2__syn_current__fixed250_ordered_mean,-0.014135843731431952
D0_minus_D2,original,masked_accel_reencode,0,11,l2__syn_current__fixed250_ordered_mean,0.05637754810548923
D0_minus_D1,original,postencode_mask,0,11,l2__pre_reset__whole_mean,-0.0512236333927511
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l2__pre_reset__whole_mean,0.006290849673202592
D0_minus_D2,original,masked_accel_reencode,0,11,l2__pre_reset__whole_mean,-0.04493278371954851
D0_minus_D1,original,postencode_mask,0,11,l2__pre_reset__fixed250_ordered_mean,0.1033942364824717
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l2__pre_reset__fixed250_ordered_mean,-0.032235391242744105
D0_minus_D2,original,masked_accel_reencode,0,11,l2__pre_reset__fixed250_ordered_mean,0.0711588452397276
D0_minus_D1,original,postencode_mask,0,11,l2__spike__whole_mean,-0.04347762123497406
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l2__spike__whole_mean,0.05428107431783896
D0_minus_D2,original,masked_accel_reencode,0,11,l2__spike__whole_mean,0.0108034530828649
D0_minus_D1,original,postencode_mask,0,11,l2__spike__fixed250_ordered_mean,0.046773447141094215
