contrast,left_variant,right_variant,rotation,seed,native_test_balanced_accuracy_delta,lif_test_balanced_accuracy_delta,native_test_action0_balanced_accuracy_delta,native_test_action1_balanced_accuracy_delta,lif_test_action0_balanced_accuracy_delta,lif_test_action1_balanced_accuracy_delta
D0_minus_D1,original,postencode_mask,0,11,-0.07320361419626104,-0.04979732277526394,-0.02546296296296302,-0.11636904761904765,-0.0532407407407407,-0.0363095238095239
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,0.0899328408519583,0.07925436491612958,0.036342592592592704,0.1425595238095238,0.05833333333333335,0.09970238095238088
D0_minus_D2,original,masked_accel_reencode,0,11,0.01672922665569726,0.02945704214086564,0.010879629629629683,0.026190476190476153,0.0050925925925926485,0.06339285714285697
D0_minus_D1,original,postencode_mask,0,23,0.007989253393665185,0.033548865350335966,0.025462962962962965,-0.0064484126984126755,0.0891203703703703,-0.021130952380952417
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,0.03534482266099914,-0.006627645230586454,0.042592592592592626,0.019841269841269882,-0.038888888888888806,0.015376984126984128
D0_minus_D2,original,masked_accel_reencode,0,23,0.04333407605466433,0.02692122011974951,0.06805555555555559,0.013392857142857206,0.05023148148148149,-0.005753968253968289
D0_minus_D1,original,postencode_mask,0,37,-0.07614607614607621,-0.032745155171625795,-0.006250000000000033,-0.15882936507936524,0.014583333333333337,-0.085218253968254
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,0.06272695849901738,0.06050879267791043,0.009722222222222299,0.12450396825396831,0.06759259259259259,0.04613095238095244
D0_minus_D2,original,masked_accel_reencode,0,37,-0.013419117647058831,0.027763637506284633,0.0034722222222222654,-0.034325396825396925,0.08217592592592593,-0.03908730158730156
D0_minus_D1,original,postencode_mask,1,11,-0.007318376068376153,-0.0724549755799756,0.02480158730158727,-0.03839285714285723,-0.11855158730158738,-0.0217261904761904
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,-0.015863997113997108,0.037285977910977985,-0.027281746031746046,-0.009126984126984206,0.02480158730158738,0.04811507936507925
D0_minus_D2,original,masked_accel_reencode,1,11,-0.02318237318237326,-0.035168997668997615,-0.002480158730158777,-0.047519841269841434,-0.09375,0.02638888888888885
D0_minus_D1,original,postencode_mask,1,23,0.02617694805194809,0.010885989010989028,1.1102230246251565e-16,0.05535714285714277,-0.018353174603174538,0.042956349206349165
D1_minus_D2,postencode_mask,masked_accel_reencode,1,23,-0.0576659451659452,-0.027253302253302303,-0.02430555555555558,-0.09523809523809523,0.00694444444444442,-0.06626984126984126
D0_minus_D2,original,masked_accel_reencode,1,23,-0.03148899711399711,-0.016367313242313275,-0.02430555555555547,-0.03988095238095246,-0.011408730158730118,-0.02331349206349209
D0_minus_D1,original,postencode_mask,1,37,0.006597569097569089,0.014259004884004889,0.03769841269841262,-0.02182539682539686,-0.009920634920634941,0.0482142857142856
D1_minus_D2,postencode_mask,masked_accel_reencode,1,37,-0.08028117715617711,-0.01666493228993221,-0.10813492063492058,-0.0542658730158731,0.01438492063492064,-0.05833333333333324
D0_minus_D2,original,masked_accel_reencode,1,37,-0.07368360805860802,-0.0024059274059273217,-0.07043650793650796,-0.07609126984126996,0.004464285714285698,-0.010119047619047639
