contrast,rotation,probe,test_ba_delta
D0_minus_D2,1,l1__post_reset__whole_mean,-0.01966239778739774
D0_minus_D1,1,l1__post_reset__fixed250_ordered_mean,-0.06583497520997528
D1_minus_D2,1,l1__post_reset__fixed250_ordered_mean,0.020916120916120978
D0_minus_D2,1,l1__post_reset__fixed250_ordered_mean,-0.0449188542938543
D0_minus_D1,1,l1__spike__whole_count,-0.028768916268916294
D1_minus_D2,1,l1__spike__whole_count,0.014334508084508072
D0_minus_D2,1,l1__spike__whole_count,-0.01443440818440822
D0_minus_D1,1,l1__spike__fixed250_count,-0.01808122433122424
D1_minus_D2,1,l1__spike__fixed250_count,0.019676504051504024
D0_minus_D2,1,l1__spike__fixed250_count,0.0015952797202797853
D0_minus_D1,1,l2__syn_current__whole_mean,0.008752127502127505
D1_minus_D2,1,l2__syn_current__whole_mean,-0.03560559810559812
D0_minus_D2,1,l2__syn_current__whole_mean,-0.026853470603470615
D0_minus_D1,1,l2__syn_current__fixed250_ordered_mean,-0.0260427072927073
D1_minus_D2,1,l2__syn_current__fixed250_ordered_mean,0.07492599992599991
D0_minus_D2,1,l2__syn_current__fixed250_ordered_mean,0.04888329263329261
D0_minus_D1,1,l2__pre_reset__whole_mean,0.020608326858326864
D1_minus_D2,1,l2__pre_reset__whole_mean,-0.04309290246790246
D0_minus_D2,1,l2__pre_reset__whole_mean,-0.0224845756095756
D0_minus_D1,1,l2__pre_reset__fixed250_ordered_mean,-0.04235405797905804
D1_minus_D2,1,l2__pre_reset__fixed250_ordered_mean,0.08914950789950797
D0_minus_D2,1,l2__pre_reset__fixed250_ordered_mean,0.04679544992044993
D0_minus_D1,1,l2__spike__whole_mean,0.003153906278906234
D1_minus_D2,1,l2__spike__whole_mean,-0.037344831094831034
D0_minus_D2,1,l2__spike__whole_mean,-0.034190924815924804
D0_minus_D1,1,l2__spike__fixed250_ordered_mean,-0.04561827061827062
D1_minus_D2,1,l2__spike__fixed250_ordered_mean,0.024920449920449988
D0_minus_D2,1,l2__spike__fixed250_ordered_mean,-0.02069782069782063
D0_minus_D1,1,l2__post_reset__whole_mean,0.013779623154623147
D1_minus_D2,1,l2__post_reset__whole_mean,-0.02943919506419505
D0_minus_D2,1,l2__post_reset__whole_mean,-0.0156595719095719
D0_minus_D1,1,l2__post_reset__fixed250_ordered_mean,-0.04723020035520039
D1_minus_D2,1,l2__post_reset__fixed250_ordered_mean,0.07374303936803943
