variant,rotation,seed,probe,source,state,aggregation,feature_dim,selected_C,selected_val_ba,probe_seed,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_action0_accuracy,test_action0_balanced_accuracy,test_action0_macro_f1,test_action1_accuracy,test_action1_balanced_accuracy,test_action1_macro_f1
masked_accel_reencode,0,11,input__events__fixed250_count,input,events,fixed250_count,480,0.1,0.5145045926295926,2778668308,"[{""C"": 0.001, ""val_ba"": 0.4296855921855922}, {""C"": 0.01, ""val_ba"": 0.5007759601509602}, {""C"": 0.1, ""val_ba"": 0.5145045926295926}, {""C"": 1.0, ""val_ba"": 0.5060741341991342}, {""C"": 10.0, ""val_ba"": 0.5080943362193362}]",0.9980392156862744,0.9975490196078431,0.9978404679897216,0.5207100591715976,0.5145045926295926,0.518903376074321,0.5402298850574713,0.5279183235065588,0.5289832224841712,0.5157894736842106,0.4946759259259258,0.4921368804091916,0.569620253164557,0.5683531746031746,0.5745217745217744
masked_accel_reencode,0,23,input__events__fixed250_count,input,events,fixed250_count,480,0.1,0.5145045926295926,1863387974,"[{""C"": 0.001, ""val_ba"": 0.4296855921855922}, {""C"": 0.01, ""val_ba"": 0.5007759601509602}, {""C"": 0.1, ""val_ba"": 0.5145045926295926}, {""C"": 1.0, ""val_ba"": 0.5060741341991342}, {""C"": 10.0, ""val_ba"": 0.5080943362193362}]",0.9980392156862744,0.9975490196078431,0.9978404679897216,0.5207100591715976,0.5145045926295926,0.518903376074321,0.5402298850574713,0.5279183235065588,0.5289832224841712,0.5157894736842106,0.4946759259259258,0.4921368804091916,0.569620253164557,0.5683531746031746,0.5745217745217744
masked_accel_reencode,0,37,input__events__fixed250_count,input,events,fixed250_count,480,0.1,0.5145045926295926,2227490530,"[{""C"": 0.001, ""val_ba"": 0.4296855921855922}, {""C"": 0.01, ""val_ba"": 0.5007759601509602}, {""C"": 0.1, ""val_ba"": 0.5145045926295926}, {""C"": 1.0, ""val_ba"": 0.5060741341991342}, {""C"": 10.0, ""val_ba"": 0.5080943362193362}]",0.9980392156862744,0.9975490196078431,0.9978404679897216,0.5207100591715976,0.5145045926295926,0.518903376074321,0.5402298850574713,0.5279183235065588,0.5289832224841712,0.5157894736842106,0.4946759259259258,0.4921368804091916,0.569620253164557,0.5683531746031746,0.5745217745217744
masked_accel_reencode,1,11,input__events__fixed250_count,input,events,fixed250_count,480,0.01,0.5789802789802789,3558900189,"[{""C"": 0.001, ""val_ba"": 0.49828643578643583}, {""C"": 0.01, ""val_ba"": 0.5789802789802789}, {""C"": 0.1, ""val_ba"": 0.5622474747474747}, {""C"": 1.0, ""val_ba"": 0.5669928451178451}, {""C"": 10.0, ""val_ba"": 0.5630606661856661}]",0.919921875,0.9135859075627768,0.9178905431759126,0.5813953488372093,0.5789802789802789,0.5872253943374633,0.5443786982248521,0.544131216006216,0.5407389161310729,0.4767441860465116,0.4761904761904762,0.4706127979347793,0.6144578313253012,0.6146825396825397,0.6012688156070509
masked_accel_reencode,1,23,input__events__fixed250_count,input,events,fixed250_count,480,0.01,0.5789802789802789,1640607815,"[{""C"": 0.001, ""val_ba"": 0.49828643578643583}, {""C"": 0.01, ""val_ba"": 0.5789802789802789}, {""C"": 0.1, ""val_ba"": 0.5622474747474747}, {""C"": 1.0, ""val_ba"": 0.5669928451178451}, {""C"": 10.0, ""val_ba"": 0.5630606661856661}]",0.919921875,0.9135859075627768,0.9178905431759126,0.5813953488372093,0.5789802789802789,0.5872253943374633,0.5443786982248521,0.544131216006216,0.5407389161310729,0.4767441860465116,0.4761904761904762,0.4706127979347793,0.6144578313253012,0.6146825396825397,0.6012688156070509
masked_accel_reencode,1,37,input__events__fixed250_count,input,events,fixed250_count,480,0.01,0.5789802789802789,2308530843,"[{""C"": 0.001, ""val_ba"": 0.49828643578643583}, {""C"": 0.01, ""val_ba"": 0.5789802789802789}, {""C"": 0.1, ""val_ba"": 0.5622474747474747}, {""C"": 1.0, ""val_ba"": 0.5669928451178451}, {""C"": 10.0, ""val_ba"": 0.5630606661856661}]",0.919921875,0.9135859075627768,0.9178905431759126,0.5813953488372093,0.5789802789802789,0.5872253943374633,0.5443786982248521,0.544131216006216,0.5407389161310729,0.4767441860465116,0.4761904761904762,0.4706127979347793,0.6144578313253012,0.6146825396825397,0.6012688156070509
masked_accel_reencode,2,11,input__events__fixed250_count,input,events,fixed250_count,480,0.1,0.6440247252747252,4203272272,"[{""C"": 0.001, ""val_ba"": 0.5166933760683761}, {""C"": 0.01, ""val_ba"": 0.6431649369149369}, {""C"": 0.1, ""val_ba"": 0.6440247252747252}, {""C"": 1.0, ""val_ba"": 0.6384691697191697}, {""C"": 10.0, ""val_ba"": 0.6057806776556777}]",0.9980506822612084,0.9981060606060606,0.9981460882461995,0.6547619047619048,0.6440247252747252,0.6447940501743746,0.5523255813953488,0.5571744227994228,0.5700039877158654,0.5862068965517241,0.5833333333333334,0.5926182978814557,0.5176470588235295,0.5252976190476191,0.5344304388422035
masked_accel_reencode,2,23,input__events__fixed250_count,input,events,fixed250_count,480,0.1,0.6440247252747252,1892140548,"[{""C"": 0.001, ""val_ba"": 0.5166933760683761}, {""C"": 0.01, ""val_ba"": 0.6431649369149369}, {""C"": 0.1, ""val_ba"": 0.6440247252747252}, {""C"": 1.0, ""val_ba"": 0.6384691697191697}, {""C"": 10.0, ""val_ba"": 0.6057806776556777}]",0.9980506822612084,0.9981060606060606,0.9981460882461995,0.6547619047619048,0.6440247252747252,0.6447940501743746,0.5523255813953488,0.5571744227994228,0.5700039877158654,0.5862068965517241,0.5833333333333334,0.5926182978814557,0.5176470588235295,0.5252976190476191,0.5344304388422035
masked_accel_reencode,2,37,input__events__fixed250_count,input,events,fixed250_count,480,0.1,0.6440247252747252,528088933,"[{""C"": 0.001, ""val_ba"": 0.5166933760683761}, {""C"": 0.01, ""val_ba"": 0.6431649369149369}, {""C"": 0.1, ""val_ba"": 0.6440247252747252}, {""C"": 1.0, ""val_ba"": 0.6384691697191697}, {""C"": 10.0, ""val_ba"": 0.6057806776556777}]",0.9980506822612084,0.9981060606060606,0.9981460882461995,0.6547619047619048,0.6440247252747252,0.6447940501743746,0.5523255813953488,0.5571744227994228,0.5700039877158654,0.5862068965517241,0.5833333333333334,0.5926182978814557,0.5176470588235295,0.5252976190476191,0.5344304388422035
masked_accel_reencode,3,11,input__events__fixed250_count,input,events,fixed250_count,480,1.0,0.564678724053724,3095437036,"[{""C"": 0.001, ""val_ba"": 0.43299755799755796}, {""C"": 0.01, ""val_ba"": 0.5211156898656898}, {""C"": 0.1, ""val_ba"": 0.5602144383394382}, {""C"": 1.0, ""val_ba"": 0.564678724053724}, {""C"": 10.0, ""val_ba"": 0.5403502747252747}]",1.0,1.0,1.0,0.5705882352941176,0.564678724053724,0.5703183110441175,0.6785714285714286,0.6640809422059422,0.6649952113534457,0.7395833333333334,0.7138888888888889,0.7087471024398941,0.5972222222222222,0.5982142857142857,0.5946295534530829
