variant,probe,test_balanced_accuracy_count,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_accuracy_count,test_accuracy_mean,test_accuracy_std,test_macro_f1_count,test_macro_f1_mean,test_macro_f1_std,test_action0_balanced_accuracy_count,test_action0_balanced_accuracy_mean,test_action0_balanced_accuracy_std,test_action1_balanced_accuracy_count,test_action1_balanced_accuracy_mean,test_action1_balanced_accuracy_std
masked_accel_reencode,input__events__fixed250_count,5,0.5640791738218208,0.057274961818569316,5,0.5689834715909966,0.061816440405560634,5,0.5675638987509182,0.056777527248700374,5,0.5554034391534391,0.09749378757254404,5,0.570734126984127,0.03644945767137925
original,input__events__fixed250_count,5,0.5958960347930937,0.045161097843682455,5,0.6036252406468345,0.04682082480116266,5,0.5919627001911776,0.048525902650153115,5,0.5576785714285715,0.04943924300330899,5,0.6372222222222221,0.05862958429097056
postencode_mask,input__events__fixed250_count,5,0.6276769227504522,0.030041021101027136,5,0.6353663504757896,0.03162425244496063,5,0.6314379404757755,0.02726326855020572,5,0.5930621693121693,0.02518964924895333,5,0.6691468253968254,0.05711374230728232
masked_accel_reencode,input__events__whole_count,5,0.45358089894854603,0.04944297056885239,5,0.46208904719411387,0.05160916870914477,5,0.44791730897270055,0.048840416001051656,5,0.452281746031746,0.08134942143043795,5,0.4526190476190476,0.04305130364492856
original,input__events__whole_count,5,0.39408217871453166,0.050885095364861056,5,0.4024632929715353,0.05416065137499824,5,0.37793788306234044,0.043736855777750945,5,0.4036044973544974,0.058134078860884175,5,0.3813492063492063,0.06390864237906876
postencode_mask,input__events__whole_count,5,0.4568645950998892,0.06951477756363607,5,0.466028548173515,0.07086964021746063,5,0.45308142318879796,0.06798302231494394,5,0.43529761904761904,0.06883853440687834,5,0.48144841269841265,0.0867308351880909
masked_accel_reencode,l1__post_reset__fixed250_ordered_mean,5,0.6502588800995663,0.043552648978148555,5,0.6520220832829192,0.04901014016544849,5,0.6498453228215688,0.042141048254367944,5,0.6447354497354498,0.06739679296609172,5,0.6597486772486773,0.06948122923460262
original,l1__post_reset__fixed250_ordered_mean,5,0.6408423180849651,0.0507698210172554,5,0.6487648072266905,0.05355814152279861,5,0.6401806332348006,0.04626870372562478,5,0.6090013227513228,0.04280454229781059,5,0.674047619047619,0.07512305183974131
postencode_mask,l1__post_reset__fixed250_ordered_mean,5,0.6727820758580563,0.05693548366918478,5,0.6777707723958636,0.05859837570203405,5,0.6742079890885895,0.054505630688851114,5,0.6527821869488537,0.05249102865142623,5,0.6965079365079365,0.07524492800931545
masked_accel_reencode,l1__post_reset__whole_mean,5,0.5060595364149286,0.04357523194143055,5,0.510929570767299,0.0451260886794411,5,0.5017352707010339,0.04119981456749445,5,0.507034832451499,0.06430135390255932,5,0.5062698412698412,0.03206371613645575
original,l1__post_reset__whole_mean,5,0.48876518905930666,0.03668158640549305,5,0.5004943675494173,0.04453755570793613,5,0.47744217054636595,0.030717406960611517,5,0.4579122574955908,0.05412791576108314,5,0.5255224867724867,0.0455862944002955
postencode_mask,l1__post_reset__whole_mean,5,0.5028455200391475,0.071031763332725,5,0.5082359691558238,0.07560372036852529,5,0.5016567653889833,0.06676490200940141,5,0.4914528218694885,0.0639487341284108,5,0.5181746031746031,0.0834888103814561
masked_accel_reencode,l1__pre_reset__fixed250_ordered_mean,5,0.6394783162552771,0.05441960561079647,5,0.643816263602284,0.06124918930338981,5,0.6421767061594582,0.05318643621469106,5,0.6404431216931217,0.07855460358333627,5,0.6409656084656083,0.07695916296566185
original,l1__pre_reset__fixed250_ordered_mean,5,0.640522869015516,0.06358958470437688,5,0.6469025336496408,0.06419514484735146,5,0.6390048691633264,0.06143524448817895,5,0.6064969135802469,0.06288614668108916,5,0.6754232804232804,0.08346523310001207
postencode_mask,l1__pre_reset__fixed250_ordered_mean,5,0.6677835073423308,0.05355240269018885,5,0.674719456198354,0.05682658803296156,5,0.6696428159235539,0.05063970295918791,5,0.6434545855379189,0.05543491509925849,5,0.6971494708994709,0.06342050072383165
masked_accel_reencode,l1__pre_reset__whole_mean,5,0.5231145878449801,0.04506464057588799,5,0.5284959944507928,0.04648751213031756,5,0.5197961749690619,0.04440526229151053,5,0.5090895061728394,0.07292064106114601,5,0.5401984126984127,0.033633786031923095
original,l1__pre_reset__whole_mean,5,0.5083068338705593,0.061392453174831316,5,0.5164667854966019,0.0653902382501858,5,0.49538489247738227,0.05753609373232224,5,0.48243386243386244,0.06431423233720945,5,0.5363822751322751,0.06372086097427454
postencode_mask,l1__pre_reset__whole_mean,5,0.506736780829918,0.07992500542332497,5,0.5105430451965485,0.08556042942276089,5,0.5078172785145271,0.07519525378840282,5,0.4919995590828924,0.07204250524873358,5,0.5254828042328042,0.09495954152226667
masked_accel_reencode,l1__spike__fixed250_count,5,0.5686651638122227,0.07707333880094762,5,0.5739813014868079,0.07886739871580252,5,0.5700864161293618,0.07123630811189784,5,0.5489197530864197,0.09550609042348374,5,0.5931613756613757,0.08944664301224015
original,l1__spike__fixed250_count,5,0.5631310002633533,0.06054639125384261,5,0.5702632122983591,0.06488164161257251,5,0.5638583892132703,0.05074209971909448,5,0.5217945326278659,0.055712484667373864,5,0.6093452380952381,0.08268709715874736
postencode_mask,l1__spike__fixed250_count,5,0.5734656134533586,0.08788782498142644,5,0.5813232280570182,0.09158418433896638,5,0.5771639925838601,0.07259662134760671,5,0.541929012345679,0.09373333400341836,5,0.6107208994708995,0.09142532501347689
masked_accel_reencode,l1__spike__fixed250_ordered_mean,5,0.567030030608462,0.07782917739822687,5,0.5720613728884437,0.0805694284751369,5,0.5677237662040799,0.07186519226480192,5,0.5462477954144621,0.09459402662332583,5,0.5934457671957671,0.08799232028404724
original,l1__spike__fixed250_ordered_mean,5,0.5352645212449134,0.06329416346147743,5,0.547271382466711,0.06662913547490418,5,0.538596855968305,0.05563477179677952,5,0.5079210758377425,0.06106898150965074,5,0.5650925925925925,0.0854942547313426
postencode_mask,l1__spike__fixed250_ordered_mean,5,0.5753146572019121,0.0945405324684236,5,0.5829970294111201,0.09762871840123985,5,0.5801082100914675,0.07896518243331564,5,0.5414131393298061,0.1008190263112412,5,0.6143981481481482,0.09591736229292294
masked_accel_reencode,l1__spike__whole_count,5,0.4562631522435444,0.05684062816261752,5,0.46167944587127996,0.056558215227245814,5,0.4525459313540601,0.05368566147826347,5,0.43858906525573194,0.057126803918966705,5,0.47737433862433865,0.07262714269507695
