contrast,left_variant,right_variant,rotation,native_test_balanced_accuracy_delta,lif_test_balanced_accuracy_delta,native_test_action0_balanced_accuracy_delta,native_test_action1_balanced_accuracy_delta,lif_test_action0_balanced_accuracy_delta,lif_test_action1_balanced_accuracy_delta
D0_minus_D1,original,postencode_mask,0,-0.047120145649557355,-0.016331204198851257,-0.002083333333333363,-0.09388227513227519,0.01682098765432098,-0.047552910052910104
D1_minus_D2,postencode_mask,masked_accel_reencode,0,0.06266820733732494,0.044378504121151185,0.029552469135802544,0.09563492063492067,0.02901234567901238,0.05373677248677248
D0_minus_D2,original,masked_accel_reencode,0,0.015548061687767586,0.02804729992229993,0.02746913580246918,0.001752645502645478,0.04583333333333336,0.006183862433862375
D0_minus_D1,original,postencode_mask,1,0.008485380360380343,-0.015769993894993894,0.020833333333333332,-0.0016203703703704386,-0.04894179894179895,0.023148148148148123
D1_minus_D2,postencode_mask,masked_accel_reencode,1,-0.05127037314537314,-0.002210752210752176,-0.053240740740740734,-0.05287698412698418,0.015376984126984147,-0.02549603174603175
D0_minus_D2,original,masked_accel_reencode,1,-0.042784992784992794,-0.01798074610574607,-0.032407407407407406,-0.05449735449735462,-0.033564814814814804,-0.0023478835978836265
D0_minus_D1,original,postencode_mask,2,-0.053881573673240334,-0.04374498957832292,-0.06805555555555558,-0.04183201058201055,-0.035218253968253975,-0.052744708994708976
D1_minus_D2,postencode_mask,masked_accel_reencode,2,0.05899270482603817,0.0499699374699375,0.049900793650793675,0.06762566137566138,0.05049603174603176,0.04497354497354494
D0_minus_D2,original,masked_accel_reencode,2,0.005111131152797839,0.006224947891614578,-0.018154761904761896,0.02579365079365083,0.015277777777777788,-0.00777116402116403
D0_minus_D1,original,postencode_mask,3,-0.019527116402116334,0.03226707705874369,0.02620149911816581,-0.0767195767195767,0.06780202821869491,-0.013558201058201047
D1_minus_D2,postencode_mask,masked_accel_reencode,3,0.0884352530185864,0.09018493080993083,0.04069664902998238,0.14814814814814814,0.03274911816578487,0.16236772486772486
D0_minus_D2,original,masked_accel_reencode,3,0.06890813661647006,0.12245200786867451,0.06689814814814819,0.07142857142857144,0.10055114638447978,0.1488095238095238
D0_minus_D1,original,postencode_mask,4,-0.006443325193325207,0.03367801180301183,-0.0180224867724868,0.01207010582010585,0.017030423280423274,0.059027777777777866
D1_minus_D2,postencode_mask,masked_accel_reencode,4,0.03091804029304024,0.0012184574684574456,0.0580357142857143,-0.005456349206349224,0.01719576719576721,-0.017857142857142922
D0_minus_D2,original,masked_accel_reencode,4,0.024474715099715032,0.03489646927146928,0.0400132275132275,0.006613756613756627,0.034226190476190486,0.04117063492063494
