contrast,probe,count,mean,std
D0_minus_D1,input__events__whole_count,5,-0.06278241638535755,0.029779644748266137
D1_minus_D2,input__events__whole_count,5,0.003283696151343185,0.03617653050324619
D0_minus_D2,input__events__whole_count,5,-0.059498720234014355,0.030154113350566163
D0_minus_D1,input__events__fixed250_count,5,-0.03178088795735854,0.022500277797363157
D1_minus_D2,input__events__fixed250_count,5,0.06359774892863132,0.04727300040609949
D0_minus_D2,input__events__fixed250_count,5,0.03181686097127279,0.047241579670792753
D0_minus_D1,l1__syn_current__whole_mean,5,-0.03367500237598277,0.06403192320874654
D1_minus_D2,l1__syn_current__whole_mean,5,-0.02673325131658471,0.0419952229054797
D0_minus_D2,l1__syn_current__whole_mean,5,-0.060408253692567485,0.048841011532304336
D0_minus_D1,l1__syn_current__fixed250_ordered_mean,5,-0.020921647796647812,0.034223198448026924
D1_minus_D2,l1__syn_current__fixed250_ordered_mean,5,0.017433607605176236,0.03449615972859846
D0_minus_D2,l1__syn_current__fixed250_ordered_mean,5,-0.003488040191471575,0.017629526463006286
D0_minus_D1,l1__pre_reset__whole_mean,5,0.0015700530406412756,0.05918083105673797
D1_minus_D2,l1__pre_reset__whole_mean,5,-0.016377807015061946,0.054927962815928766
D0_minus_D2,l1__pre_reset__whole_mean,5,-0.014807753974420667,0.017989313907933617
D0_minus_D1,l1__pre_reset__fixed250_ordered_mean,5,-0.027260638326814794,0.03435634371065595
D1_minus_D2,l1__pre_reset__fixed250_ordered_mean,5,0.028305191087053816,0.03770574257914384
D0_minus_D2,l1__pre_reset__fixed250_ordered_mean,5,0.0010445527602390258,0.02739912262281262
D0_minus_D1,l1__spike__whole_mean,5,-0.03507070045060241,0.0252549462891224
D1_minus_D2,l1__spike__whole_mean,5,0.02251215696068637,0.015601769527370555
D0_minus_D2,l1__spike__whole_mean,5,-0.01255854348991604,0.02887734873660057
D0_minus_D1,l1__spike__fixed250_ordered_mean,5,-0.04005013595699871,0.044410888152562424
D1_minus_D2,l1__spike__fixed250_ordered_mean,5,0.008284626593450084,0.030504103842530248
D0_minus_D2,l1__spike__fixed250_ordered_mean,5,-0.031765509363548626,0.029634680499208668
D0_minus_D1,l1__post_reset__whole_mean,5,-0.014080330979840783,0.047642437490210805
D1_minus_D2,l1__post_reset__whole_mean,5,-0.0032140163757810904,0.042331707625995085
D0_minus_D2,l1__post_reset__whole_mean,5,-0.017294347355621874,0.011669962883179794
D0_minus_D1,l1__post_reset__fixed250_ordered_mean,5,-0.03193975777309116,0.02370996541672385
D1_minus_D2,l1__post_reset__fixed250_ordered_mean,5,0.022523195758489926,0.04159662512034718
D0_minus_D2,l1__post_reset__fixed250_ordered_mean,5,-0.00941656201460123,0.03636658663986805
D0_minus_D1,l1__spike__whole_count,5,-0.03536814220637753,0.015438677647545132
D1_minus_D2,l1__spike__whole_count,5,0.031581299056789275,0.03697275548343689
D0_minus_D2,l1__spike__whole_count,5,-0.0037868431495882635,0.04321343486082941
D0_minus_D1,l1__spike__fixed250_count,5,-0.010334613190005322,0.03421263487699855
D1_minus_D2,l1__spike__fixed250_count,5,0.004800449641135912,0.027869275734583802
D0_minus_D2,l1__spike__fixed250_count,5,-0.005534163548869407,0.04062188746097102
D0_minus_D1,l2__syn_current__whole_mean,5,-0.015925477481850026,0.03251292475764018
D1_minus_D2,l2__syn_current__whole_mean,5,-0.003220453747414539,0.02008206761490129
D0_minus_D2,l2__syn_current__whole_mean,5,-0.019145931229264564,0.03660768575766482
D0_minus_D1,l2__syn_current__fixed250_ordered_mean,5,-0.034907497640340804,0.03306864262126411
D1_minus_D2,l2__syn_current__fixed250_ordered_mean,5,0.029273914175874976,0.027010365701112225
D0_minus_D2,l2__syn_current__fixed250_ordered_mean,5,-0.005633583464465825,0.04895154970420872
D0_minus_D1,l2__pre_reset__whole_mean,5,-0.022012636510185528,0.03273220860135472
D1_minus_D2,l2__pre_reset__whole_mean,5,-0.0015326585179526717,0.028192875363843416
D0_minus_D2,l2__pre_reset__whole_mean,5,-0.023545295028138197,0.036521246080999395
D0_minus_D1,l2__pre_reset__fixed250_ordered_mean,5,-0.03565161236729866,0.04201242311982735
D1_minus_D2,l2__pre_reset__fixed250_ordered_mean,5,0.03467522764091395,0.030811454012030854
D0_minus_D2,l2__pre_reset__fixed250_ordered_mean,5,-0.0009763847263847151,0.05131926164065383
D0_minus_D1,l2__spike__whole_mean,5,-0.028797599005932362,0.017894883696600694
D1_minus_D2,l2__spike__whole_mean,5,0.04163895835464464,0.05161645431505803
D0_minus_D2,l2__spike__whole_mean,5,0.012841359348712278,0.03693557271708285
D0_minus_D1,l2__spike__fixed250_ordered_mean,5,-0.022230182217927337,0.034407233777858294
D1_minus_D2,l2__spike__fixed250_ordered_mean,5,0.020732920855469895,0.03190245725555858
D0_minus_D2,l2__spike__fixed250_ordered_mean,5,-0.001497261362457444,0.03582325494189155
D0_minus_D1,l2__post_reset__whole_mean,5,-0.025080312751881367,0.030653757971042007
D1_minus_D2,l2__post_reset__whole_mean,5,0.002236577420400961,0.02696378276087045
D0_minus_D2,l2__post_reset__whole_mean,5,-0.022843735331480403,0.04137546264334401
D0_minus_D1,l2__post_reset__fixed250_ordered_mean,5,-0.03188802754979224,0.01657959074924805
D1_minus_D2,l2__post_reset__fixed250_ordered_mean,5,0.020886242025947903,0.03612254694764588
D0_minus_D2,l2__post_reset__fixed250_ordered_mean,5,-0.011001785523844338,0.03573561261820498
D0_minus_D1,l2__spike__whole_count,5,-0.019531282080301728,0.02076226601131849
D1_minus_D2,l2__spike__whole_count,5,0.02524515381133032,0.03788686549741871
D0_minus_D2,l2__spike__whole_count,5,0.005713871731028595,0.04267901620864579
