rotation,test_fold,val_fold,train_samples,val_samples,test_samples,train_users,val_users,test_users
0,0,1,510,169,174,12,4,4
1,1,2,512,172,169,12,4,4
2,2,3,513,168,172,12,4,4
3,3,4,515,170,168,12,4,4
4,4,0,509,174,170,12,4,4
