variant,rotation,probe,test_balanced_accuracy,test_accuracy,test_macro_f1,test_action0_balanced_accuracy,test_action1_balanced_accuracy
masked_accel_reencode,1,input__events__whole_count,0.424454365079365,0.4378698224852071,0.4293070489844683,0.3928571428571428,0.4583333333333333
masked_accel_reencode,2,input__events__whole_count,0.4491191678691678,0.44767441860465124,0.4429573607281716,0.5008928571428571,0.3859126984126984
masked_accel_reencode,3,input__events__whole_count,0.5372608872608873,0.5476190476190477,0.5312862167918554,0.5723544973544974,0.4920634920634919
masked_accel_reencode,4,input__events__whole_count,0.4104624542124542,0.411764705882353,0.4033161727211425,0.3878968253968253,0.439484126984127
original,0,input__events__whole_count,0.3827071621189268,0.3850574712643678,0.3677680339724317,0.381712962962963,0.3908730158730158
original,1,input__events__whole_count,0.3500263625263626,0.3668639053254437,0.3399048894581369,0.3566468253968253,0.3427579365079365
original,2,input__events__whole_count,0.3591555435305435,0.3604651162790697,0.35366278482593944,0.34821428571428575,0.3556547619047618
original,3,input__events__whole_count,0.47789224664224655,0.494047619047619,0.45216309725566156,0.4706349206349207,0.4880952380952381
original,4,input__events__whole_count,0.4006295787545788,0.4058823529411764,0.3761906097995324,0.4608134920634921,0.3293650793650793
postencode_mask,0,input__events__whole_count,0.4066306446821153,0.4137931034482758,0.4024094173835049,0.3770833333333334,0.4459325396825396
postencode_mask,1,input__events__whole_count,0.4300231018981018,0.44970414201183423,0.4219171170151561,0.3918650793650793,0.470734126984127
postencode_mask,2,input__events__whole_count,0.4229948292448293,0.4244186046511627,0.42319160446971543,0.4520833333333332,0.3854166666666667
postencode_mask,3,input__events__whole_count,0.578608312983313,0.5892857142857143,0.5714470234353837,0.547718253968254,0.621031746031746
postencode_mask,4,input__events__whole_count,0.4460660866910866,0.4529411764705882,0.4464419536402295,0.4077380952380953,0.484126984126984
masked_accel_reencode,0,l1__post_reset__fixed250_ordered_mean,0.646906851318616,0.6494252873563219,0.6350653869959935,0.6070216049382716,0.7037037037037037
masked_accel_reencode,1,l1__post_reset__fixed250_ordered_mean,0.6374457718207718,0.631163708086785,0.6334387288565498,0.5927579365079364,0.6833333333333332
masked_accel_reencode,2,l1__post_reset__fixed250_ordered_mean,0.6429368085618086,0.6414728682170542,0.6412402790813981,0.7232142857142857,0.5618386243386243
masked_accel_reencode,3,l1__post_reset__fixed250_ordered_mean,0.7215108194274862,0.7341269841269842,0.7233606840144371,0.7128858024691359,0.7331349206349206
masked_accel_reencode,4,l1__post_reset__fixed250_ordered_mean,0.6024941493691492,0.6039215686274509,0.6161215351594659,0.5877976190476191,0.6167328042328043
original,0,l1__post_reset__fixed250_ordered_mean,0.6812084361716714,0.6839080459770116,0.675764703254422,0.6124228395061728,0.7600198412698412
original,1,l1__post_reset__fixed250_ordered_mean,0.5925269175269174,0.6055226824457594,0.5979050834862717,0.5925925925925926,0.5880621693121694
original,2,l1__post_reset__fixed250_ordered_mean,0.5996993746993747,0.6007751937984497,0.6037350960635951,0.5770833333333333,0.6170634920634921
original,3,l1__post_reset__fixed250_ordered_mean,0.7069139194139193,0.7242063492063492,0.7020669128216578,0.6815586419753087,0.7407407407407406
original,4,l1__post_reset__fixed250_ordered_mean,0.6238629426129426,0.6294117647058823,0.6214313705480564,0.5813492063492064,0.6643518518518517
postencode_mask,0,l1__post_reset__fixed250_ordered_mean,0.72014993448817,0.7164750957854406,0.7105174366148796,0.6641203703703704,0.7914682539682539
postencode_mask,1,l1__post_reset__fixed250_ordered_mean,0.6583618927368927,0.6686390532544378,0.6594236884858857,0.6324404761904762,0.6847883597883597
postencode_mask,2,l1__post_reset__fixed250_ordered_mean,0.602042748917749,0.6007751937984497,0.6043115686379515,0.5893849206349207,0.6125992063492064
postencode_mask,3,l1__post_reset__fixed250_ordered_mean,0.7406512854429521,0.751984126984127,0.7447137291554079,0.7327932098765433,0.7536375661375662
postencode_mask,4,l1__post_reset__fixed250_ordered_mean,0.6427045177045176,0.6509803921568628,0.6520735225488224,0.6451719576719577,0.6400462962962964
masked_accel_reencode,0,l1__post_reset__whole_mean,0.5032019383122325,0.5095785440613027,0.49987593870627917,0.480787037037037,0.5304563492063492
masked_accel_reencode,1,l1__post_reset__whole_mean,0.4840248871498871,0.4871794871794872,0.4793527988943526,0.4854497354497354,0.4878306878306877
masked_accel_reencode,2,l1__post_reset__whole_mean,0.4952300785634119,0.5,0.48941746109826917,0.5216269841269842,0.4661044973544974
masked_accel_reencode,3,l1__post_reset__whole_mean,0.5802507292090625,0.5873015873015873,0.5722895244226763,0.6091490299823633,0.5456349206349206
masked_accel_reencode,4,l1__post_reset__whole_mean,0.46759004884004884,0.4705882352941176,0.467740630383592,0.43816137566137564,0.5013227513227514
original,0,l1__post_reset__whole_mean,0.4749531514237397,0.48084291187739464,0.4617779772165142,0.3971450617283951,0.5751984126984127
original,1,l1__post_reset__whole_mean,0.46436248936248936,0.48717948717948717,0.45211812467982665,0.46296296296296297,0.46742724867724866
original,2,l1__post_reset__whole_mean,0.48589766714766713,0.4844961240310077,0.4875230153718344,0.45714285714285713,0.5143849206349206
original,3,l1__post_reset__whole_mean,0.5525717338217337,0.5793650793650794,0.5268686889571442,0.5427469135802468,0.568121693121693
original,4,l1__post_reset__whole_mean,0.4660409035409036,0.4705882352941176,0.4589230465065102,0.42956349206349204,0.5024801587301587
postencode_mask,0,l1__post_reset__whole_mean,0.4657628319393025,0.47509578544061304,0.4669651664957681,0.4426697530864197,0.49983465608465605
postencode_mask,1,l1__post_reset__whole_mean,0.5327423733673734,0.5384615384615384,0.5338257412206815,0.515707671957672,0.5510251322751323
postencode_mask,2,l1__post_reset__whole_mean,0.45069093714927044,0.4457364341085271,0.45477921616765643,0.4549603174603174,0.4414682539682539
postencode_mask,3,l1__post_reset__whole_mean,0.61446801655135,0.626984126984127,0.6043766098922668,0.5933641975308642,0.6458333333333334
postencode_mask,4,l1__post_reset__whole_mean,0.45056344118844116,0.4549019607843137,0.4483370931685438,0.45056216931216925,0.4527116402116402
masked_accel_reencode,0,l1__pre_reset__fixed250_ordered_mean,0.6393051461066167,0.6455938697318008,0.6308295406143768,0.5993055555555555,0.6971560846560846
masked_accel_reencode,1,l1__pre_reset__fixed250_ordered_mean,0.6065206783956784,0.601577909270217,0.6060388261402948,0.5679563492063492,0.645568783068783
masked_accel_reencode,2,l1__pre_reset__fixed250_ordered_mean,0.6327220618887286,0.633720930232558,0.6349040624851767,0.721031746031746,0.5395171957671957
masked_accel_reencode,3,l1__pre_reset__fixed250_ordered_mean,0.7298441527608195,0.746031746031746,0.7340861243051751,0.7300925925925927,0.7298280423280423
masked_accel_reencode,4,l1__pre_reset__fixed250_ordered_mean,0.5889995421245421,0.592156862745098,0.6050249772522676,0.5838293650793651,0.5927579365079365
original,0,l1__pre_reset__fixed250_ordered_mean,0.6688784050916404,0.6724137931034483,0.6602562232332706,0.5892746913580247,0.7589616402116403
original,1,l1__pre_reset__fixed250_ordered_mean,0.5817764411514411,0.5956607495069034,0.5864366428732836,0.5770502645502645,0.5834325396825397
original,2,l1__pre_reset__fixed250_ordered_mean,0.6020252124418791,0.6007751937984497,0.60376389183714,0.5820436507936507,0.6134259259259259
original,3,l1__pre_reset__fixed250_ordered_mean,0.7384670499253833,0.748015873015873,0.7371884102791616,0.7179783950617286,0.7658730158730158
original,4,l1__pre_reset__fixed250_ordered_mean,0.6114672364672364,0.6176470588235294,0.6073791775937764,0.5661375661375662,0.6554232804232804
postencode_mask,0,l1__pre_reset__fixed250_ordered_mean,0.7011815458506634,0.6992337164750958,0.6930119493022485,0.6517746913580247,0.7672288359788358
postencode_mask,1,l1__pre_reset__fixed250_ordered_mean,0.6660707348207348,0.6804733727810651,0.6686163780182826,0.6314484126984127,0.7011574074074075
postencode_mask,2,l1__pre_reset__fixed250_ordered_mean,0.6057133838383839,0.6046511627906977,0.6076900476123083,0.5868055555555556,0.6226851851851851
postencode_mask,3,l1__pre_reset__fixed250_ordered_mean,0.7379248066748066,0.751984126984127,0.739884563461445,0.7329916225749559,0.7503306878306879
postencode_mask,4,l1__pre_reset__fixed250_ordered_mean,0.6280270655270654,0.6372549019607844,0.6390111412234853,0.6142526455026455,0.6443452380952381
masked_accel_reencode,0,l1__pre_reset__whole_mean,0.513075513810808,0.5210727969348659,0.509378935310132,0.47770061728395063,0.5579034391534391
masked_accel_reencode,1,l1__pre_reset__whole_mean,0.47683878621378617,0.47928994082840237,0.47482966091548534,0.44229497354497355,0.5169312169312169
masked_accel_reencode,2,l1__pre_reset__whole_mean,0.5211875701459036,0.5251937984496124,0.512786837674872,0.5458333333333334,0.49355158730158727
masked_accel_reencode,3,l1__pre_reset__whole_mean,0.597959062542396,0.6051587301587301,0.5943587399835472,0.6191358024691358,0.5744047619047619
masked_accel_reencode,4,l1__pre_reset__whole_mean,0.5065120065120066,0.5117647058823529,0.5076267009612732,0.4604828042328042,0.5582010582010583
original,0,l1__pre_reset__whole_mean,0.5057004814357756,0.5076628352490421,0.4868456044591402,0.46527777777777773,0.5487433862433863
original,1,l1__pre_reset__whole_mean,0.43567717005217,0.45562130177514787,0.4212512516388068,0.42708333333333326,0.44517195767195766
original,2,l1__pre_reset__whole_mean,0.5128311888728555,0.5077519379844961,0.5081833023977531,0.48412698412698413,0.5396825396825397
original,3,l1__pre_reset__whole_mean,0.6039691018857686,0.626984126984127,0.5806603516018662,0.5909060846560847,0.6236772486772487
original,4,l1__pre_reset__whole_mean,0.4833562271062271,0.4843137254901961,0.47998395228934504,0.44477513227513227,0.5246362433862434
postencode_mask,0,l1__pre_reset__whole_mean,0.4889653510977041,0.4942528735632184,0.49324478124751664,0.4554012345679012,0.533234126984127
postencode_mask,1,l1__pre_reset__whole_mean,0.5160788285788286,0.5167652859960552,0.5149739515340296,0.49900793650793646,0.5330026455026455
postencode_mask,2,l1__pre_reset__whole_mean,0.44578673641173633,0.441860465116279,0.4484133140251023,0.4560515873015873,0.43320105820105814
postencode_mask,3,l1__pre_reset__whole_mean,0.6389643535476869,0.6527777777777778,0.6323108049016474,0.614021164021164,0.6746031746031745
postencode_mask,4,l1__pre_reset__whole_mean,0.44388863451363453,0.4470588235294118,0.45014354086433944,0.43551587301587297,0.45337301587301587
masked_accel_reencode,0,l1__spike__fixed250_count,0.5972983511586453,0.60727969348659,0.5850892518787112,0.5118055555555555,0.7080687830687831
masked_accel_reencode,1,l1__spike__fixed250_count,0.5731134606134606,0.5719921104536488,0.5703073223749601,0.5942460317460317,0.551223544973545
masked_accel_reencode,2,l1__spike__fixed250_count,0.4775979036395703,0.4825581395348837,0.4819572485728229,0.4704365079365079,0.4834656084656084
masked_accel_reencode,3,l1__spike__fixed250_count,0.6781165208248542,0.6865079365079364,0.6759976121256539,0.6945656966490299,0.6580687830687831
masked_accel_reencode,4,l1__spike__fixed250_count,0.5171995828245829,0.5215686274509804,0.5370806456946613,0.47354497354497355,0.5649801587301587
original,0,l1__spike__fixed250_count,0.6090701509819156,0.6111111111111112,0.6019909169207512,0.5313271604938272,0.7057539682539682
original,1,l1__spike__fixed250_count,0.5747087403337404,0.5838264299802761,0.5696010037893107,0.5502645502645503,0.5982473544973544
original,2,l1__spike__fixed250_count,0.5269615800865801,0.5213178294573644,0.5319226378206761,0.46875,0.580191798941799
original,3,l1__spike__fixed250_count,0.626223544973545,0.6468253968253969,0.6200208460709685,0.5948412698412698,0.6693121693121693
original,4,l1__spike__fixed250_count,0.4786909849409849,0.48823529411764705,0.4957565414646448,0.4637896825396825,0.4932208994708995
postencode_mask,0,l1__spike__fixed250_count,0.6361850975821565,0.6379310344827586,0.6282866017562604,0.6,0.692989417989418
postencode_mask,1,l1__spike__fixed250_count,0.5927899646649646,0.5936883629191322,0.5883022484410478,0.5519179894179894,0.6377314814814814
postencode_mask,2,l1__spike__fixed250_count,0.4832671957671957,0.4883720930232558,0.4982552934406148,0.4694444444444444,0.4927248677248677
postencode_mask,3,l1__spike__fixed250_count,0.6735140245556912,0.6964285714285715,0.6628776306034879,0.6590498236331569,0.6924603174603173
postencode_mask,4,l1__spike__fixed250_count,0.4815717846967848,0.49019607843137253,0.5080981886778895,0.4292328042328042,0.5376984126984127
masked_accel_reencode,0,l1__spike__fixed250_ordered_mean,0.594751007434831,0.603448275862069,0.5831602335051113,0.5191358024691358,0.6936838624338625
masked_accel_reencode,1,l1__spike__fixed250_ordered_mean,0.5853985135235136,0.5838264299802761,0.5811554313679808,0.6000330687830688,0.571329365079365
masked_accel_reencode,2,l1__spike__fixed250_ordered_mean,0.4732668951418952,0.47480620155038755,0.4752031976050908,0.4765873015873015,0.4690806878306879
masked_accel_reencode,3,l1__spike__fixed250_ordered_mean,0.67209418667752,0.6825396825396824,0.6690260857680853,0.6826058201058202,0.6607142857142857
masked_accel_reencode,4,l1__spike__fixed250_ordered_mean,0.5096395502645503,0.5156862745098039,0.5300738827741315,0.452876984126984,0.572420634920635
original,0,l1__spike__fixed250_ordered_mean,0.5768041462894403,0.5823754789272031,0.5746813593840803,0.5112654320987654,0.6596230158730159
original,1,l1__spike__fixed250_ordered_mean,0.5162143412143411,0.5305719921104537,0.5108869711704344,0.5243055555555556,0.5047949735449735
original,2,l1__spike__fixed250_ordered_mean,0.48199705387205377,0.4883720930232558,0.4889974348168569,0.44226190476190474,0.5152116402116401
original,3,l1__spike__fixed250_ordered_mean,0.6235407339574007,0.6448412698412699,0.6183748615957229,0.5989748677248677,0.6567460317460317
original,4,l1__spike__fixed250_ordered_mean,0.47776633089133086,0.49019607843137253,0.5000436528744304,0.462797619047619,0.48908730158730157
postencode_mask,0,l1__spike__fixed250_ordered_mean,0.6243125066654479,0.6245210727969348,0.6151654066634432,0.5861111111111111,0.6823412698412697
postencode_mask,1,l1__spike__fixed250_ordered_mean,0.6148550523550523,0.6173570019723865,0.609854720762019,0.5633267195767195,0.6700727513227513
postencode_mask,2,l1__spike__fixed250_ordered_mean,0.4874163259579926,0.49224806201550386,0.5028011801721076,0.4673611111111111,0.5031415343915343
postencode_mask,3,l1__spike__fixed250_ordered_mean,0.6846785544702211,0.7063492063492064,0.6779393309293115,0.6729387125220457,0.699404761904762
postencode_mask,4,l1__spike__fixed250_ordered_mean,0.4653108465608466,0.47450980392156855,0.49478041193045624,0.4173280423280423,0.5170304232804233
masked_accel_reencode,0,l1__spike__whole_count,0.49167561741091154,0.5,0.4810772032494575,0.4520833333333332,0.5463624338624339
masked_accel_reencode,1,l1__spike__whole_count,0.4819395881895882,0.48520710059171596,0.4777740304378302,0.45882936507936506,0.5073412698412698
masked_accel_reencode,2,l1__spike__whole_count,0.3671281265031265,0.37209302325581395,0.3663506741071148,0.37817460317460316,0.3546626984126984
masked_accel_reencode,3,l1__spike__whole_count,0.5068359110025776,0.5099206349206349,0.5013402831545747,0.5169532627865961,0.4963624338624339
masked_accel_reencode,4,l1__spike__whole_count,0.4337365181115181,0.4411764705882353,0.43618746582132323,0.38690476190476186,0.48214285714285704
original,0,l1__spike__whole_count,0.44251703498027023,0.4521072796934866,0.430762013109626,0.39799382716049386,0.5038359788359789
original,1,l1__spike__whole_count,0.46750518000518,0.48323471400394474,0.46521663038900934,0.4523809523809523,0.4833002645502645
original,2,l1__spike__whole_count,0.3777777777777777,0.3817829457364341,0.38418525024572486,0.3511904761904761,0.40095899470899465
original,3,l1__spike__whole_count,0.5698005698005698,0.5932539682539683,0.5561304216271337,0.5498567019400352,0.5972222222222222
original,4,l1__spike__whole_count,0.40478098290598297,0.4176470588235294,0.3990282463433183,0.3913690476190476,0.4133597883597883
postencode_mask,0,l1__spike__whole_count,0.49891129431570613,0.5114942528735632,0.49456810904156684,0.48240740740740734,0.5230489417989418
postencode_mask,1,l1__spike__whole_count,0.4962740962740963,0.5029585798816568,0.4867529565660733,0.482308201058201,0.5129960317460317
postencode_mask,2,l1__spike__whole_count,0.3929277898027898,0.4050387596899225,0.40331972454504994,0.39305555555555544,0.38740079365079366
postencode_mask,3,l1__spike__whole_count,0.6034696784696785,0.621031746031746,0.5962310002487573,0.548423721340388,0.673611111111111
postencode_mask,4,l1__spike__whole_count,0.4476393976393977,0.4568627450980392,0.472429552360422,0.38161375661375657,0.515542328042328
masked_accel_reencode,0,l1__spike__whole_mean,0.4728385857062327,0.48084291187739464,0.4624566760704503,0.42546296296296293,0.5357142857142857
masked_accel_reencode,1,l1__spike__whole_mean,0.4370517214267214,0.45364891518737666,0.43195795318341884,0.4026124338624338,0.4748677248677248
masked_accel_reencode,2,l1__spike__whole_mean,0.3681337181337181,0.375968992248062,0.3685345219989021,0.37817460317460316,0.35763888888888884
masked_accel_reencode,3,l1__spike__whole_mean,0.5230832824582824,0.5317460317460317,0.5101162563517089,0.5187720458553792,0.5320767195767195
masked_accel_reencode,4,l1__spike__whole_mean,0.4154418498168499,0.4235294117647059,0.42458112468098075,0.37020502645502645,0.46494708994708994
original,0,l1__spike__whole_mean,0.4216967944909121,0.4310344827586207,0.4079423949021981,0.39375,0.46071428571428563
original,1,l1__spike__whole_mean,0.4355118261368261,0.4457593688362919,0.43142039746359623,0.42609126984126977,0.44666005291005284
original,2,l1__spike__whole_mean,0.35712431858265187,0.3624031007751938,0.36437645288437964,0.32361111111111107,0.38707010582010576
original,3,l1__spike__whole_mean,0.5498452550535884,0.5734126984126985,0.5344644453630979,0.5337742504409171,0.5734126984126985
original,4,l1__spike__whole_mean,0.3895782458282458,0.40196078431372545,0.38117067534215704,0.39351851851851843,0.38012566137566134
postencode_mask,0,l1__spike__whole_mean,0.49824208335237746,0.5114942528735632,0.4925567252374688,0.4754629629629629,0.5306547619047619
postencode_mask,1,l1__spike__whole_mean,0.44647250897250895,0.45167652859960555,0.4339771488754593,0.43964947089947093,0.4564484126984126
postencode_mask,2,l1__spike__whole_mean,0.38484347442680766,0.39728682170542634,0.395528388204178,0.3786706349206348,0.38839285714285704
postencode_mask,3,l1__spike__whole_mean,0.5713760005426672,0.5853174603174603,0.5641942190634089,0.5139109347442682,0.6431878306878307
postencode_mask,4,l1__spike__whole_mean,0.428175875050875,0.4372549019607843,0.45244476272997547,0.39186507936507936,0.4664351851851852
masked_accel_reencode,0,l1__syn_current__fixed250_ordered_mean,0.6411256703536115,0.6494252873563219,0.6330858678370802,0.6041666666666666,0.6923280423280423
masked_accel_reencode,1,l1__syn_current__fixed250_ordered_mean,0.5917281792281792,0.5857988165680473,0.5874919462019171,0.5548941798941799,0.629861111111111
masked_accel_reencode,2,l1__syn_current__fixed250_ordered_mean,0.6222988816738817,0.627906976744186,0.6270910986856946,0.7058531746031745,0.5358796296296297
masked_accel_reencode,3,l1__syn_current__fixed250_ordered_mean,0.7210092762176096,0.7321428571428571,0.7231499829833946,0.7022376543209877,0.7466931216931215
masked_accel_reencode,4,l1__syn_current__fixed250_ordered_mean,0.6139830077330078,0.6137254901960785,0.62785218401128,0.6155753968253967,0.6121031746031745
original,0,l1__syn_current__fixed250_ordered_mean,0.6542693145634323,0.6590038314176245,0.6465819202534511,0.580787037037037,0.7407738095238097
original,1,l1__syn_current__fixed250_ordered_mean,0.5787182724682725,0.5976331360946746,0.5825792193676742,0.5879629629629629,0.5658068783068783
original,2,l1__syn_current__fixed250_ordered_mean,0.5992554513387848,0.5988372093023256,0.599508231987496,0.5744047619047619,0.6157407407407408
original,3,l1__syn_current__fixed250_ordered_mean,0.7381673110839778,0.751984126984127,0.7363743112035254,0.7272376543209877,0.7542989417989417
original,4,l1__syn_current__fixed250_ordered_mean,0.6022944647944648,0.6058823529411765,0.5979208571689115,0.5615079365079365,0.640542328042328
postencode_mask,0,l1__syn_current__fixed250_ordered_mean,0.6818706484147662,0.6800766283524903,0.6742965720525934,0.6313271604938272,0.7467261904761905
postencode_mask,1,l1__syn_current__fixed250_ordered_mean,0.6539344914344914,0.6666666666666666,0.6559695741019613,0.6359126984126984,0.6728835978835979
postencode_mask,2,l1__syn_current__fixed250_ordered_mean,0.5959560886644221,0.5930232558139535,0.6032727771379055,0.5538690476190475,0.6380621693121693
postencode_mask,3,l1__syn_current__fixed250_ordered_mean,0.7260437864604531,0.7361111111111112,0.7297851049684393,0.7125881834215169,0.7493386243386242
postencode_mask,4,l1__syn_current__fixed250_ordered_mean,0.6195080382580382,0.6274509803921569,0.6343835445458365,0.6049933862433862,0.636904761904762
masked_accel_reencode,0,l1__syn_current__whole_mean,0.5243471193838841,0.5344827586206896,0.5181634618415102,0.49043209876543203,0.5617063492063492
masked_accel_reencode,1,l1__syn_current__whole_mean,0.4797794797794797,0.48323471400394474,0.477477808056247,0.4360119047619048,0.5301587301587302
masked_accel_reencode,2,l1__syn_current__whole_mean,0.5328553391053392,0.5368217054263565,0.5307432849350481,0.5736111111111112,0.48908730158730157
masked_accel_reencode,3,l1__syn_current__whole_mean,0.6331993623660291,0.6408730158730159,0.6330058486765683,0.6521604938271605,0.611111111111111
masked_accel_reencode,4,l1__syn_current__whole_mean,0.5041170634920635,0.511764705882353,0.501773181727821,0.47635582010582006,0.5373677248677249
original,0,l1__syn_current__whole_mean,0.5485291261026556,0.5555555555555556,0.5347561607278523,0.5332561728395061,0.5595238095238094
original,1,l1__syn_current__whole_mean,0.41624521312021306,0.4220907297830374,0.4086582215734617,0.3993055555555555,0.433829365079365
original,2,l1__syn_current__whole_mean,0.4406821188071188,0.439922480620155,0.44247554711628334,0.4262896825396825,0.4505621693121693
original,3,l1__syn_current__whole_mean,0.5560799925383259,0.5753968253968255,0.5303848067334885,0.571604938271605,0.5376984126984127
original,4,l1__syn_current__whole_mean,0.4107206450956451,0.4058823529411764,0.4107227679384104,0.43105158730158727,0.3908730158730158
postencode_mask,0,l1__syn_current__whole_mean,0.4825906120023767,0.4904214559386973,0.4796065557728451,0.47199074074074066,0.4996362433862434
postencode_mask,1,l1__syn_current__whole_mean,0.5043799950049951,0.5108481262327417,0.5010912614884383,0.4713955026455026,0.5398809523809524
postencode_mask,2,l1__syn_current__whole_mean,0.44633888488055157,0.44379844961240306,0.44898187528559297,0.4590277777777778,0.431547619047619
postencode_mask,3,l1__syn_current__whole_mean,0.6313178334011668,0.6448412698412699,0.6282955439094916,0.6104828042328042,0.6590608465608466
postencode_mask,4,l1__syn_current__whole_mean,0.4760047822547822,0.47450980392156866,0.48460684372495777,0.4794973544973545,0.4702380952380952
masked_accel_reencode,0,l2__post_reset__fixed250_ordered_mean,0.5846545203162851,0.5919540229885057,0.5762495780204868,0.571604938271605,0.6120039682539682
masked_accel_reencode,1,l2__post_reset__fixed250_ordered_mean,0.5464053307803307,0.5463510848126233,0.5490688791267316,0.5348875661375662,0.5586970899470899
masked_accel_reencode,2,l2__post_reset__fixed250_ordered_mean,0.4788991101491102,0.4825581395348837,0.4839060913932233,0.48095238095238096,0.47288359788359785
masked_accel_reencode,3,l2__post_reset__fixed250_ordered_mean,0.7007300569800571,0.7123015873015873,0.695306875218111,0.6978615520282188,0.7040343915343915
masked_accel_reencode,4,l2__post_reset__fixed250_ordered_mean,0.5061177248677248,0.515686274509804,0.5220614988020672,0.4403108465608465,0.578207671957672
original,0,l2__post_reset__fixed250_ordered_mean,0.5777974408489115,0.5881226053639846,0.560531997163974,0.5329475308641975,0.6340939153439152
original,1,l2__post_reset__fixed250_ordered_mean,0.5729181697931698,0.5838264299802761,0.5724449517521634,0.5610119047619048,0.5800925925925925
original,2,l2__post_reset__fixed250_ordered_mean,0.47510421677088344,0.4767441860465116,0.47680089122744845,0.47341269841269834,0.46908068783068785
original,3,l2__post_reset__fixed250_ordered_mean,0.6303830043413376,0.6547619047619048,0.6233028011231897,0.6097222222222224,0.6574074074074073
original,4,l2__post_reset__fixed250_ordered_mean,0.5055949837199838,0.5156862745098039,0.5073623513037927,0.4576719576719576,0.5553902116402116
postencode_mask,0,l2__post_reset__fixed250_ordered_mean,0.6059392472995414,0.6111111111111112,0.6023406351588422,0.5555555555555555,0.6626322751322752
postencode_mask,1,l2__post_reset__fixed250_ordered_mean,0.6201483701483702,0.6232741617357003,0.6202324591761434,0.5515873015873016,0.6900462962962962
postencode_mask,2,l2__post_reset__fixed250_ordered_mean,0.5080081569664903,0.5174418604651163,0.5164902828770609,0.5209325396825397,0.49206349206349204
postencode_mask,3,l2__post_reset__fixed250_ordered_mean,0.6755808234974902,0.6924603174603176,0.6756496757398215,0.6548500881834216,0.7010582010582009
postencode_mask,4,l2__post_reset__fixed250_ordered_mean,0.5115613553113553,0.5196078431372549,0.5331331832527423,0.44212962962962954,0.5831679894179894
masked_accel_reencode,0,l2__post_reset__whole_mean,0.49165500213294316,0.5019157088122604,0.4814637508779421,0.5030864197530864,0.4915674603174603
masked_accel_reencode,1,l2__post_reset__whole_mean,0.4975024975024975,0.504930966469428,0.5007369935379816,0.48412698412698413,0.5138558201058201
masked_accel_reencode,2,l2__post_reset__whole_mean,0.3919562690396023,0.39728682170542634,0.3844420759801693,0.38660714285714287,0.39814814814814814
masked_accel_reencode,3,l2__post_reset__whole_mean,0.531043956043956,0.5396825396825397,0.5214251119116706,0.5413690476190477,0.5218253968253969
masked_accel_reencode,4,l2__post_reset__whole_mean,0.4360513329263329,0.44313725490196076,0.4452342267360199,0.3797949735449735,0.49867724867724866
original,0,l2__post_reset__whole_mean,0.4271870762679586,0.43678160919540227,0.4132329275116456,0.4010802469135802,0.46719576719576716
original,1,l2__post_reset__whole_mean,0.4818429255929256,0.4891518737672584,0.4739182907070732,0.45403439153439146,0.5126653439153439
original,2,l2__post_reset__whole_mean,0.3401249599166265,0.3468992248062015,0.34461342802229233,0.32767857142857143,0.3473875661375661
original,3,l2__post_reset__whole_mean,0.5731684981684982,0.5892857142857143,0.5596192947503834,0.5636904761904762,0.5859788359788359
