variant,rotation,probe,test_balanced_accuracy,test_accuracy,test_macro_f1,test_action0_balanced_accuracy,test_action1_balanced_accuracy
masked_accel_reencode,0,input__events__fixed250_count,0.5279183235065588,0.5402298850574713,0.5289832224841712,0.49467592592592585,0.5683531746031746
masked_accel_reencode,1,input__events__fixed250_count,0.544131216006216,0.5443786982248521,0.5407389161310729,0.4761904761904762,0.6146825396825397
masked_accel_reencode,2,input__events__fixed250_count,0.5571744227994228,0.5523255813953488,0.5700039877158654,0.5833333333333334,0.5252976190476191
masked_accel_reencode,3,input__events__fixed250_count,0.6640809422059422,0.6785714285714285,0.6649952113534457,0.7138888888888889,0.5982142857142857
masked_accel_reencode,4,input__events__fixed250_count,0.5270909645909646,0.5294117647058824,0.5330981560700355,0.5089285714285714,0.5471230158730159
original,0,input__events__fixed250_count,0.6309327722930665,0.6379310344827587,0.6311917553887368,0.5680555555555555,0.7080357142857142
original,1,input__events__fixed250_count,0.5514471639471639,0.5562130177514792,0.5442013128982568,0.5411706349206349,0.5589285714285714
original,2,input__events__fixed250_count,0.6078132515632515,0.6162790697674418,0.6021509992842052,0.5485119047619047,0.6592261904761905
original,3,input__events__fixed250_count,0.6436825905575906,0.6547619047619048,0.643545648149691,0.6331349206349206,0.6617063492063492
original,4,input__events__fixed250_count,0.5456043956043957,0.5529411764705883,0.5387237852349979,0.4975198412698412,0.5982142857142857
postencode_mask,0,input__events__fixed250_count,0.6578262831939302,0.6666666666666666,0.6593279579800227,0.586574074074074,0.7513888888888888
postencode_mask,1,input__events__fixed250_count,0.6012109418359418,0.6153846153846154,0.6014189615820785,0.5957341269841271,0.6077380952380953
postencode_mask,2,input__events__fixed250_count,0.6119137806637808,0.6162790697674418,0.6159808451541842,0.575595238095238,0.648313492063492
postencode_mask,3,input__events__fixed250_count,0.6626907814407814,0.6726190476190478,0.6614511783831875,0.6349867724867725,0.7013888888888888
postencode_mask,4,input__events__fixed250_count,0.6047428266178266,0.6058823529411764,0.6190107592794046,0.5724206349206349,0.636904761904762
masked_accel_reencode,0,input__events__whole_count,0.4466076203208557,0.4655172413793103,0.4327197456378648,0.4074074074074074,0.4873015873015873
