split_seed,accuracy,balanced_accuracy,cohort,coverage,macro_f1,n_samples,observed_samples,observed_time_ms,samples_per_relative_bin
11,0.08173076923076923,0.08156318082788672,test,1.0,0.03601953601953602,208,10,156.25,1.0
23,0.1016949152542373,0.09908088235294117,test,1.0,0.04811720142602496,177,10,156.25,1.0
37,0.0949367088607595,0.08537851037851037,test,1.0,0.044616723500994604,158,10,156.25,1.0
53,0.10714285714285714,0.10081585081585082,test,1.0,0.05021367521367522,140,10,156.25,1.0
71,0.08888888888888889,0.08445669934640522,test,1.0,0.029414682539682536,180,10,156.25,1.0
11,0.10576923076923077,0.10443899782135076,test,1.0,0.06657208912063116,208,20,312.5,2.0
23,0.0903954802259887,0.0849673202614379,test,1.0,0.045140882509303565,177,20,312.5,2.0
37,0.0949367088607595,0.08418803418803418,test,1.0,0.031037649219467403,158,20,312.5,2.0
53,0.10714285714285714,0.1008158508158508,test,1.0,0.04657984988867342,140,20,312.5,2.0
71,0.07222222222222222,0.06678921568627451,test,1.0,0.033369940463354876,180,20,312.5,2.0
11,0.10096153846153846,0.09989106753812638,test,1.0,0.04484556991577204,208,30,468.75,3.0
23,0.10734463276836158,0.09867238562091503,test,1.0,0.05369699409554482,177,30,468.75,3.0
37,0.10126582278481013,0.09579517704517704,test,1.0,0.058992385115893164,158,30,468.75,3.0
53,0.10714285714285714,0.09965034965034965,test,1.0,0.05263157894736842,140,30,468.75,3.0
71,0.07222222222222222,0.06943277310924369,test,1.0,0.039128675459084813,180,30,468.75,3.0
11,0.0625,0.060416666666666674,test,1.0,0.027108410772465372,208,40,625.0,4.0
23,0.05649717514124294,0.052941176470588235,test,1.0,0.020839520839520842,177,40,625.0,4.0
37,0.10759493670886076,0.09569597069597069,test,1.0,0.04470669427191167,158,40,625.0,4.0
53,0.05,0.04720279720279721,test,1.0,0.016984605087014725,140,40,625.0,4.0
71,0.05,0.046875,test,1.0,0.01937984496124031,180,40,625.0,4.0
11,0.08333333333333333,0.09631283068783068,test,0.9807692307692307,0.04354655908484987,204,50,781.25,5.0
23,0.07602339181286549,0.07741798642533937,test,0.9661016949152542,0.041448448707976836,171,50,781.25,5.0
37,0.07741935483870968,0.07676767676767678,test,0.9810126582278481,0.0327320460704607,155,50,781.25,5.0
53,0.07857142857142857,0.0757090132090132,test,1.0,0.037385129490392646,140,50,781.25,5.0
