cohort,observed_samples,observed_time_ms,mean_balanced_accuracy,sd_balanced_accuracy,mean_accuracy,mean_macro_f1,mean_coverage,mean_n_samples
test,10,156.25,0.09025902474431886,0.008977414024768923,0.09487882787550242,0.041676363739982666,1.0,172.6
test,20,312.5,0.08823988375458963,0.015065063569212075,0.09409329984421166,0.044540082240286084,1.0,172.6
test,30,468.75,0.09268835059276236,0.01310182708812403,0.0977874146759579,0.04985904070673265,1.0,172.6
test,40,625.0,0.06062632220720456,0.020360964807411716,0.06531842237002075,0.025803815186430584,1.0,172.6
test,50,781.25,0.07957681887828946,0.009617945569447752,0.07686260515954327,0.038577090716262266,0.9789100501158,168.8
test,60,937.5,0.09270260240848475,0.03573284248165869,0.07568339314532138,0.05607493488668123,0.9014242988411623,155.4
test,70,1093.75,0.19738563587828292,0.06676673666434037,0.1363504867592551,0.11824738669568743,0.8057444400696921,138.6
test,80,1250.0,0.26854954596799513,0.06811283951234637,0.2085953268126067,0.1988177738511107,0.6803631574866289,116.8
test,90,1406.25,0.3694113065583654,0.1444656885725883,0.2998466295609153,0.27465619194342505,0.5264876214157483,90.0
test,100,1562.5,0.4131413131168033,0.09835214809159998,0.4270966547562292,0.29223232135694355,0.35011087901347504,58.8
test,110,1718.75,0.5607864501019263,0.11866601435121882,0.531837965955613,0.39718323602824496,0.23273865648999742,38.0
test,120,1875.0,0.45997023809523807,0.17735342297957962,0.45714285714285713,0.34026046176046176,0.12792260499994892,20.2
test,130,2031.25,0.34444444444444444,0.18588294471468456,0.3160479797979798,0.23948051948051946,0.07767709494967594,12.0
test,140,2187.5,0.24333333333333332,0.2540632758746296,0.2375,0.17120535714285712,0.05330217746745852,8.0
test,150,2343.75,0.4433333333333333,0.20994708327999648,0.4166666666666667,0.2851473922902494,0.04243349918097827,6.333333333333333
test,160,2500.0,0.19444444444444445,0.26787918780535985,0.2222222222222222,0.13333333333333333,0.020388362739789473,3.0
test,170,2656.25,0.6666666666666666,0.5773502691896258,0.6666666666666666,0.6666666666666666,0.0135167533365345,2.0
test,180,2812.5,0.16666666666666666,,0.25,0.13333333333333333,0.02857142857142857,4.0
test,190,2968.75,0.16666666666666666,,0.25,0.1111111111111111,0.02857142857142857,4.0
test,200,3125.0,0.0,,0.0,0.0,0.014285714285714285,2.0
test,210,3281.25,0.0,,0.0,0.0,0.014285714285714285,2.0
test,220,3437.5,0.0,,0.0,0.0,0.014285714285714285,2.0
test,230,3593.75,0.0,,0.0,0.0,0.014285714285714285,2.0
test,240,3750.0,0.0,,0.0,0.0,0.007142857142857143,1.0
train,10,156.25,0.08760848506314631,0.007605330627317449,0.09366618229380637,0.03799605998942836,1.0,501.6
train,20,312.5,0.100036594431867,0.009068255087004873,0.10650234648333004,0.053590874728006985,1.0,501.6
train,30,468.75,0.09610126104828912,0.01607122279013234,0.10134376403072749,0.060222546392797074,1.0,501.6
train,40,625.0,0.07078181160006512,0.0032406598334958035,0.07500093210017529,0.037836428409694665,1.0,501.6
train,50,781.25,0.084881309215046,0.009656827089262219,0.08430522733194754,0.04360602654963232,0.9872103663542269,495.2
train,60,937.5,0.12230335921564335,0.01418071115399601,0.10678186816766815,0.08425689110876458,0.9329757176853196,468.0
train,70,1093.75,0.1953205662620217,0.028748664761289795,0.150798516606375,0.12916948799628067,0.8524626473983361,427.6
train,80,1250.0,0.2876878677967568,0.007962904812040551,0.20285298500801882,0.19860687208034586,0.7356230564923639,369.0
train,90,1406.25,0.4393329124729787,0.022989658915694457,0.26840095019974386,0.280072421615777,0.5879531351458118,295.0
train,100,1562.5,0.4619372898254979,0.036781949608587806,0.35858463196591195,0.30077152479972036,0.4462033068532529,223.8
train,110,1718.75,0.5007929866723286,0.014044128227238783,0.4531357048748353,0.3377832106784632,0.34651742980507894,173.8
train,120,1875.0,0.5516328072735022,0.058683139176221366,0.5074079652825491,0.4134637360921124,0.245304269776714,123.2
train,130,2031.25,0.6212758612216817,0.033248146730470975,0.5382161253904962,0.4429879778420781,0.1630311667248224,82.0
train,140,2187.5,0.7542049943520532,0.04500169654732824,0.6766337259297722,0.5565683845069809,0.10732160917112585,54.0
train,150,2343.75,0.7427952999381571,0.0779700282421402,0.6642522974101921,0.5315964997569276,0.059139687765258166,29.8
train,160,2500.0,0.8085714285714285,0.12360732114753503,0.7944117647058824,0.6750875790875791,0.02975482564256942,15.0
train,170,2656.25,0.7866666666666666,0.29211869733608864,0.7968253968253969,0.7488888888888889,0.010676285341552582,5.4
train,180,2812.5,0.6666666666666666,0.22566773346211003,0.625,0.5333333333333333,0.007855144422284842,4.0
train,190,2968.75,0.8333333333333333,0.19245008972987526,0.8333333333333333,0.7466666666666667,0.007855144422284842,4.0
train,200,3125.0,0.0,0.0,0.0,0.0,0.003914853844179623,2.0
train,210,3281.25,0.0,0.0,0.0,0.0,0.003914853844179623,2.0
train,220,3437.5,0.5,0.0,0.5,0.3333333333333333,0.003914853844179623,2.0
train,230,3593.75,1.0,0.0,1.0,1.0,0.003914853844179623,2.0
train,240,3750.0,1.0,0.0,1.0,1.0,0.0019574269220898116,1.0
val,10,156.25,0.07603327464589074,0.010780399378458226,0.07734363193977646,0.029898974545602742,1.0,178.8
val,20,312.5,0.09166513253974554,0.011569969642904462,0.09417293014290841,0.04780467737306408,1.0,178.8
val,30,468.75,0.09182794451563801,0.010108341556449725,0.09654565038966327,0.05021020156028959,1.0,178.8
val,40,625.0,0.07521924390538941,0.012006722554924241,0.07590791011022653,0.03469273822404269,1.0,178.8
val,50,781.25,0.066865317416788,0.013327614208974313,0.06670521316658413,0.027758281429623104,0.9849190013832286,176.0
val,60,937.5,0.10799989698983507,0.03049348442552573,0.09241223416687057,0.07222245485326428,0.9168570702007548,163.6
val,70,1093.75,0.1754806119376553,0.07892572540560658,0.12367068902616234,0.10803270649641852,0.8290521779231291,147.8
val,80,1250.0,0.2558871070957688,0.06005205068051585,0.17614688361575945,0.16732906036533424,0.7028698336523618,125.2
val,90,1406.25,0.35668054168054175,0.13144092063185553,0.27906202665519436,0.22551040049894183,0.5628714531149643,100.0
val,100,1562.5,0.37789878471696653,0.09694732712576448,0.3556472587594716,0.26725464865446696,0.41457729790249553,73.4
val,110,1718.75,0.5151769495936163,0.0900660431789629,0.47599394972447706,0.3605949509596428,0.2910426508940161,51.2
val,120,1875.0,0.5111860670194004,0.09138543206646646,0.5066708437761069,0.37299124266503947,0.18753463815708332,32.6
val,130,2031.25,0.25586419753086415,0.16644289390162015,0.2793162393162393,0.17926817230388659,0.12140694763401652,21.0
val,140,2187.5,0.2761989795918367,0.20217329687521907,0.33517156862745096,0.19177429713144,0.09867483155994693,17.0
val,150,2343.75,0.5017857142857143,0.2051249550043409,0.4971014492753623,0.3511574074074074,0.06112323822045142,10.5
val,160,2500.0,0.5337301587301587,0.363891268968,0.5596153846153846,0.4688988095238095,0.0305628127695076,5.25
val,170,2656.25,0.06666666666666667,0.11547005383792516,0.047619047619047616,0.027777777777777776,0.023149310787432334,4.0
val,180,2812.5,0.08333333333333333,0.11785113019775792,0.16666666666666666,0.06666666666666667,0.028906866614048933,5.0
val,190,2968.75,0.08333333333333333,0.11785113019775792,0.16666666666666666,0.05555555555555555,0.028906866614048933,5.0
val,200,3125.0,0.0,0.0,0.0,0.0,0.01147724283083399,2.0
val,210,3281.25,0.0,0.0,0.0,0.0,0.01147724283083399,2.0
val,220,3437.5,0.0,0.0,0.0,0.0,0.01147724283083399,2.0
val,230,3593.75,0.0,0.0,0.0,0.0,0.01147724283083399,2.0
val,240,3750.0,0.0,0.0,0.0,0.0,0.005738621415416995,1.0
