split_seed,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
11,1.0,1.0,1.0,0.5476190476190477,0.5299068986568987,0.5265747592191816,0.8173076923076923,0.817824074074074,0.8150728645096385
23,1.0,1.0,1.0,0.6906077348066298,0.6866159711747947,0.6921542253939362,0.6949152542372882,0.6836465141612201,0.7002844000714182
37,1.0,1.0,1.0,0.7556818181818182,0.74994650638033,0.7494463765825327,0.7215189873417721,0.7286220723720724,0.7223291532756203
53,1.0,1.0,1.0,0.7839195979899497,0.7747739407278881,0.7850147052768022,0.6285714285714286,0.6054778554778554,0.6066854021570045
71,1.0,1.0,1.0,0.8470588235294118,0.8394001831501833,0.8424612621620735,0.7444444444444445,0.7381273342670401,0.7375975967647025
