architecture,objective,seed,firing_rate,layer,neurons,scope,shift,split,tau_syn_ms
A,fixed250_sequence_ce,11,0.013058368538767396,L1,128,whole_layer,-1,test,
A,fixed250_sequence_ce,23,0.01037201271537442,L1,128,whole_layer,-1,test,
A,fixed250_sequence_ce,101,0.013640164222995362,L1,128,whole_layer,-1,test,
A,fixed250_sequence_ce,11,0.08072204792080848,L2,128,whole_layer,-1,test,
A,fixed250_sequence_ce,23,0.05847920290755467,L2,128,whole_layer,-1,test,
A,fixed250_sequence_ce,101,0.0794380850314778,L2,128,whole_layer,-1,test,
A,fixed250_sequence_ce,11,0.2027755342942346,L3,64,whole_layer,-1,test,
A,fixed250_sequence_ce,23,0.14972016857190193,L3,64,whole_layer,-1,test,
A,fixed250_sequence_ce,101,0.24607304092113982,L3,64,whole_layer,-1,test,
A,fixed250_sequence_ce,11,0.011433437452894971,L1,128,whole_layer,-1,train,
A,fixed250_sequence_ce,23,0.009067194801279582,L1,128,whole_layer,-1,train,
A,fixed250_sequence_ce,101,0.0118292505485119,L1,128,whole_layer,-1,train,
A,fixed250_sequence_ce,11,0.06712322780411008,L2,128,whole_layer,-1,train,
A,fixed250_sequence_ce,23,0.04826643023431088,L2,128,whole_layer,-1,train,
A,fixed250_sequence_ce,101,0.06379551916023248,L2,128,whole_layer,-1,train,
A,fixed250_sequence_ce,11,0.1798621811512888,L3,64,whole_layer,-1,train,
A,fixed250_sequence_ce,23,0.12535983008692447,L3,64,whole_layer,-1,train,
A,fixed250_sequence_ce,101,0.19917498157669955,L3,64,whole_layer,-1,train,
A,fixed250_sequence_ce,11,0.007773406636818541,L1,128,whole_layer,-1,val,
A,fixed250_sequence_ce,23,0.005936018567289965,L1,128,whole_layer,-1,val,
A,fixed250_sequence_ce,101,0.008230181722412432,L1,128,whole_layer,-1,val,
A,fixed250_sequence_ce,11,0.04895312088490914,L2,128,whole_layer,-1,val,
A,fixed250_sequence_ce,23,0.03238713677464665,L2,128,whole_layer,-1,val,
