architecture,objective,seed,feature_dim,layer,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy
A,fixed250_sequence_ce,11,2048,L1,0.1,0.4246575342465753,0.4286630036630037,0.4290408623439476,fixed250,0.435491822991823
A,fixed250_sequence_ce,23,2048,L1,1.0,0.3904109589041096,0.38899780774780773,0.3866288122186489,fixed250,0.41639009139009137
A,fixed250_sequence_ce,101,2048,L1,0.1,0.4931506849315068,0.48511141636141636,0.4689287609906249,fixed250,0.45136483886483886
A,fixed250_sequence_ce,11,128,L1,10.0,0.3493150684931507,0.3549068986568986,0.34563449573267246,full_count,0.31631192881192877
A,fixed250_sequence_ce,23,128,L1,1.0,0.3767123287671233,0.3793525918525919,0.36849329883750176,full_count,0.333531746031746
A,fixed250_sequence_ce,101,128,L1,1.0,0.3561643835616438,0.34843628593628595,0.34853595480757704,full_count,0.3773869648869648
A,fixed250_sequence_ce,11,2048,L2,0.1,0.4863013698630137,0.4828657453657454,0.4898454873670391,fixed250,0.4681998556998557
A,fixed250_sequence_ce,23,2048,L2,0.1,0.4520547945205479,0.45451701076701073,0.44511162687886824,fixed250,0.4261904761904762
A,fixed250_sequence_ce,101,2048,L2,0.01,0.5273972602739726,0.5098838661338662,0.4993690654672665,fixed250,0.46495310245310245
A,fixed250_sequence_ce,11,128,L2,0.1,0.4041095890410959,0.38689713064713066,0.38107615244351073,full_count,0.3411075036075036
A,fixed250_sequence_ce,23,128,L2,10.0,0.2465753424657534,0.2511141636141636,0.2369739594377275,full_count,0.3365079365079365
A,fixed250_sequence_ce,101,128,L2,0.1,0.4383561643835616,0.4277319902319901,0.41958336721253425,full_count,0.41568061568061565
A,fixed250_sequence_ce,11,1024,L3,0.01,0.547945205479452,0.5315497002997003,0.5250091215670732,fixed250,0.4583032708032709
A,fixed250_sequence_ce,23,1024,L3,0.1,0.4863013698630137,0.4857899045399045,0.47501529873220383,fixed250,0.443915343915344
A,fixed250_sequence_ce,101,1024,L3,0.01,0.5684931506849316,0.5577713952713953,0.5422527234738171,fixed250,0.5258958633958634
A,fixed250_sequence_ce,11,64,L3,0.1,0.4452054794520548,0.42894952269952263,0.4259932603799507,full_count,0.33588864838864835
A,fixed250_sequence_ce,23,64,L3,0.1,0.3972602739726027,0.3826423576423576,0.35971428035338704,full_count,0.3432539682539682
A,fixed250_sequence_ce,101,64,L3,1.0,0.410958904109589,0.4000894938394938,0.3877320556199866,full_count,0.4525913900913902
B,fixed250_sequence_ce,11,2048,L1,0.1,0.4520547945205479,0.4394022644022644,0.42763006127598224,fixed250,0.47947330447330444
B,fixed250_sequence_ce,23,2048,L1,0.01,0.4246575342465753,0.40994005994005994,0.3943229631938632,fixed250,0.37864357864357867
B,fixed250_sequence_ce,101,2048,L1,0.01,0.4383561643835616,0.41926129426129416,0.3826182185248008,fixed250,0.42940115440115445
B,fixed250_sequence_ce,11,128,L1,0.1,0.3424657534246575,0.344479131979132,0.33218601992654057,full_count,0.3128667628667629
B,fixed250_sequence_ce,23,128,L1,0.1,0.3904109589041096,0.36852730602730605,0.33744262874964076,full_count,0.376034151034151
B,fixed250_sequence_ce,101,128,L1,0.01,0.363013698630137,0.3472777222777223,0.29261622415449523,full_count,0.33555796055796056
B,fixed250_sequence_ce,11,2048,L2,0.1,0.4657534246575342,0.4620115995115995,0.4453191960544902,fixed250,0.483044733044733
B,fixed250_sequence_ce,23,2048,L2,0.01,0.4520547945205479,0.44116092241092236,0.42328900243232054,fixed250,0.44487734487734487
B,fixed250_sequence_ce,101,2048,L2,0.1,0.4863013698630137,0.4722145909645909,0.4657425706338749,fixed250,0.45566378066378066
