objective,architecture,split,scope,layer,shift,mean_neurons,mean_firing_rate,sd_neurons,sd_firing_rate
fixed250_sequence_ce,A,test,whole_layer,L1,-1,128.0,0.012356848492379058,0.0,0.0017433592145065168
fixed250_sequence_ce,A,test,whole_layer,L2,-1,128.0,0.07287977861994697,0.0,0.012487777056448119
fixed250_sequence_ce,A,test,whole_layer,L3,-1,64.0,0.19952291459575877,0.0,0.04825871583107365
fixed250_sequence_ce,A,train,whole_layer,L1,-1,128.0,0.010776627600895483,0.0,0.0014935820613436216
fixed250_sequence_ce,A,train,whole_layer,L2,-1,128.0,0.05972839239955114,0.0,0.01006483202605408
fixed250_sequence_ce,A,train,whole_layer,L3,-1,64.0,0.16813233093830426,0.0,0.03828003640122225
fixed250_sequence_ce,A,val,whole_layer,L1,-1,128.0,0.007313202308840312,0.0,0.0012143463934140813
fixed250_sequence_ce,A,val,whole_layer,L2,-1,128.0,0.04385635223714629,0.0,0.009953090785798853
fixed250_sequence_ce,A,val,whole_layer,L3,-1,64.0,0.14084492874491558,0.0,0.0432589085267738
fixed250_sequence_ce,B,test,tau_subgroup,L1,2,64.0,0.0014962309476474487,0.0,0.0003948665292757694
fixed250_sequence_ce,B,test,tau_subgroup,L1,3,64.0,0.022354587751270156,0.0,0.0043025294431368495
fixed250_sequence_ce,B,test,tau_subgroup,L2,2,64.0,0.03539656160260658,0.0,0.0077141516738125325
fixed250_sequence_ce,B,test,tau_subgroup,L2,3,64.0,0.08917545076761652,0.0,0.012021889111891698
fixed250_sequence_ce,B,test,whole_layer,L1,-1,128.0,0.011925409349458802,0.0,0.002321600807433686
fixed250_sequence_ce,B,test,whole_layer,L2,-1,128.0,0.06228600618511156,0.0,0.009837892778222224
fixed250_sequence_ce,B,test,whole_layer,L3,-1,64.0,0.19603947495582064,0.0,0.027274172615108633
fixed250_sequence_ce,B,train,tau_subgroup,L1,2,64.0,0.00161064308484209,0.0,0.00046455063502474583
fixed250_sequence_ce,B,train,tau_subgroup,L1,3,64.0,0.0186123311895311,0.0,0.003133592747918787
fixed250_sequence_ce,B,train,tau_subgroup,L2,2,64.0,0.029462102433550505,0.0,0.005505951461058928
fixed250_sequence_ce,B,train,tau_subgroup,L2,3,64.0,0.07160758300255135,0.0,0.009310274989083286
fixed250_sequence_ce,B,train,whole_layer,L1,-1,128.0,0.010111487137186594,0.0,0.001796475988182816
fixed250_sequence_ce,B,train,whole_layer,L2,-1,128.0,0.05053484271805093,0.0,0.007400494418915462
fixed250_sequence_ce,B,train,whole_layer,L3,-1,64.0,0.15998019495201568,0.0,0.02332130211966197
fixed250_sequence_ce,B,val,tau_subgroup,L1,2,64.0,0.0006465264975272876,0.0,0.00023802137288362338
fixed250_sequence_ce,B,val,tau_subgroup,L1,3,64.0,0.01379287010212741,0.0,0.0028372172407790342
fixed250_sequence_ce,B,val,tau_subgroup,L2,2,64.0,0.019519704883972727,0.0,0.004961152042940387
fixed250_sequence_ce,B,val,tau_subgroup,L2,3,64.0,0.05563282781728265,0.0,0.008425013646302503
fixed250_sequence_ce,B,val,whole_layer,L1,-1,128.0,0.00721969829982735,0.0,0.001514726341827823
fixed250_sequence_ce,B,val,whole_layer,L2,-1,128.0,0.03757626635062769,0.0,0.006687501249054781
fixed250_sequence_ce,B,val,whole_layer,L3,-1,64.0,0.1318342514558277,0.0,0.02260204864999257
fixed250_sequence_ce,C,test,tau_subgroup,L1,2,43.0,0.0003069438665166623,0.0,3.202351174552602e-05
fixed250_sequence_ce,C,test,tau_subgroup,L1,3,43.0,0.005867893414705565,0.0,0.0010965730199893602
fixed250_sequence_ce,C,test,tau_subgroup,L1,4,42.0,0.04203088348217573,0.0,0.007709324706657316
fixed250_sequence_ce,C,test,tau_subgroup,L2,2,43.0,0.03125112374846528,0.0,0.007547227512821357
fixed250_sequence_ce,C,test,tau_subgroup,L2,3,43.0,0.0728439440874135,0.0,0.007016681421086646
fixed250_sequence_ce,C,test,tau_subgroup,L2,4,42.0,0.1446670506064144,0.0,0.019210499111706678
fixed250_sequence_ce,C,test,whole_layer,L1,-1,128.0,0.015865743041749505,0.0,0.0021784603351150283
fixed250_sequence_ce,C,test,whole_layer,L2,-1,128.0,0.08243831283134527,0.0,0.008403602306366107
fixed250_sequence_ce,C,test,whole_layer,L3,-1,64.0,0.22738223437154848,0.0,0.021285030255856315
fixed250_sequence_ce,C,train,tau_subgroup,L1,2,43.0,0.000493495172744733,0.0,5.024989371857418e-05
fixed250_sequence_ce,C,train,tau_subgroup,L1,3,43.0,0.005391704165678313,0.0,0.0008366185746829979
fixed250_sequence_ce,C,train,tau_subgroup,L1,4,42.0,0.03576592678373039,0.0,0.005653099705734454
fixed250_sequence_ce,C,train,tau_subgroup,L2,2,43.0,0.02688399669549089,0.0,0.004486235897936885
fixed250_sequence_ce,C,train,tau_subgroup,L2,3,43.0,0.06161509895285803,0.0,0.0033378399547947355
fixed250_sequence_ce,C,train,tau_subgroup,L2,4,42.0,0.128170874649512,0.0,0.014824104780287813
fixed250_sequence_ce,C,train,whole_layer,L1,-1,128.0,0.013712753878663025,0.0,0.0015849519247205918
fixed250_sequence_ce,C,train,whole_layer,L2,-1,128.0,0.07178623318873834,0.0,0.005723487947496324
fixed250_sequence_ce,C,train,whole_layer,L3,-1,64.0,0.20266747059250453,0.0,0.011332091220146421
fixed250_sequence_ce,C,val,tau_subgroup,L1,2,43.0,0.00012181519613947907,0.0,3.472713279604822e-05
fixed250_sequence_ce,C,val,tau_subgroup,L1,3,43.0,0.0028820522662049938,0.0,0.0007893726190519285
fixed250_sequence_ce,C,val,tau_subgroup,L1,4,42.0,0.02748758766667642,0.0,0.004887947728815217
fixed250_sequence_ce,C,val,tau_subgroup,L2,2,43.0,0.017701313222256928,0.0,0.004576236275045257
fixed250_sequence_ce,C,val,tau_subgroup,L2,3,43.0,0.047015901987084864,0.0,0.004296842625603444
fixed250_sequence_ce,C,val,tau_subgroup,L2,4,42.0,0.11007785316450051,0.0,0.020233687915326752
fixed250_sequence_ce,C,val,whole_layer,L1,-1,128.0,0.010028476428759547,0.0,0.001375578166114475
fixed250_sequence_ce,C,val,whole_layer,L2,-1,128.0,0.05786023505398999,0.0,0.008301826732245117
fixed250_sequence_ce,C,val,whole_layer,L3,-1,64.0,0.17024862464518772,0.0,0.018099326391945152
fixed250_sequence_ce,D,test,tau_subgroup,L1,2,64.0,0.000939674453280318,0.0,0.0002438028201897212
fixed250_sequence_ce,D,test,tau_subgroup,L1,3,64.0,0.01794743690633974,0.0,0.0031231437922256164
fixed250_sequence_ce,D,test,tau_subgroup,L2,2,32.0,0.033341616964877405,0.0,0.01217430900362464
fixed250_sequence_ce,D,test,tau_subgroup,L2,3,32.0,0.04543399326264635,0.0,0.0017740939135979764
fixed250_sequence_ce,D,test,tau_subgroup,L2,4,32.0,0.06468912221117738,0.0,0.010874265116511087
fixed250_sequence_ce,D,test,tau_subgroup,L2,5,32.0,0.13374009415727853,0.0,0.008182879650822006
fixed250_sequence_ce,D,test,whole_layer,L1,-1,128.0,0.009443555679810029,0.0,0.001642395786460043
fixed250_sequence_ce,D,test,whole_layer,L2,-1,128.0,0.06930120664899492,0.0,0.0008864053163407834
fixed250_sequence_ce,D,test,whole_layer,L3,-1,64.0,0.21322326457919152,0.0,0.01869606974552981
fixed250_sequence_ce,D,train,tau_subgroup,L1,2,64.0,0.0010807115022805813,0.0,0.0002827427482454727
fixed250_sequence_ce,D,train,tau_subgroup,L1,3,64.0,0.015240919546005214,0.0,0.0026344702065267604
fixed250_sequence_ce,D,train,tau_subgroup,L2,2,32.0,0.02757336521122593,0.0,0.008519073831948987
fixed250_sequence_ce,D,train,tau_subgroup,L2,3,32.0,0.038076740024899365,0.0,0.0015067095066707296
fixed250_sequence_ce,D,train,tau_subgroup,L2,4,32.0,0.05333842067652592,0.0,0.0063003068363694905
fixed250_sequence_ce,D,train,tau_subgroup,L2,5,32.0,0.11338215507952724,0.0,0.008466434031182093
fixed250_sequence_ce,D,train,whole_layer,L1,-1,128.0,0.008160815524142898,0.0,0.001412301814386718
fixed250_sequence_ce,D,train,whole_layer,L2,-1,128.0,0.05809267024804462,0.0,0.0010820866460757152
