architecture,objective,seed,feature_dim,group_neurons,layer,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy,shift,tau_syn_ms
E,fixed250_sequence_ce,23,43,43,L2,1.0,0.3561643835616438,0.3396769896769896,0.3088304549616577,full_count,0.3122715247715248,2,54.31342963722199
E,fixed250_sequence_ce,101,43,43,L2,10.0,0.2945205479452055,0.2863573926073926,0.26578669787003123,full_count,0.32229437229437224,2,54.31342963722199
E,fixed250_sequence_ce,11,688,43,L2,1.0,0.4383561643835616,0.4308205683205683,0.43294596794596796,fixed250,0.4176948051948051,3,117.0136826471659
E,fixed250_sequence_ce,23,688,43,L2,0.1,0.4931506849315068,0.4809447496947497,0.48234171107734336,fixed250,0.4496753246753246,3,117.0136826471659
E,fixed250_sequence_ce,101,688,43,L2,0.1,0.4315068493150685,0.4117750305250305,0.40350209826016287,fixed250,0.4159752284752285,3,117.0136826471659
E,fixed250_sequence_ce,11,43,43,L2,0.1,0.3767123287671233,0.3618610556110557,0.33701987297188535,full_count,0.34127585377585373,3,117.0136826471659
E,fixed250_sequence_ce,23,43,43,L2,0.1,0.4178082191780822,0.39922785547785544,0.37259566372509906,full_count,0.33667628667628663,3,117.0136826471659
E,fixed250_sequence_ce,101,43,43,L2,1.0,0.3561643835616438,0.34560439560439565,0.3372382879372399,full_count,0.35890452140452145,3,117.0136826471659
E,fixed250_sequence_ce,11,672,42,L2,0.1,0.4520547945205479,0.4413565601065601,0.43347560389458795,fixed250,0.4003066378066378,4,242.10347130039656
E,fixed250_sequence_ce,23,672,42,L2,0.1,0.5136986301369864,0.5073204573204574,0.5034376348539991,fixed250,0.4643217893217893,4,242.10347130039656
E,fixed250_sequence_ce,101,672,42,L2,0.1,0.4794520547945205,0.45842698967698964,0.46216881479610317,fixed250,0.4421957671957672,4,242.10347130039656
E,fixed250_sequence_ce,11,42,42,L2,1.0,0.3767123287671233,0.3766219891219891,0.3766641275077183,full_count,0.3396284271284271,4,242.10347130039656
E,fixed250_sequence_ce,23,42,42,L2,0.1,0.4726027397260274,0.46202131202131197,0.4604720344851923,full_count,0.3456349206349207,4,242.10347130039656
E,fixed250_sequence_ce,101,42,42,L2,1.0,0.363013698630137,0.35796703296703286,0.3662578600078599,full_count,0.39025372775372774,4,242.10347130039656
B,relative10_sequence_ce,11,1024,64,L1,0.1,0.2465753424657534,0.2415251415251415,0.23105672033070512,fixed250,0.22011183261183262,2,54.31342963722199
B,relative10_sequence_ce,23,1024,64,L1,0.01,0.3287671232876712,0.31445360195360195,0.3046671241596054,fixed250,0.21977513227513226,2,54.31342963722199
B,relative10_sequence_ce,101,1024,64,L1,1.0,0.2465753424657534,0.24862290487290487,0.23287476771218743,fixed250,0.2960978835978836,2,54.31342963722199
B,relative10_sequence_ce,11,64,64,L1,0.1,0.2191780821917808,0.2151785714285714,0.18353578285643504,full_count,0.19356060606060602,2,54.31342963722199
B,relative10_sequence_ce,23,64,64,L1,0.1,0.2808219178082192,0.27526223776223774,0.24966892469988447,full_count,0.2798340548340548,2,54.31342963722199
B,relative10_sequence_ce,101,64,64,L1,0.1,0.23972602739726026,0.23417970917970918,0.21337919773206948,full_count,0.18644179894179894,2,54.31342963722199
B,relative10_sequence_ce,11,1024,64,L1,0.1,0.4863013698630137,0.47885725385725375,0.4725710398344669,fixed250,0.4176406926406926,3,117.0136826471659
B,relative10_sequence_ce,23,1024,64,L1,0.1,0.4589041095890411,0.4488039738039738,0.4525084869843872,fixed250,0.468999518999519,3,117.0136826471659
B,relative10_sequence_ce,101,1024,64,L1,0.1,0.4589041095890411,0.4564407814407814,0.4538751796640083,fixed250,0.4322871572871572,3,117.0136826471659
B,relative10_sequence_ce,11,64,64,L1,0.1,0.4452054794520548,0.43269230769230776,0.4220716551727904,full_count,0.3508297258297259,3,117.0136826471659
B,relative10_sequence_ce,23,64,64,L1,1.0,0.3698630136986301,0.3600746475746475,0.3494796147385281,full_count,0.4147607022607023,3,117.0136826471659
B,relative10_sequence_ce,101,64,64,L1,1.0,0.4041095890410959,0.39581460206460206,0.38872708498894465,full_count,0.38965848965848965,3,117.0136826471659
B,relative10_sequence_ce,11,1024,64,L2,0.1,0.3972602739726027,0.38941544566544567,0.37198570045409013,fixed250,0.36845839345839343,2,54.31342963722199
B,relative10_sequence_ce,23,1024,64,L2,1.0,0.3972602739726027,0.381767538017538,0.3887859245139326,fixed250,0.3592352092352092,2,54.31342963722199
B,relative10_sequence_ce,101,1024,64,L2,0.1,0.3972602739726027,0.39736097236097234,0.3720290014780076,fixed250,0.38419312169312175,2,54.31342963722199
B,relative10_sequence_ce,11,64,64,L2,1.0,0.3356164383561644,0.3326333388833389,0.32181315452492365,full_count,0.3230880230880231,2,54.31342963722199
B,relative10_sequence_ce,23,64,64,L2,0.1,0.410958904109589,0.3858349983349983,0.35600657464059293,full_count,0.39481120731120734,2,54.31342963722199
B,relative10_sequence_ce,101,64,64,L2,0.1,0.3424657534246575,0.3364683927183927,0.30340290528758024,full_count,0.3420334295334295,2,54.31342963722199
B,relative10_sequence_ce,11,1024,64,L2,0.1,0.5,0.488941613941614,0.49404654422481237,fixed250,0.4516955266955267,3,117.0136826471659
B,relative10_sequence_ce,23,1024,64,L2,0.1,0.5136986301369864,0.5014062326562326,0.5025061563890653,fixed250,0.4735810485810487,3,117.0136826471659
B,relative10_sequence_ce,101,1024,64,L2,0.01,0.5342465753424658,0.5203005328005328,0.520296289752559,fixed250,0.4928571428571428,3,117.0136826471659
B,relative10_sequence_ce,11,64,64,L2,1.0,0.4178082191780822,0.4171821234321234,0.4047056601713464,full_count,0.38591871091871094,3,117.0136826471659
B,relative10_sequence_ce,23,64,64,L2,1.0,0.4657534246575342,0.45618131868131867,0.44819552570634946,full_count,0.4820827320827321,3,117.0136826471659
B,relative10_sequence_ce,101,64,64,L2,10.0,0.3356164383561644,0.347548285048285,0.33227429994105234,full_count,0.4093073593073593,3,117.0136826471659
C,relative10_sequence_ce,11,688,43,L1,0.1,0.1506849315068493,0.1391192141192141,0.11881733051332076,fixed250,0.11746031746031747,2,54.31342963722199
C,relative10_sequence_ce,23,688,43,L1,0.1,0.1506849315068493,0.13465700965700964,0.10067974574801784,fixed250,0.14305555555555555,2,54.31342963722199
C,relative10_sequence_ce,101,688,43,L1,0.001,0.0958904109589041,0.0847069597069597,0.03273040482342807,fixed250,0.10555555555555556,2,54.31342963722199
C,relative10_sequence_ce,11,43,43,L1,10.0,0.13013698630136986,0.13195138195138195,0.12487602267014032,full_count,0.0994047619047619,2,54.31342963722199
C,relative10_sequence_ce,23,43,43,L1,0.01,0.1643835616438356,0.14623015873015874,0.11097965232213898,full_count,0.13194444444444445,2,54.31342963722199
C,relative10_sequence_ce,101,43,43,L1,0.001,0.0958904109589041,0.0847069597069597,0.03474149450097646,full_count,0.09027777777777778,2,54.31342963722199
C,relative10_sequence_ce,11,688,43,L1,1.0,0.3013698630136986,0.2968580031080031,0.2846349339298885,fixed250,0.25911495911495913,3,117.0136826471659
C,relative10_sequence_ce,23,688,43,L1,10.0,0.3013698630136986,0.29792637917637915,0.28460778663261893,fixed250,0.29500962000962,3,117.0136826471659
C,relative10_sequence_ce,101,688,43,L1,0.1,0.3424657534246575,0.3359453046953047,0.3262522707644659,fixed250,0.3712061087061087,3,117.0136826471659
C,relative10_sequence_ce,11,43,43,L1,10.0,0.2671232876712329,0.25818487068487067,0.25236449360363206,full_count,0.2450276575276575,3,117.0136826471659
C,relative10_sequence_ce,23,43,43,L1,10.0,0.2808219178082192,0.2759927572427572,0.25884728907074644,full_count,0.3145021645021645,3,117.0136826471659
C,relative10_sequence_ce,101,43,43,L1,10.0,0.2945205479452055,0.2875728438228438,0.28162765006062107,full_count,0.30562770562770564,3,117.0136826471659
C,relative10_sequence_ce,11,672,42,L1,10.0,0.4452054794520548,0.435510323010323,0.43009684153403627,fixed250,0.4633116883116883,4,242.10347130039656
C,relative10_sequence_ce,23,672,42,L1,1.0,0.5,0.4890796703296703,0.4684077461408533,fixed250,0.4277898027898029,4,242.10347130039656
C,relative10_sequence_ce,101,672,42,L1,0.1,0.5068493150684932,0.4985632423132423,0.4907312422988983,fixed250,0.45090187590187586,4,242.10347130039656
C,relative10_sequence_ce,11,42,42,L1,10.0,0.4794520547945205,0.4798014485514485,0.46800190977782524,full_count,0.3978294853294853,4,242.10347130039656
C,relative10_sequence_ce,23,42,42,L1,1.0,0.4178082191780822,0.4082403707403708,0.3750049610707422,full_count,0.35992664742664743,4,242.10347130039656
C,relative10_sequence_ce,101,42,42,L1,10.0,0.3767123287671233,0.38291569541569537,0.35618606701940037,full_count,0.3626382876382876,4,242.10347130039656
C,relative10_sequence_ce,11,688,43,L2,1.0,0.4246575342465753,0.41861818736818734,0.4063474682116677,fixed250,0.41630591630591635,2,54.31342963722199
C,relative10_sequence_ce,23,688,43,L2,1.0,0.4041095890410959,0.4039356476856477,0.38207219372174445,fixed250,0.4128367003367004,2,54.31342963722199
C,relative10_sequence_ce,101,688,43,L2,0.1,0.4041095890410959,0.4018752081252081,0.3784809353287614,fixed250,0.3908429533429533,2,54.31342963722199
C,relative10_sequence_ce,11,43,43,L2,10.0,0.2945205479452055,0.29029859029859034,0.27804739120528593,full_count,0.33638167388167384,2,54.31342963722199
C,relative10_sequence_ce,23,43,43,L2,1.0,0.4041095890410959,0.4046460483960484,0.3803422220513675,full_count,0.32375541125541124,2,54.31342963722199
C,relative10_sequence_ce,101,43,43,L2,1.0,0.363013698630137,0.3642399267399268,0.345412175679139,full_count,0.34775733525733526,2,54.31342963722199
C,relative10_sequence_ce,11,688,43,L2,1.0,0.4589041095890411,0.45585456210456204,0.4610991122404166,fixed250,0.48469817219817224,3,117.0136826471659
C,relative10_sequence_ce,23,688,43,L2,0.01,0.5205479452054794,0.5088064713064714,0.504252419134649,fixed250,0.4099867724867725,3,117.0136826471659
C,relative10_sequence_ce,101,688,43,L2,1.0,0.4726027397260274,0.45640262515262514,0.4494515254969926,fixed250,0.4341991341991342,3,117.0136826471659
C,relative10_sequence_ce,11,43,43,L2,0.1,0.3561643835616438,0.3506888944388944,0.33340908389928003,full_count,0.38003246753246755,3,117.0136826471659
C,relative10_sequence_ce,23,43,43,L2,1.0,0.4246575342465753,0.40372821622821625,0.38351658148801726,full_count,0.34193722943722943,3,117.0136826471659
