architecture,objective,seed,feature_dim,group_neurons,layer,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy,shift,tau_syn_ms
B,fixed250_sequence_ce,11,1024,64,L1,0.1,0.2602739726027397,0.2431082806082806,0.21426483779677344,fixed250,0.2547799422799422,2,54.31342963722199
B,fixed250_sequence_ce,23,1024,64,L1,0.1,0.2054794520547945,0.20018315018315017,0.1650980005337024,fixed250,0.25466570466570465,2,54.31342963722199
B,fixed250_sequence_ce,101,1024,64,L1,0.01,0.2465753424657534,0.23196109446109445,0.20340698713721436,fixed250,0.17945526695526692,2,54.31342963722199
B,fixed250_sequence_ce,11,64,64,L1,0.1,0.15753424657534246,0.1537226662226662,0.14424066900913754,full_count,0.18816738816738818,2,54.31342963722199
B,fixed250_sequence_ce,23,64,64,L1,1.0,0.17123287671232876,0.15692640692640694,0.12694295438860656,full_count,0.2067760942760943,2,54.31342963722199
B,fixed250_sequence_ce,101,64,64,L1,0.01,0.2191780821917808,0.20307331557331557,0.16513325695653888,full_count,0.13270202020202018,2,54.31342963722199
B,fixed250_sequence_ce,11,1024,64,L1,0.1,0.4863013698630137,0.4790827228327228,0.477862233191414,fixed250,0.5066558441558441,3,117.0136826471659
B,fixed250_sequence_ce,23,1024,64,L1,0.1,0.4726027397260274,0.46553377178377175,0.4512913033471308,fixed250,0.389496151996152,3,117.0136826471659
B,fixed250_sequence_ce,101,1024,64,L1,0.1,0.4931506849315068,0.4837225274725274,0.4817065692065692,fixed250,0.4461399711399711,3,117.0136826471659
B,fixed250_sequence_ce,11,64,64,L1,0.1,0.3424657534246575,0.34088064713064714,0.3175380820308356,full_count,0.3420334295334295,3,117.0136826471659
B,fixed250_sequence_ce,23,64,64,L1,1.0,0.3493150684931507,0.336793068043068,0.3281272195157188,full_count,0.3627765752765752,3,117.0136826471659
B,fixed250_sequence_ce,101,64,64,L1,1.0,0.3904109589041096,0.3786539849039849,0.3697257681053283,full_count,0.37259499759499765,3,117.0136826471659
B,fixed250_sequence_ce,11,1024,64,L2,0.1,0.4520547945205479,0.44452422577422573,0.42702787923820984,fixed250,0.4622113997113997,2,54.31342963722199
B,fixed250_sequence_ce,23,1024,64,L2,0.1,0.3493150684931507,0.3460601898101898,0.3219993585083099,fixed250,0.35830928330928336,2,54.31342963722199
B,fixed250_sequence_ce,101,1024,64,L2,0.01,0.4520547945205479,0.4380966255966256,0.42093185991534804,fixed250,0.39153439153439157,2,54.31342963722199
B,fixed250_sequence_ce,11,64,64,L2,10.0,0.2876712328767123,0.28626234876234874,0.2624815252624915,full_count,0.258447570947571,2,54.31342963722199
B,fixed250_sequence_ce,23,64,64,L2,1.0,0.3287671232876712,0.32098110223110227,0.3058693864335965,full_count,0.3261964886964887,2,54.31342963722199
B,fixed250_sequence_ce,101,64,64,L2,0.1,0.3287671232876712,0.3113331113331113,0.2877365025636302,full_count,0.35639129389129387,2,54.31342963722199
B,fixed250_sequence_ce,11,1024,64,L2,0.1,0.4383561643835616,0.44180957930957926,0.4233450495582849,fixed250,0.46049182299182306,3,117.0136826471659
B,fixed250_sequence_ce,23,1024,64,L2,0.01,0.4657534246575342,0.45468906093906086,0.44484756604404013,fixed250,0.40178571428571425,3,117.0136826471659
B,fixed250_sequence_ce,101,1024,64,L2,0.01,0.4931506849315068,0.4815719003219003,0.48129302471407726,fixed250,0.4669011544011544,3,117.0136826471659
B,fixed250_sequence_ce,11,64,64,L2,1.0,0.3356164383561644,0.3378642191142191,0.336353095776295,full_count,0.40199615199615196,3,117.0136826471659
B,fixed250_sequence_ce,23,64,64,L2,1.0,0.3698630136986301,0.36113053613053614,0.34378902601303674,full_count,0.3711038961038961,3,117.0136826471659
B,fixed250_sequence_ce,101,64,64,L2,0.1,0.3904109589041096,0.3796481296481296,0.36663634942620443,full_count,0.3652176527176527,3,117.0136826471659
C,fixed250_sequence_ce,11,688,43,L1,0.001,0.1506849315068493,0.13628038628038627,0.09307416629843272,fixed250,0.12996031746031747,2,54.31342963722199
C,fixed250_sequence_ce,23,688,43,L1,1.0,0.15753424657534246,0.15846653346653347,0.12195872988571647,fixed250,0.12301587301587301,2,54.31342963722199
C,fixed250_sequence_ce,101,688,43,L1,0.1,0.0684931506849315,0.07372627372627373,0.04308061240906699,fixed250,0.11111111111111112,2,54.31342963722199
C,fixed250_sequence_ce,11,43,43,L1,0.001,0.11643835616438356,0.10119047619047618,0.03211805555555555,full_count,0.09027777777777778,2,54.31342963722199
C,fixed250_sequence_ce,23,43,43,L1,10.0,0.10273972602739725,0.09235902985902987,0.06418149802342564,full_count,0.10912698412698411,2,54.31342963722199
C,fixed250_sequence_ce,101,43,43,L1,0.01,0.10273972602739725,0.09299034299034299,0.06641535756602836,full_count,0.08964646464646464,2,54.31342963722199
C,fixed250_sequence_ce,11,688,43,L1,0.1,0.2602739726027397,0.25516428016428017,0.24818765589045474,fixed250,0.2560545935545936,3,117.0136826471659
C,fixed250_sequence_ce,23,688,43,L1,0.1,0.2945205479452055,0.2883644133644134,0.26718292672997207,fixed250,0.30777417027417026,3,117.0136826471659
C,fixed250_sequence_ce,101,688,43,L1,0.1,0.3493150684931507,0.33690129315129314,0.31822592206202244,fixed250,0.33584656084656084,3,117.0136826471659
C,fixed250_sequence_ce,11,43,43,L1,0.1,0.2534246575342466,0.24356754356754354,0.23243488226325756,full_count,0.19990981240981243,3,117.0136826471659
C,fixed250_sequence_ce,23,43,43,L1,1.0,0.3082191780821918,0.29457348207348205,0.2683004909582246,full_count,0.24543650793650795,3,117.0136826471659
C,fixed250_sequence_ce,101,43,43,L1,10.0,0.2191780821917808,0.21541583416583418,0.21901514467303942,full_count,0.21888528138528138,3,117.0136826471659
C,fixed250_sequence_ce,11,672,42,L1,0.1,0.5273972602739726,0.5167291042291041,0.5252589379712496,fixed250,0.5322871572871574,4,242.10347130039656
C,fixed250_sequence_ce,23,672,42,L1,10.0,0.3972602739726027,0.393290737040737,0.3925790128593332,fixed250,0.4386483886483887,4,242.10347130039656
C,fixed250_sequence_ce,101,672,42,L1,0.01,0.5205479452054794,0.5013139638139638,0.48099415204678353,fixed250,0.4187169312169312,4,242.10347130039656
C,fixed250_sequence_ce,11,42,42,L1,1.0,0.4452054794520548,0.444993894993895,0.4205905599074479,full_count,0.4178932178932178,4,242.10347130039656
C,fixed250_sequence_ce,23,42,42,L1,1.0,0.4246575342465753,0.4098810911310911,0.38665914757868775,full_count,0.38452982202982205,4,242.10347130039656
C,fixed250_sequence_ce,101,42,42,L1,0.1,0.4041095890410959,0.3920177045177045,0.3732106797498958,full_count,0.3321488696488697,4,242.10347130039656
C,fixed250_sequence_ce,11,688,43,L2,0.1,0.4726027397260274,0.46451048951048945,0.4527681414888214,fixed250,0.45519480519480515,2,54.31342963722199
C,fixed250_sequence_ce,23,688,43,L2,0.1,0.3972602739726027,0.3962586025086025,0.3716543231608067,fixed250,0.324476911976912,2,54.31342963722199
C,fixed250_sequence_ce,101,688,43,L2,0.1,0.4041095890410959,0.38962287712287713,0.375517624027234,fixed250,0.3403499278499278,2,54.31342963722199
C,fixed250_sequence_ce,11,43,43,L2,1.0,0.3150684931506849,0.3137112887112887,0.29321879165153564,full_count,0.35687830687830685,2,54.31342963722199
C,fixed250_sequence_ce,23,43,43,L2,1.0,0.3356164383561644,0.3246517371517372,0.30239647086629845,full_count,0.334992784992785,2,54.31342963722199
C,fixed250_sequence_ce,101,43,43,L2,1.0,0.3150684931506849,0.29614274614274616,0.2677751691598115,full_count,0.2721320346320346,2,54.31342963722199
C,fixed250_sequence_ce,11,688,43,L2,0.1,0.589041095890411,0.5879412254412254,0.5855920937154988,fixed250,0.49794973544973553,3,117.0136826471659
C,fixed250_sequence_ce,23,688,43,L2,0.1,0.5,0.4918172105672105,0.4933085055198147,fixed250,0.3765271765271765,3,117.0136826471659
C,fixed250_sequence_ce,101,688,43,L2,0.01,0.5273972602739726,0.5124972249972249,0.49234311875517806,fixed250,0.4494408369408369,3,117.0136826471659
C,fixed250_sequence_ce,11,43,43,L2,0.1,0.4383561643835616,0.4317474192474193,0.42665462712782803,full_count,0.38647787397787386,3,117.0136826471659
C,fixed250_sequence_ce,23,43,43,L2,0.1,0.3767123287671233,0.3616855366855367,0.33020260940519564,full_count,0.3202741702741703,3,117.0136826471659
C,fixed250_sequence_ce,101,43,43,L2,0.1,0.363013698630137,0.3577394827394827,0.34026800260671236,full_count,0.38852813852813856,3,117.0136826471659
C,fixed250_sequence_ce,11,672,42,L2,10.0,0.4383561643835616,0.42886557886557886,0.4392647588871845,fixed250,0.41911976911976917,4,242.10347130039656
C,fixed250_sequence_ce,23,672,42,L2,0.1,0.589041095890411,0.581447718947719,0.5839616050331775,fixed250,0.4581349206349206,4,242.10347130039656
C,fixed250_sequence_ce,101,672,42,L2,0.1,0.4794520547945205,0.4702686202686202,0.45983083817869147,fixed250,0.44752886002886005,4,242.10347130039656
C,fixed250_sequence_ce,11,42,42,L2,0.1,0.4452054794520548,0.42521575646575643,0.4047277661550488,full_count,0.340518278018278,4,242.10347130039656
C,fixed250_sequence_ce,23,42,42,L2,1.0,0.4383561643835616,0.44056776556776556,0.4332847442305119,full_count,0.4085978835978836,4,242.10347130039656
C,fixed250_sequence_ce,101,42,42,L2,1.0,0.3904109589041096,0.3880404317904318,0.3839925571504519,full_count,0.3557900432900433,4,242.10347130039656
D,fixed250_sequence_ce,11,1024,64,L1,1.0,0.19863013698630136,0.19666167166167162,0.1838376860306685,fixed250,0.1806277056277056,2,54.31342963722199
D,fixed250_sequence_ce,23,1024,64,L1,0.1,0.19863013698630136,0.19610389610389609,0.15897156024571082,fixed250,0.1805916305916306,2,54.31342963722199
D,fixed250_sequence_ce,101,1024,64,L1,0.01,0.2465753424657534,0.23995171495171494,0.20864927470190628,fixed250,0.21035353535353538,2,54.31342963722199
D,fixed250_sequence_ce,11,64,64,L1,0.01,0.19863013698630136,0.17307692307692304,0.11986528822055137,full_count,0.17499999999999996,2,54.31342963722199
D,fixed250_sequence_ce,23,64,64,L1,0.1,0.1780821917808219,0.16247086247086248,0.13513052400943762,full_count,0.1674963924963925,2,54.31342963722199
D,fixed250_sequence_ce,101,64,64,L1,1.0,0.15753424657534246,0.1605679043179043,0.1588952564475325,full_count,0.1859848484848485,2,54.31342963722199
D,fixed250_sequence_ce,11,1024,64,L1,0.1,0.4931506849315068,0.4911227661227661,0.4830952226785559,fixed250,0.48347763347763356,3,117.0136826471659
D,fixed250_sequence_ce,23,1024,64,L1,0.1,0.4452054794520548,0.4455433455433455,0.429964718619035,fixed250,0.45695646945646945,3,117.0136826471659
D,fixed250_sequence_ce,101,1024,64,L1,0.1,0.4041095890410959,0.39374444999444996,0.37197550432028553,fixed250,0.4149531024531024,3,117.0136826471659
D,fixed250_sequence_ce,11,64,64,L1,1.0,0.4246575342465753,0.4205891330891331,0.3995801440847881,full_count,0.3468674843674843,3,117.0136826471659
D,fixed250_sequence_ce,23,64,64,L1,0.1,0.3972602739726027,0.3859744422244422,0.35917017590727635,full_count,0.34699374699374697,3,117.0136826471659
D,fixed250_sequence_ce,101,64,64,L1,1.0,0.3219178082191781,0.30787476412476406,0.3027270623903334,full_count,0.3973605098605099,3,117.0136826471659
D,fixed250_sequence_ce,11,512,32,L2,0.01,0.3561643835616438,0.34726384726384724,0.3217690532439408,fixed250,0.3790343915343916,2,54.31342963722199
D,fixed250_sequence_ce,23,512,32,L2,1.0,0.3150684931506849,0.31992521367521365,0.3111324487834762,fixed250,0.3479256854256854,2,54.31342963722199
D,fixed250_sequence_ce,101,512,32,L2,0.1,0.3767123287671233,0.3657072094572094,0.3493246370750181,fixed250,0.3517917267917268,2,54.31342963722199
D,fixed250_sequence_ce,11,32,32,L2,10.0,0.3150684931506849,0.2982149794649795,0.2779305614102986,full_count,0.3150132275132275,2,54.31342963722199
D,fixed250_sequence_ce,23,32,32,L2,1.0,0.23972602739726026,0.25002566877566873,0.22544036932081393,full_count,0.24745670995670996,2,54.31342963722199
D,fixed250_sequence_ce,101,32,32,L2,10.0,0.2945205479452055,0.2809648684648684,0.27347554928770895,full_count,0.32612433862433865,2,54.31342963722199
D,fixed250_sequence_ce,11,512,32,L2,1.0,0.4383561643835616,0.4319749694749695,0.4173159390327461,fixed250,0.4170634920634921,3,117.0136826471659
D,fixed250_sequence_ce,23,512,32,L2,0.1,0.3219178082191781,0.3152472527472528,0.31383942706404544,fixed250,0.35562770562770557,3,117.0136826471659
D,fixed250_sequence_ce,101,512,32,L2,0.01,0.3904109589041096,0.3830752580752581,0.3437740593313349,fixed250,0.39060846560846557,3,117.0136826471659
D,fixed250_sequence_ce,11,32,32,L2,1.0,0.3767123287671233,0.36814158064158065,0.3374243587478882,full_count,0.3073112073112073,3,117.0136826471659
D,fixed250_sequence_ce,23,32,32,L2,0.1,0.3972602739726027,0.3823967698967699,0.34452984792277225,full_count,0.34977152477152473,3,117.0136826471659
D,fixed250_sequence_ce,101,32,32,L2,1.0,0.3013698630136986,0.2961996336996337,0.2849726423002285,full_count,0.3170695045695046,3,117.0136826471659
D,fixed250_sequence_ce,11,512,32,L2,0.1,0.4589041095890411,0.45715534465534463,0.44542406064145196,fixed250,0.4466991341991342,4,242.10347130039656
D,fixed250_sequence_ce,23,512,32,L2,0.01,0.4315068493150685,0.423274642024642,0.4207044607933901,fixed250,0.4057539682539682,4,242.10347130039656
D,fixed250_sequence_ce,101,512,32,L2,0.01,0.4315068493150685,0.42208832833832827,0.41295780379352837,fixed250,0.42896825396825394,4,242.10347130039656
D,fixed250_sequence_ce,11,32,32,L2,1.0,0.3698630136986301,0.3631320068820069,0.3576689051689052,full_count,0.3283128908128908,4,242.10347130039656
D,fixed250_sequence_ce,23,32,32,L2,10.0,0.2808219178082192,0.2785970973470973,0.26238094467261136,full_count,0.35939754689754694,4,242.10347130039656
D,fixed250_sequence_ce,101,32,32,L2,1.0,0.3698630136986301,0.3566662504162504,0.34085775863496076,full_count,0.3644901394901394,4,242.10347130039656
D,fixed250_sequence_ce,11,512,32,L2,1.0,0.4520547945205479,0.4444617882117882,0.4436128364389234,fixed250,0.4351250601250602,5,492.1461612435418
D,fixed250_sequence_ce,23,512,32,L2,0.1,0.4520547945205479,0.44256715506715505,0.45498375052655576,fixed250,0.4069444444444444,5,492.1461612435418
D,fixed250_sequence_ce,101,512,32,L2,0.1,0.4931506849315068,0.4806561494061494,0.47927763985813515,fixed250,0.4256974506974507,5,492.1461612435418
D,fixed250_sequence_ce,11,32,32,L2,1.0,0.4246575342465753,0.41996891996892,0.4076001732764924,full_count,0.3715728715728716,5,492.1461612435418
D,fixed250_sequence_ce,23,32,32,L2,1.0,0.363013698630137,0.35986582861582866,0.35250565555544644,full_count,0.35953583453583454,5,492.1461612435418
D,fixed250_sequence_ce,101,32,32,L2,1.0,0.3698630136986301,0.36566697191697184,0.3592631614818576,full_count,0.3950156325156325,5,492.1461612435418
E,fixed250_sequence_ce,11,1024,64,L1,0.1,0.273972602739726,0.2638986013986014,0.24890419590058876,fixed250,0.2694805194805195,2,54.31342963722199
E,fixed250_sequence_ce,23,1024,64,L1,0.01,0.2808219178082192,0.27025890775890776,0.24711398755107453,fixed250,0.23644179894179895,2,54.31342963722199
E,fixed250_sequence_ce,101,1024,64,L1,0.01,0.2465753424657534,0.2267413142413142,0.18519408831908832,fixed250,0.17667748917748916,2,54.31342963722199
E,fixed250_sequence_ce,11,64,64,L1,0.1,0.2671232876712329,0.2514679764679764,0.22981969011380776,full_count,0.2887626262626263,2,54.31342963722199
E,fixed250_sequence_ce,23,64,64,L1,10.0,0.2328767123287671,0.22181429681429676,0.1934689114062179,full_count,0.17784992784992784,2,54.31342963722199
E,fixed250_sequence_ce,101,64,64,L1,0.1,0.2191780821917808,0.20445804195804196,0.17455306397921488,full_count,0.16262626262626262,2,54.31342963722199
E,fixed250_sequence_ce,11,1024,64,L1,0.1,0.4246575342465753,0.42596570096570097,0.4124559233701702,fixed250,0.43304473304473307,3,117.0136826471659
E,fixed250_sequence_ce,23,1024,64,L1,1.0,0.4178082191780822,0.41727161727161727,0.40100969316655594,fixed250,0.4741281866281866,3,117.0136826471659
E,fixed250_sequence_ce,101,1024,64,L1,1.0,0.4041095890410959,0.39672272172272166,0.38577381837354796,fixed250,0.462512025012025,3,117.0136826471659
E,fixed250_sequence_ce,11,64,64,L1,0.1,0.3972602739726027,0.389467476967477,0.37134866938162864,full_count,0.3466690716690716,3,117.0136826471659
E,fixed250_sequence_ce,23,64,64,L1,1.0,0.3493150684931507,0.3394716394716395,0.32769767098380825,full_count,0.3394179894179894,3,117.0136826471659
E,fixed250_sequence_ce,101,64,64,L1,0.1,0.3835616438356164,0.368944943944944,0.35128243656538666,full_count,0.328481240981241,3,117.0136826471659
E,fixed250_sequence_ce,11,688,43,L2,1.0,0.3150684931506849,0.317233460983461,0.2945482567327073,fixed250,0.3169973544973545,2,54.31342963722199
E,fixed250_sequence_ce,23,688,43,L2,0.1,0.3356164383561644,0.32989579864579865,0.31576542349969006,fixed250,0.3905122655122655,2,54.31342963722199
E,fixed250_sequence_ce,101,688,43,L2,0.1,0.3493150684931507,0.33551032301032296,0.3320189388930107,fixed250,0.3733826358826359,2,54.31342963722199
E,fixed250_sequence_ce,11,43,43,L2,0.01,0.3287671232876712,0.31115689865689866,0.25746327741272124,full_count,0.24384920634920634,2,54.31342963722199
