objective,architecture,mean_test_balanced_accuracy,mean_test_macro_f1,mean_test_accuracy,mean_val_balanced_accuracy,mean_train_balanced_accuracy,mean_train_test_ba_gap,mean_best_epoch,sd_test_balanced_accuracy,sd_test_macro_f1,sd_test_accuracy,sd_val_balanced_accuracy,sd_train_balanced_accuracy,sd_train_test_ba_gap,sd_best_epoch
fixed250_sequence_ce,A,0.45316165316165313,0.4471413641977717,0.46575342465753417,0.4976571268237935,0.9395022077097375,0.4863405545480844,68.33333333333333,0.007486402000809549,0.0053686842978163014,0.0136986301369863,0.04608841150965678,0.057551367284566675,0.05346946970303165,22.744962812309307
fixed250_sequence_ce,B,0.4846172346172346,0.48031797072060317,0.4931506849315069,0.5148909732243065,0.9445345550085329,0.45991732039129835,80.66666666666667,0.023960694696186377,0.02889029734151314,0.02372672339135451,0.03191046603149053,0.023636526930751977,0.010482107866078632,15.01110699893027
fixed250_sequence_ce,C,0.49097499722499727,0.48600491229991327,0.5,0.5074494949494949,0.9732631014517653,0.482288104226768,75.0,0.020595032198870347,0.02363486058734804,0.018121584322360235,0.014174092393129225,0.012493771820705456,0.02019000678572974,5.291502622129181
fixed250_sequence_ce,D,0.4382270507270507,0.4353440185391979,0.4474885844748859,0.486672278338945,0.9576000387276885,0.5193729880006378,92.0,0.02211276726979843,0.023233973236397518,0.02593108833698756,0.024225365160763835,0.012622748193594673,0.03462142295278602,4.358898943540674
fixed250_sequence_ce,E,0.4570815758315758,0.4572980033098022,0.4703196347031963,0.5047939714606381,0.9524790540280099,0.4953974781964341,85.66666666666667,0.02761771501836176,0.020412568289837143,0.027681177289913598,0.006305253832987359,0.008603272825550302,0.025970661293866926,12.583057392117917
relative10_sequence_ce,A,0.5683846246346246,0.570236476914504,0.5730593607305936,0.603882074715408,0.9737969497856659,0.4054123251510413,88.0,0.03265228731755285,0.025927267221196256,0.03378686891997429,0.021847056220836037,0.005817882840955147,0.036364271464429415,11.532562594670797
relative10_sequence_ce,B,0.586774568024568,0.5868515161767274,0.591324200913242,0.568560606060606,0.969178574374066,0.382404006349498,82.33333333333333,0.020078276169751948,0.023590028415036015,0.015817815594236322,0.012278522146586594,0.00824534245196563,0.012694431486122943,14.57166199626293
relative10_sequence_ce,C,0.5613305675805675,0.559372207771183,0.5707762557077626,0.5648729357062691,0.9768544381414341,0.41552387056086665,80.0,0.031036772799722737,0.023829358898340414,0.027681177289913556,0.019835094522463105,0.005074657463237995,0.034896303037022826,16.64331697709324
relative10_sequence_ce,D,0.555581918081918,0.5503563906762288,0.5662100456621005,0.568817139650473,0.9559475354174296,0.4003656173355115,95.66666666666667,0.08052458786566198,0.07976033594707853,0.07879193573852696,0.024353314254303298,0.012984405907851685,0.06787023640407651,3.78593889720018
relative10_sequence_ce,E,0.532746188996189,0.5267774418015218,0.5388127853881279,0.5697009780343113,0.9390940818309453,0.4063478928347564,84.33333333333333,0.023979680234462113,0.025698567336161836,0.02768117728991362,0.018294911085533435,0.04904234514100745,0.030267192317476845,23.75570107012911
timestep_ce,A,0.4536680911680911,0.40237205700206996,0.4748858447488584,0.4640512265512265,0.7732794941068032,0.3196114029387121,70.66666666666667,0.038417591260017654,0.03464408098888131,0.038946854130666626,0.02815230406832407,0.11416394886423323,0.1307039882215128,19.73153144926499
timestep_ce,B,0.4314673752173752,0.39645295992471913,0.4589041095890411,0.42085337502004166,0.7359548928679208,0.3044875176505455,76.0,0.004438223112627962,0.01508537735216852,0.006849315068493143,0.011514326293828281,0.1017962445302866,0.10195427226431897,19.467922333931785
timestep_ce,C,0.4620391182891182,0.4345142253042613,0.4794520547945205,0.43802509219175895,0.8300265853849312,0.367987467095813,81.33333333333333,0.049580981659105315,0.06012785893032065,0.04277395889313974,0.03728293375757901,0.16143647662232474,0.11232210781328077,28.884828774519907
timestep_ce,D,0.42198241573241574,0.39061572257727833,0.4406392694063927,0.4260020843354177,0.8171074498082819,0.39512503407586624,85.33333333333333,0.03254447432578904,0.03333603034229169,0.03378686891997427,0.016945077101931903,0.07668497830157944,0.06790549422554797,19.65536398374076
timestep_ce,E,0.43743062493062496,0.4018495803669769,0.4589041095890411,0.45466169632836295,0.769594075093182,0.33216345016255716,71.33333333333333,0.025155700660921015,0.027107121487041842,0.02469555668126022,0.024595033402539487,0.02011577691051357,0.014711002281709434,4.04145188432738
