architecture,objective,seed,best_epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,train_test_ba_gap
D,fixed250_sequence_ce,23,87,0.18471651888018067,0.9466437177280551,0.9481760149902029,0.9501662774667721,2.5677239894866943,0.4603174603174603,0.45959595959595956,0.460690832072411,3.684201710844693,0.4589041095890411,0.4512341824841825,0.44771584059068803,0.49694183250602036
D,fixed250_sequence_ce,101,95,0.16713946476809538,0.9535283993115319,0.952682689018145,0.955621085758194,2.852562427520752,0.5317460317460317,0.5062950937950937,0.5055344715608546,4.072822694909083,0.4657534246575342,0.4507520257520257,0.4497741456074789,0.5019306632661193
E,fixed250_sequence_ce,11,74,0.20506381362086729,0.9500860585197934,0.9497067728682094,0.9529302250929459,2.771817684173584,0.5079365079365079,0.4983225108225107,0.5104387844900812,3.6068669867842167,0.4383561643835616,0.42526015651015653,0.43438818759738523,0.5244466163580528
E,fixed250_sequence_ce,23,99,0.14160227034362785,0.9621342512908778,0.9621266803210924,0.9634994776454738,2.718350887298584,0.5158730158730159,0.5051406926406926,0.519870660740226,3.7952920116790354,0.4863013698630137,0.4748050560550561,0.47355168207162635,0.4873216242660363
E,fixed250_sequence_ce,101,84,0.20568144064967275,0.9432013769363167,0.945603708894728,0.9459868111663873,2.706174850463867,0.5317460317460317,0.5109187109187109,0.5132369314008274,3.4352511118536126,0.4863013698630137,0.4711795149295149,0.46395414026039505,0.4744241939652131
A,relative10_sequence_ce,11,100,0.11262408243860927,0.9741824440619621,0.9751099100608904,0.974719344613142,1.8803154230117798,0.6111111111111112,0.6104316979316979,0.6100125463818423,2.057719700956998,0.5958904109589042,0.5940559440559441,0.594526522046806,0.38105396600494634
A,relative10_sequence_ce,23,87,0.10647614977824246,0.9655765920826161,0.9674347828149159,0.9688804410526092,2.1605255603790283,0.6190476190476191,0.6217051467051468,0.6291748375081708,2.132207586340708,0.589041095890411,0.5794635919635919,0.5732479204985598,0.38797119085132403
A,relative10_sequence_ce,101,77,0.08643973618745804,0.9776247848537005,0.9788461564811916,0.9792598505942448,2.1237847805023193,0.5873015873015873,0.5795093795093794,0.5838664270922986,2.2826120788103914,0.5342465753424658,0.5316343378843379,0.5429349881981461,0.44721181859685366
B,relative10_sequence_ce,11,66,0.17190661579178143,0.9604130808950087,0.9613171585066688,0.96175927801901,1.9716907739639282,0.5714285714285714,0.5739478114478115,0.5679229821045676,2.3334616504303396,0.5821917808219178,0.5734501609501609,0.5648679309633845,0.3878669975565079
B,relative10_sequence_ce,23,87,0.11176455116040504,0.9672977624784854,0.9684580160747843,0.9699922793692474,2.3242762088775635,0.5634920634920635,0.5545093795093795,0.5548983287384984,2.1349164263842857,0.5821917808219178,0.5770056332556331,0.5839138103538798,0.3914523828191512
B,relative10_sequence_ce,101,94,0.08100623105493937,0.9776247848537005,0.9777605485407449,0.9786974663455376,2.5016088485717773,0.5714285714285714,0.5772246272246272,0.5817081468431026,2.117414866408257,0.6095890410958904,0.6098679098679098,0.6117728072129179,0.36789263867283506
C,relative10_sequence_ce,11,68,0.11171945904280586,0.9707401032702238,0.9718025917968113,0.9727531844318876,1.8183295726776123,0.5555555555555556,0.5525252525252525,0.5612263135805448,2.14270223330145,0.5753424657534246,0.5712787212787213,0.566605067501717,0.40052387051809
C,relative10_sequence_ce,23,99,0.06724727516569094,0.9810671256454389,0.9819516031833365,0.9828666045791209,3.2432734966278076,0.5634920634920635,0.5543410293410294,0.5591721301238058,2.581996878532514,0.541095890410959,0.5265394327894327,0.5327644175591525,0.4554121703939038
C,relative10_sequence_ce,101,73,0.09341134366269982,0.9759036144578314,0.9768091194441547,0.9773028514071617,2.1104068756103516,0.5873015873015873,0.5877525252525253,0.5939665491724987,1.839064264950687,0.5958904109589042,0.5861735486735487,0.5787471382526795,0.39063557077060607
D,relative10_sequence_ce,11,93,0.1636011372408517,0.9518072289156626,0.9525867118045239,0.9552114007802599,2.1579439640045166,0.5873015873015873,0.5895622895622895,0.5920430357844546,2.577450151312841,0.5684931506849316,0.5538190975690975,0.5499026894346313,0.3987676142354264
D,relative10_sequence_ce,23,94,0.19619738942945117,0.9432013769363167,0.9449739579216087,0.9481438152681586,2.008854866027832,0.5396825396825397,0.5420033670033669,0.5204513265658777,2.750160628802156,0.4863013698630137,0.47595321345321334,0.47082387315272517,0.4690207444683953
D,relative10_sequence_ce,101,100,0.10917032326663012,0.9690189328743546,0.970281936526156,0.9712637300320174,2.5393264293670654,0.5873015873015873,0.5748857623857623,0.5740566997203154,1.9374332787239388,0.6438356164383562,0.6369734432234432,0.6303426094413299,0.33330849330271284
E,relative10_sequence_ce,11,57,0.3783998173659927,0.8846815834767642,0.8827226472623165,0.8916339252116124,1.8647711277008057,0.5476190476190477,0.5494107744107743,0.5505495180933777,2.233572061747721,0.5136986301369864,0.509822816072816,0.5077316429426404,0.37289983118950054
E,relative10_sequence_ce,23,100,0.1431366695786815,0.9604130808950087,0.9626056531573549,0.9630848427859405,2.203669309616089,0.5952380952380952,0.5849386724386724,0.5885623717832796,2.3214971725254845,0.5342465753424658,0.5307574370074369,0.5165935017456084,0.431848216149918
E,relative10_sequence_ce,101,96,0.10535324102735688,0.9707401032702238,0.9719539450731646,0.972553751344793,2.279074192047119,0.5793650793650794,0.5747534872534872,0.5763857558477855,2.4685433074219585,0.5684931506849316,0.5576583139083139,0.5560071807163167,0.4142956311648507
A,timestep_ce,11,48,1.8043454208390437,0.6626506024096386,0.6428952425344875,0.6118984464843268,2.120023250579834,0.5079365079365079,0.4961038961038961,0.4363931478201964,2.1167832008779865,0.4863013698630137,0.4602910977910977,0.40770354504843165,0.18260414474338976
A,timestep_ce,23,84,1.4433991139603974,0.8623063683304647,0.8553051408176091,0.8580867034780142,2.189695119857788,0.47619047619047616,0.4527176527176527,0.43087820787408493,2.2321480137028105,0.4315068493150685,0.4123695748695749,0.3653712904221353,0.44293556594803424
A,timestep_ce,101,80,1.4730142073869295,0.8296041308089501,0.8216380989683131,0.8213514234224434,2.164555311203003,0.4523809523809524,0.4433321308321308,0.3902411148169163,2.1817948818206787,0.5068493150684932,0.48834360084360084,0.43404133553564295,0.33329449812471224
B,timestep_ce,11,61,1.7841114400791425,0.6919104991394148,0.6707801267354573,0.6572204090035094,2.1929073333740234,0.42063492063492064,0.40797859547859544,0.3530506732356827,2.1542329494267296,0.4520547945205479,0.4272422022422022,0.38305093953498587,0.24353792449325506
B,timestep_ce,23,98,1.4317762978926378,0.8588640275387264,0.853257462265494,0.8565004726070184,2.2317628860473633,0.42857142857142855,0.4244167869167869,0.4120590330149154,2.2599369303820884,0.4589041095890411,0.4310682373182373,0.3935176846857582,0.42218922494725675
B,timestep_ce,101,69,1.714006915765457,0.7022375215146299,0.6838270896028108,0.6683484005564652,2.135232925415039,0.4523809523809524,0.4301647426647426,0.3825483946451689,2.1806178452217417,0.4657534246575342,0.4360916860916861,0.4127902555534135,0.24773540351112472
C,timestep_ce,11,99,1.037098381995334,0.9397590361445783,0.938126361485771,0.9402225558333422,2.1887471675872803,0.5,0.4784752284752285,0.44571695342570933,2.2453319209895723,0.5136986301369864,0.5003454878454878,0.4708771266492406,0.4377808736402832
C,timestep_ce,23,97,1.118318654071033,0.9139414802065404,0.9074969041068611,0.911890432894611,2.3123998641967773,0.4365079365079365,0.43056156806156815,0.40649020913726797,2.2623175954165524,0.4931506849315068,0.4797334609834609,0.4675544885222305,0.4277634431234002
C,timestep_ce,101,48,1.7003049569367952,0.6643717728055077,0.6444564905621616,0.6205730112492235,2.1604857444763184,0.42063492063492064,0.4050384800384801,0.34946463488999496,2.1289047541683668,0.4315068493150685,0.40603840603840596,0.3651110607413129,0.23841808452375562
D,timestep_ce,11,63,1.4569727962070407,0.7452667814113597,0.7289200531194716,0.7219561756010294,2.093366861343384,0.42857142857142855,0.4203463203463203,0.40442549204417116,2.118483628312202,0.4246575342465753,0.40152486402486404,0.3624853416296491,0.3273951890946076
D,timestep_ce,23,100,1.1096100847199943,0.8760757314974182,0.8681165798855224,0.8722657635961407,2.270571231842041,0.4603174603174603,0.4450517075517076,0.4410378522935731,2.3019155345550955,0.4178082191780822,0.4049117549117549,0.38192564619288755,0.46320482497376747
D,timestep_ce,101,93,1.184619883867221,0.8640275387263339,0.854285716419852,0.8578233363365338,2.1847565174102783,0.42063492063492064,0.4126082251082251,0.37901595287237705,2.2424070867773604,0.4794520547945205,0.4595106282606283,0.4274361799092982,0.3947750881592237
E,timestep_ce,11,69,1.5168545709829937,0.7951807228915663,0.7791410544819394,0.77644486570648,2.0716147422790527,0.49206349206349204,0.4820887445887445,0.4449959445057485,2.128844865380901,0.4520547945205479,0.43163364413364413,0.39524169318777796,0.34750741034829524
E,timestep_ce,23,76,1.4723637896027295,0.7934595524956971,0.7831586842404645,0.7812077081632524,2.1862356662750244,0.4444444444444444,0.434565897065897,0.40110398472335923,2.115085389516125,0.4863013698630137,0.4649787712287712,0.4316497105800035,0.31817991301169335
E,timestep_ce,101,69,1.560512499021376,0.7573149741824441,0.7464824865571423,0.7365287076135668,2.105262279510498,0.4603174603174603,0.4473304473304473,0.4090818294143103,2.122142785216031,0.4383561643835616,0.41567945942945944,0.3786573373331492,0.3308030271276829
