architecture,objective,seed,best_epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,train_test_ba_gap
A,fixed250_sequence_ce,11,75,0.12275528244148433,0.9759036144578314,0.9768862799379817,0.9775330216209518,3.3327016830444336,0.47619047619047616,0.45217652717652723,0.4500562597669462,3.438038597368214,0.4657534246575342,0.450269869019869,0.44613345600426074,0.5266164109181127
A,fixed250_sequence_ce,23,43,0.48606828437307,0.8743545611015491,0.8732288387638403,0.8820655891396957,2.0622000694274902,0.5,0.4964646464646465,0.4936029163438425,2.73665959214511,0.4520547945205479,0.4475524475524475,0.442348067885616,0.4256763912113928
A,fixed250_sequence_ce,101,87,0.1204423161765333,0.9672977624784854,0.9683915044273904,0.9697605497115144,2.781083106994629,0.5555555555555556,0.5443302068302068,0.5597165324477428,3.5743630912205946,0.4794520547945205,0.46166264291264286,0.4529425687034383,0.5067288615147476
B,fixed250_sequence_ce,11,96,0.11995967471148183,0.9672977624784854,0.9692147475423002,0.9704074355002529,2.882920503616333,0.5476190476190477,0.5435966810966811,0.5493801800398502,4.26530005833874,0.5068493150684932,0.5021381396381396,0.5068090588126378,0.4670766079041606
B,fixed250_sequence_ce,23,66,0.30431979488126176,0.9225473321858864,0.9221023094304125,0.9241705878286441,2.13747501373291,0.5317460317460317,0.5205447330447331,0.5239198166484523,3.733990048708981,0.4657534246575342,0.45731282606282603,0.44951349819770875,0.46478948336758646
B,fixed250_sequence_ce,101,80,0.2178181492933513,0.9397590361445783,0.9422866080528861,0.9435656403130176,2.740684747695923,0.49206349206349204,0.4805315055315054,0.47968797590485046,3.0280027030265493,0.5068493150684932,0.4944007381507381,0.48463135515146294,0.447885869902148
C,fixed250_sequence_ce,11,71,0.1056994307576238,0.9793459552495697,0.9804410730453553,0.9809519818027744,2.737900495529175,0.5158730158730159,0.5173701298701299,0.5251186678818257,2.7493966834185875,0.5205479452054794,0.5143772893772894,0.51314010170332,0.4660637836680659
C,fixed250_sequence_ce,23,81,0.17037122345268213,0.9569707401032702,0.9588365939290836,0.9574731866274138,2.9036126136779785,0.5238095238095238,0.5137626262626261,0.5272521544502969,3.2302155298729467,0.4931506849315068,0.48293512043512044,0.47496075910026825,0.47590147349396317
C,fixed250_sequence_ce,101,73,0.10506763253938053,0.9793459552495697,0.9805116373808568,0.9810666737055928,3.4719505310058594,0.5079365079365079,0.49121572871572866,0.505794249610039,3.3560466407096547,0.4863013698630137,0.4756125818625819,0.46991387609615165,0.5048990555182749
D,fixed250_sequence_ce,11,94,0.11206295945651175,0.9707401032702238,0.9719414121747177,0.9725873292907637,3.326580047607422,0.5079365079365079,0.49412578162578175,0.49888793152738425,4.232367117110997,0.4178082191780822,0.41269494394494394,0.4085420694194268,0.5592464682297738
