architecture,layer,layer_width,shifts,shift,group_neurons,tau_syn_ms
A,L1,128,3,3,128,117.0136826471659
A,L2,128,3,3,128,117.0136826471659
A,L3,64,3,3,64,117.0136826471659
B,L1,128,"2,3",2,64,54.31342963722199
B,L1,128,"2,3",3,64,117.0136826471659
B,L2,128,"2,3",2,64,54.31342963722199
B,L2,128,"2,3",3,64,117.0136826471659
B,L3,64,3,3,64,117.0136826471659
C,L1,128,"2,3,4",2,43,54.31342963722199
C,L1,128,"2,3,4",3,43,117.0136826471659
C,L1,128,"2,3,4",4,42,242.10347130039656
C,L2,128,"2,3,4",2,43,54.31342963722199
C,L2,128,"2,3,4",3,43,117.0136826471659
C,L2,128,"2,3,4",4,42,242.10347130039656
C,L3,64,3,3,64,117.0136826471659
D,L1,128,"2,3",2,64,54.31342963722199
D,L1,128,"2,3",3,64,117.0136826471659
D,L2,128,"2,3,4,5",2,32,54.31342963722199
D,L2,128,"2,3,4,5",3,32,117.0136826471659
D,L2,128,"2,3,4,5",4,32,242.10347130039656
D,L2,128,"2,3,4,5",5,32,492.1461612435418
D,L3,64,3,3,64,117.0136826471659
E,L1,128,"2,3",2,64,54.31342963722199
E,L1,128,"2,3",3,64,117.0136826471659
E,L2,128,"2,3,4",2,43,54.31342963722199
E,L2,128,"2,3,4",3,43,117.0136826471659
E,L2,128,"2,3,4",4,42,242.10347130039656
E,L3,64,3,3,64,117.0136826471659
