objective,architecture,layer,shift,tau_syn_ms,group_neurons,probe_type,mean_feature_dim,mean_probe_val_balanced_accuracy,mean_probe_test_balanced_accuracy,mean_probe_test_macro_f1,mean_probe_test_accuracy,sd_feature_dim,sd_probe_val_balanced_accuracy,sd_probe_test_balanced_accuracy,sd_probe_test_macro_f1,sd_probe_test_accuracy
fixed250_sequence_ce,B,L1,2,54.31342963722199,64,fixed250,1024.0,0.22963363796697125,0.22508417508417508,0.19425660848923007,0.2374429223744292,0.0,0.04345578155549977,0.022273543063264574,0.025829083291213466,0.028515972595426473
fixed250_sequence_ce,B,L1,2,54.31342963722199,64,full_count,64.0,0.17588183421516757,0.17124079624079624,0.14543896011809432,0.182648401826484,0.0,0.038534961261399346,0.027614270838021666,0.019123329436683045,0.032368600179812385
fixed250_sequence_ce,B,L1,3,117.0136826471659,64,fixed250,1024.0,0.4474306557639891,0.4761130073630073,0.470286701915038,0.4840182648401827,0.0,0.05859050918738855,0.00945103781891761,0.016562415431168025,0.010462501586657147
fixed250_sequence_ce,B,L1,3,117.0136826471659,64,full_count,64.0,0.35913500080166744,0.35210923335923333,0.33846368988396086,0.3607305936073059,0.0,0.015602825355931183,0.02307910205421229,0.02758660198733454,0.025931088336987564
fixed250_sequence_ce,B,L2,2,54.31342963722199,64,fixed250,1024.0,0.4040183581850249,0.40956034706034705,0.3899863658872893,0.41780821917808214,0.0,0.053064107603071266,0.05508657721357165,0.05895731712144151,0.059316808478386183
fixed250_sequence_ce,B,L2,2,54.31342963722199,64,full_count,64.0,0.31367845117845117,0.3061921874421874,0.28536247141990606,0.3150684931506849,0.0,0.0501574437496214,0.017921210462611758,0.02179113677976205,0.023726723391354464
fixed250_sequence_ce,B,L2,3,117.0136826471659,64,fixed250,1024.0,0.4430595638928972,0.4593568468568468,0.4498285467721341,0.46575342465753417,0.0,0.035887572756121706,0.02028796963972558,0.02929333683492401,0.0273972602739726
fixed250_sequence_ce,B,L2,3,117.0136826471659,64,full_count,64.0,0.37943923360590026,0.35954762829762826,0.3489261570718454,0.365296803652968,0.0,0.01975532563003911,0.020936881161769748,0.015781680821215484,0.02768117728991358
fixed250_sequence_ce,C,L1,2,54.31342963722199,43,fixed250,688.0,0.12136243386243388,0.12282439782439782,0.08603783619773873,0.12557077625570776,0.0,0.009532761445370085,0.04394343664539043,0.03990703960618325,0.04954916532924818
fixed250_sequence_ce,C,L1,2,54.31342963722199,43,full_count,43.0,0.09635040885040884,0.095513283013283,0.05423830371500318,0.10730593607305934,0.0,0.011069340355953371,0.004926716030564231,0.01918923047156084,0.007908907797118161
fixed250_sequence_ce,C,L1,3,117.0136826471659,43,fixed250,688.0,0.2998917748917749,0.29347666222666224,0.2778655015608164,0.30136986301369867,0.0,0.04047577829769182,0.04110761656106996,0.0362205430086613,0.0449139624952192
fixed250_sequence_ce,C,L1,3,117.0136826471659,43,full_count,43.0,0.22141053391053392,0.2511856199356199,0.23991683929817387,0.2602739726027397,0.0,0.022868158575458812,0.04012492518659905,0.025480308091090743,0.04491396249521918
fixed250_sequence_ce,C,L1,4,242.10347130039656,42,fixed250,672.0,0.46321749238415905,0.4704446016946016,0.46627736762578875,0.4817351598173516,0.0,0.06064057804964306,0.06726028368788499,0.06755315269990333,0.07323751110660019
fixed250_sequence_ce,C,L1,4,242.10347130039656,42,full_count,42.0,0.37819063652396984,0.4156308968808969,0.39348679574534384,0.4246575342465753,0.0,0.04322224275324241,0.026952075782076215,0.024416712423087024,0.02054794520547943
fixed250_sequence_ce,C,L2,2,54.31342963722199,43,fixed250,688.0,0.3733405483405483,0.41679732304732303,0.399980029558954,0.4246575342465753,0.0,0.07133076252289922,0.041453804449110135,0.045756637160485114,0.041662757056837106
fixed250_sequence_ce,C,L2,2,54.31342963722199,43,full_count,43.0,0.32133437550104216,0.31150192400192406,0.2877968105592152,0.3219178082191781,0.0,0.04399314466246896,0.014382336785165432,0.01793619363708504,0.011863361695677256
fixed250_sequence_ce,C,L2,3,117.0136826471659,43,fixed250,688.0,0.4413059163059163,0.5307518870018869,0.5237479059968305,0.5388127853881278,0.0,0.06111867271242009,0.050595267294019725,0.053560812716367055,0.04560498711287261
fixed250_sequence_ce,C,L2,3,117.0136826471659,43,full_count,43.0,0.36509339426006093,0.38372414622414625,0.3657084130465787,0.3926940639269407,0.0,0.0388281215770811,0.04163614894940648,0.053020362062168105,0.040133323815632255
fixed250_sequence_ce,C,L2,4,242.10347130039656,42,fixed250,672.0,0.4415945165945166,0.493527306027306,0.4943524006996845,0.502283105022831,0.0,0.020173195977214606,0.07890533705287257,0.07828216930002269,0.07789370826133325
fixed250_sequence_ce,C,L2,4,242.10347130039656,42,full_count,42.0,0.36830206830206835,0.4179413179413179,0.4073350225120042,0.4246575342465753,0.0,0.035722839352364213,0.027008670650797168,0.024749308395732438,0.029855472216031995
fixed250_sequence_ce,D,L1,2,54.31342963722199,64,fixed250,1024.0,0.19052429052429054,0.21090576090576088,0.18381950699276187,0.21461187214611868,0.0,0.017172639232967565,0.025156080044851366,0.024838862217418236,0.027681177289913563
fixed250_sequence_ce,D,L1,2,54.31342963722199,64,full_count,64.0,0.17616041366041366,0.1653718966218966,0.13796368955917382,0.17808219178082188,0.0,0.009298691902989615,0.006740243833680682,0.019668622860382158,0.020547945205479444
fixed250_sequence_ce,D,L1,3,117.0136826471659,64,fixed250,1024.0,0.45179573512906845,0.4434701872201872,0.4283451485392922,0.4474885844748859,0.0,0.03455253568309414,0.04872224955881278,0.05557756028684358,0.04456443218251855
fixed250_sequence_ce,D,L1,3,117.0136826471659,64,full_count,64.0,0.3637405804072471,0.3714794464794465,0.3538257941274659,0.38127853881278534,0.0,0.02911578142338746,0.057738296814112605,0.048647216476222506,0.05320173606269882
fixed250_sequence_ce,D,L2,2,54.31342963722199,32,fixed250,512.0,0.3595839345839346,0.34429875679875677,0.32740871303414504,0.3493150684931507,0.0,0.016955140095179736,0.023034574134229126,0.019710787237857432,0.03138750475997151
fixed250_sequence_ce,D,L2,2,54.31342963722199,32,full_count,32.0,0.2961980920314254,0.27640183890183884,0.2589488266729405,0.2831050228310502,0.0,0.04257529732657079,0.024416558833556812,0.029104541206529406,0.03894685413066663
fixed250_sequence_ce,D,L2,3,117.0136826471659,32,fixed250,512.0,0.3877665544332211,0.37676582676582676,0.35830980847604216,0.3835616438356164,0.0,0.03081633184030632,0.05861908098650849,0.05324765849030881,0.05852057359806525
fixed250_sequence_ce,D,L2,3,117.0136826471659,32,full_count,32.0,0.3247174122174122,0.3489126614126614,0.32230894965696294,0.3584474885844749,0.0,0.022239323466574402,0.04620389673156514,0.032528785396645346,0.0504870876426849
fixed250_sequence_ce,D,L2,4,242.10347130039656,32,fixed250,512.0,0.4271404521404521,0.43417277167277163,0.4263621084094568,0.4406392694063927,0.0,0.020533686912256693,0.019912328611065424,0.01695644983006539,0.015817815594236322
