objective,architecture,layer,probe_type,mean_feature_dim,mean_probe_val_balanced_accuracy,mean_probe_test_balanced_accuracy,mean_probe_test_macro_f1,mean_probe_test_accuracy,sd_feature_dim,sd_probe_val_balanced_accuracy,sd_probe_test_balanced_accuracy,sd_probe_test_macro_f1,sd_probe_test_accuracy
fixed250_sequence_ce,A,L1,fixed250,2048.0,0.43441558441558437,0.43425740925740924,0.4281994785177405,0.43607305936073054,0.0,0.01751219453224888,0.0483004085971177,0.041156425221643346,0.052312507933285846
fixed250_sequence_ce,A,L1,full_count,128.0,0.34241021324354654,0.36089859214859216,0.3542212497925838,0.3607305936073059,0.0,0.03149063976668308,0.016305820618768486,0.012444804303252226,0.01425798629771324
fixed250_sequence_ce,A,L2,fixed250,2048.0,0.4531144781144781,0.48242220742220737,0.47810872657105796,0.4885844748858448,0.0,0.023373313016431172,0.02768609240637057,0.0289703482207241,0.03772308594031579
fixed250_sequence_ce,A,L2,full_count,128.0,0.3644320185986853,0.35524776149776144,0.3458778263645908,0.36301369863013694,0.0,0.04444213126668646,0.09246472892658009,0.09625871685740929,0.10228208577443891
fixed250_sequence_ce,A,L3,fixed250,1024.0,0.4760381593714927,0.525037000037,0.5140923812576981,0.5342465753424658,0.0,0.04377323494978854,0.036430004124564076,0.03492276099777594,0.042773958893139716
fixed250_sequence_ce,A,L3,full_count,64.0,0.37724466891133557,0.4038937913937914,0.3911465321177748,0.41780821917808214,0.0,0.06535601180165669,0.02338681025319843,0.033271155460186067,0.024695556681260233
fixed250_sequence_ce,B,L1,fixed250,2048.0,0.42917267917267915,0.4228678728678728,0.4015237476648821,0.4383561643835616,0.0,0.05041525119863964,0.015058583262619975,0.023353906947507115,0.0136986301369863
fixed250_sequence_ce,B,L1,full_count,128.0,0.3414862914862915,0.35342805342805345,0.32074829094355883,0.365296803652968,0.0,0.03199825874433208,0.01315099230882857,0.024504445932279833,0.024054004001946894
fixed250_sequence_ce,B,L2,fixed250,2048.0,0.46119528619528616,0.4584623709623709,0.44478358970689524,0.4680365296803653,0.0,0.019675760340170496,0.015828150559407433,0.021231851517959876,0.017237064920709505
fixed250_sequence_ce,B,L2,full_count,128.0,0.39080487413820747,0.3715152902652903,0.3543023609583625,0.38127853881278534,0.0,0.014678773791781516,0.016887909214637873,0.02124254405414935,0.01977226949279542
fixed250_sequence_ce,B,L3,fixed250,1024.0,0.48275813692480357,0.488753145003145,0.4925952460471618,0.5,0.0,0.04508822209162521,0.037385017834079486,0.03577514939856504,0.041095890410958937
fixed250_sequence_ce,B,L3,full_count,64.0,0.3703683662016995,0.3956453268953269,0.372011120341938,0.41324200913242004,0.0,0.044876393263052726,0.04504066828812758,0.059362135637709326,0.04859314304518894
fixed250_sequence_ce,C,L1,fixed250,2048.0,0.45109828443161776,0.48700720575720574,0.4817551666876563,0.4954337899543379,0.0,0.04164080631172659,0.019360158509275263,0.02284951375081209,0.017237064920709515
