representation,n_runs,mean_test_BA,sd_test_BA,mean_test_accuracy,mean_test_macro_f1,mean_delta_test_BA_vs_Raw,sd_delta_test_BA_vs_Raw,feature_dim
Raw250,1,0.4682539682539683,,0.45263157894736844,0.44992051521463283,0.0,,256
SNN250,3,0.44328703703703703,0.02063621896776981,0.43508771929824563,0.4253458029857949,-0.02496693121693126,0.020636218967769814,256
SNN125,3,0.5040233686067018,0.02207470279738004,0.5017543859649123,0.4872318642829479,0.03576940035273357,0.02207470279738004,256
Raw250+SNN250,3,0.5254629629629629,0.04387786407816882,0.5157894736842105,0.5005089907238581,0.05720899470899463,0.04387786407816882,512
Raw250+SNN125,3,0.5596340388007054,0.03292558833707113,0.5438596491228069,0.539958998384594,0.09138007054673715,0.03292558833707113,512
