protocol,representation,snn_seed,C,accuracy,balanced_accuracy,macro_f1
native,Raw250,,0.001,0.6190476190476191,0.5928240740740741,0.5720555737451236
native,Raw250,,0.01,0.6825396825396826,0.6619047619047619,0.6462739892893555
native,Raw250,,0.1,0.7222222222222222,0.713260582010582,0.7128683346676324
native,Raw250,,1.0,0.7142857142857143,0.7077050264550264,0.7066720517807474
native,Raw250,,10.0,0.6746031746031746,0.675165343915344,0.6728181874062882
native,SNN250,11.0,0.001,0.5714285714285714,0.55380291005291,0.5416860172463795
native,SNN250,11.0,0.01,0.5952380952380952,0.5850198412698412,0.5659633508285469
native,SNN250,11.0,0.1,0.6031746031746031,0.5933531746031746,0.5724929102943073
native,SNN250,11.0,1.0,0.6031746031746031,0.5933531746031746,0.5782099177154355
native,SNN250,11.0,10.0,0.5714285714285714,0.5641865079365079,0.553037614319775
native,SNN125,11.0,0.001,0.6031746031746031,0.5843584656084657,0.5709292397289343
native,SNN125,11.0,0.01,0.6111111111111112,0.6058531746031746,0.5790360845295056
native,SNN125,11.0,0.1,0.5952380952380952,0.5919642857142857,0.5670474579323463
native,SNN125,11.0,1.0,0.5873015873015873,0.5800595238095237,0.5536579342951892
native,SNN125,11.0,10.0,0.5714285714285714,0.5661706349206349,0.5401937454053036
native,Raw250+SNN250,11.0,0.001,0.6587301587301587,0.6357473544973545,0.6149364035995654
native,Raw250+SNN250,11.0,0.01,0.6984126984126984,0.6875661375661375,0.6724947941345792
native,Raw250+SNN250,11.0,0.1,0.6904761904761905,0.6806216931216932,0.6642470109222028
native,Raw250+SNN250,11.0,1.0,0.6666666666666666,0.657010582010582,0.644184324647639
native,Raw250+SNN250,11.0,10.0,0.6031746031746031,0.5919642857142857,0.5741816237252343
native,Raw250+SNN125,11.0,0.001,0.6587301587301587,0.6393187830687831,0.6199841943434622
native,Raw250+SNN125,11.0,0.01,0.6746031746031746,0.6667328042328041,0.6463639655525982
native,Raw250+SNN125,11.0,0.1,0.6666666666666666,0.6597883597883597,0.6410878037297099
native,Raw250+SNN125,11.0,1.0,0.626984126984127,0.6236772486772487,0.6019157318953144
native,Raw250+SNN125,11.0,10.0,0.6428571428571429,0.6359457671957672,0.6164036410785637
native,SNN250,23.0,0.001,0.6111111111111112,0.5882936507936508,0.5760886850604593
native,SNN250,23.0,0.01,0.6349206349206349,0.6363756613756614,0.6236989532655167
native,SNN250,23.0,0.1,0.6349206349206349,0.634292328042328,0.6235628618351731
native,SNN250,23.0,1.0,0.6111111111111112,0.6099867724867725,0.6001382107935256
native,SNN250,23.0,10.0,0.6031746031746031,0.6041997354497355,0.5929000640897981
native,SNN125,23.0,0.001,0.6746031746031746,0.6684523809523809,0.6616481895768823
native,SNN125,23.0,0.01,0.6746031746031746,0.6761904761904761,0.6595951812703731
native,SNN125,23.0,0.1,0.6507936507936508,0.6518849206349205,0.6354943689523825
native,SNN125,23.0,1.0,0.6190476190476191,0.6154431216931217,0.6024482212003526
native,SNN125,23.0,10.0,0.5873015873015873,0.5853505291005291,0.5687619619258579
native,Raw250+SNN250,23.0,0.001,0.6587301587301587,0.641170634920635,0.6363181407135582
native,Raw250+SNN250,23.0,0.01,0.6984126984126984,0.695866402116402,0.685913537608851
native,Raw250+SNN250,23.0,0.1,0.6904761904761905,0.6922619047619047,0.6780759874800122
native,Raw250+SNN250,23.0,1.0,0.6904761904761905,0.6922619047619047,0.6815044906696449
native,Raw250+SNN250,23.0,10.0,0.6666666666666666,0.6718915343915345,0.6573318253481577
