protocol,representation,snn_seed,feature_dim,selected_C,train_BA,val_BA,test_accuracy,test_BA,test_macro_f1,delta_test_BA_vs_Raw
native,Raw250,,480,0.1,0.996850861556744,0.713260582010582,0.5368421052631579,0.546957671957672,0.5412179187914482,0.0
native,SNN250,11.0,1024,0.1,0.9833133964524089,0.5933531746031746,0.45263157894736844,0.4422949735449735,0.42224394542505994,-0.10466269841269848
native,SNN125,11.0,2048,0.01,0.9589664399957573,0.6058531746031746,0.5052631578947369,0.4912367724867725,0.47493667323388683,-0.055720899470899476
native,Raw250+SNN250,11.0,1504,0.01,0.9872986115379625,0.6875661375661375,0.5684210526315789,0.5667989417989419,0.5460973860161167,0.019841269841269882
native,Raw250+SNN125,11.0,2528,0.01,0.9930740584378355,0.6667328042328041,0.5368421052631579,0.5390211640211641,0.5191677345702114,-0.007936507936507908
native,SNN250,23.0,1024,0.01,0.9459122485743086,0.6363756613756614,0.5578947368421052,0.5866402116402116,0.5403215248803485,0.03968253968253965
native,SNN125,23.0,2048,0.01,0.965775131192856,0.6761904761904761,0.5789473684210527,0.603670634920635,0.567758898022056,0.05671296296296302
native,Raw250+SNN250,23.0,1504,0.01,0.9902505446623094,0.695866402116402,0.6210526315789474,0.6433531746031745,0.6158225660934639,0.09639550264550256
native,Raw250+SNN125,23.0,2528,0.1,1.0,0.6945767195767195,0.5684210526315789,0.5973875661375662,0.5540851327035536,0.050429894179894186
native,SNN250,101.0,1024,0.001,0.7861925439644003,0.6103835978835978,0.5263157894736842,0.513888888888889,0.4977868130471106,-0.033068783068783025
native,SNN125,101.0,2048,0.001,0.8382713779474146,0.6103835978835979,0.5263157894736842,0.5138888888888888,0.5043901632136927,-0.033068783068783136
native,Raw250+SNN250,101.0,1504,1.0,1.0,0.6778439153439152,0.5368421052631579,0.5669642857142857,0.5320052023999392,0.020006613756613723
native,Raw250+SNN125,101.0,2528,0.1,1.0,0.6758597883597884,0.5368421052631579,0.5628306878306878,0.5379576306046895,0.015873015873015817
pca256,Raw250,,256,0.01,0.9670967926422741,0.5414021164021163,0.45263157894736844,0.4682539682539683,0.44992051521463283,0.0
pca256,SNN250,11.0,256,0.01,0.9505083914200675,0.5675595238095238,0.4421052631578947,0.4322089947089947,0.4264221268217432,-0.0360449735449736
pca256,Raw250+SNN250,11.0,512,0.01,0.9922212319271143,0.6126984126984126,0.4842105263157895,0.4748677248677249,0.45436964033932004,0.006613756613756572
pca256,SNN125,11.0,256,0.01,0.943024865491532,0.5532076719576718,0.5157894736842106,0.5042989417989417,0.49062221246818766,0.036044973544973435
pca256,Raw250+SNN125,11.0,512,0.01,0.9945360467419291,0.625297619047619,0.5368421052631579,0.5446428571428571,0.531236307552097,0.07638888888888878
pca256,SNN250,23.0,256,0.1,0.9719129756416297,0.5581349206349207,0.43157894736842106,0.46709656084656087,0.4201915239193137,-0.0011574074074074403
pca256,Raw250+SNN250,23.0,512,0.01,0.9937363834422658,0.6191468253968254,0.5263157894736842,0.5530753968253967,0.5146436352318705,0.08482142857142844
pca256,SNN125,23.0,256,0.01,0.9438413811816287,0.6221560846560846,0.5052631578947369,0.5259589947089947,0.502535341622029,0.05770502645502634
pca256,Raw250+SNN125,23.0,512,0.01,0.9937363834422658,0.6566468253968254,0.5684210526315789,0.5973875661375662,0.5693232616346428,0.12913359788359785
pca256,SNN250,101.0,256,0.01,0.938080215445133,0.5533068783068783,0.43157894736842106,0.4305555555555556,0.4294237582163279,-0.03769841269841273
pca256,Raw250+SNN250,101.0,512,0.01,0.9945360467419291,0.662334656084656,0.5368421052631579,0.5484457671957672,0.5325136966003838,0.0801917989417989
pca256,SNN125,101.0,256,0.01,0.9115474827191998,0.5784391534391534,0.4842105263157895,0.48181216931216925,0.46853803875862704,0.013558201058200936
pca256,Raw250+SNN125,101.0,512,0.01,0.996850861556744,0.6484457671957672,0.5263157894736842,0.5368716931216931,0.5193174259670423,0.06861772486772483
