representation,n_runs,mean_test_BA,sd_test_BA,mean_test_accuracy,mean_test_macro_f1,mean_delta_test_BA_vs_Raw,sd_delta_test_BA_vs_Raw,feature_dim
Raw250,1,0.546957671957672,,0.5368421052631579,0.5412179187914482,0.0,,480
SNN250,3,0.5142746913580246,0.07217339241612272,0.5122807017543859,0.4867840944508397,-0.032682980599647284,0.07217339241612272,1024
SNN125,3,0.5362654320987654,0.05946322914177118,0.5368421052631579,0.5156952448232118,-0.01069223985890653,0.059463229141771184,2048
Raw250+SNN250,3,0.5923721340388006,0.04415095364114272,0.5754385964912281,0.56464171816984,0.045414462081128724,0.044150953641142715,1504
Raw250+SNN125,3,0.5664131393298061,0.029347652258077433,0.5473684210526315,0.5370701659594848,0.019455467372134033,0.029347652258077433,2528
