snn_seed,representation,shuffle_index,feature_dim,selected_C,val_BA,test_accuracy,test_BA,test_macro_f1,delta_test_BA_vs_Raw
11,Raw250+SNN250,0,1504,0.1,0.5247354497354496,0.37894736842105264,0.35548941798941797,0.3681002058943235,-0.191468253968254
11,Raw250+SNN250,1,1504,1.0,0.45691137566137563,0.4105263157894737,0.39087301587301587,0.411157799315694,-0.1560846560846561
11,Raw250+SNN250,2,1504,1.0,0.5342261904761905,0.3684210526315789,0.3609457671957672,0.34929618311971256,-0.18601190476190477
11,Raw250+SNN250,3,1504,1.0,0.5236772486772487,0.4105263157894737,0.4085648148148148,0.41960747585747576,-0.13839285714285715
11,Raw250+SNN250,4,1504,1.0,0.5298280423280424,0.4421052631578947,0.41898148148148145,0.4216428735236785,-0.12797619047619052
11,Raw250+SNN250,5,1504,0.01,0.4935846560846561,0.35789473684210527,0.3396164021164021,0.34681112660988817,-0.20734126984126988
11,Raw250+SNN250,6,1504,1.0,0.5631944444444444,0.47368421052631576,0.44378306878306883,0.45390507912566735,-0.10317460317460314
11,Raw250+SNN250,7,1504,0.1,0.4697751322751323,0.4105263157894737,0.4032738095238095,0.39598771326712506,-0.1436838624338625
11,Raw250+SNN250,8,1504,1.0,0.5315806878306878,0.42105263157894735,0.4166666666666666,0.40959311228274076,-0.1302910052910054
11,Raw250+SNN250,9,1504,0.1,0.6038029100529101,0.47368421052631576,0.4837962962962963,0.46721964539302,-0.0631613756613757
11,Raw250+SNN250,10,1504,0.1,0.5915343915343915,0.3684210526315789,0.35185185185185186,0.3384378650245523,-0.19510582010582012
11,Raw250+SNN250,11,1504,0.01,0.5159722222222222,0.3894736842105263,0.36507936507936506,0.36120055870055867,-0.18187830687830692
11,Raw250+SNN250,12,1504,0.01,0.5078373015873016,0.37894736842105264,0.3558201058201058,0.349406543113637,-0.19113756613756616
11,Raw250+SNN250,13,1504,10.0,0.4690806878306879,0.4,0.400462962962963,0.38910002035002034,-0.14649470899470896
11,Raw250+SNN250,14,1504,0.1,0.5377314814814815,0.45263157894736844,0.4338624338624339,0.4312054697781243,-0.11309523809523808
11,Raw250+SNN250,15,1504,1.0,0.5014880952380952,0.3894736842105263,0.3791335978835979,0.3628556685832227,-0.16782407407407407
11,Raw250+SNN250,16,1504,1.0,0.5294973544973546,0.42105263157894735,0.4054232804232804,0.4076924573248102,-0.14153439153439157
