epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss
1,2.490704384194799,21.234887991427556,5.955713839507012e-05,0.21234887991427556,5.955713839507012e-06,2.703059156256986,0.08525894802115011,0.08333333333333333,2.4849069118499756
2,2.486267095588776,12.684112896812557,3.457311533578622e-05,0.12684112896812558,3.457311533578622e-06,2.6131117270037967,0.051018085106266896,0.08333333333333333,2.4849069118499756
3,2.485095907611814,8.079546371138239,2.2916436663138715e-05,0.0807954637113824,2.2916436663138715e-06,2.5658936615449837,0.032512932441587594,0.08333333333333333,2.4849069118499756
4,2.4849959638566035,5.8034571279962375,1.760006270506327e-05,0.05803457127996237,1.760006270506327e-06,2.543032244027379,0.02335469841011857,0.08333333333333333,2.4849069118499756
5,2.4849683360265575,4.444241229104914,1.3175195086854205e-05,0.04444241229104914,1.3175195086854205e-06,2.529412096420787,0.017885028620373875,0.08333333333333333,2.4849069118499756
6,2.484955470040825,3.617731844496604,1.0968652156333614e-05,0.036177318444966036,1.0968652156333614e-06,2.5211338541388715,0.014558979324320567,0.08333333333333333,2.4849069118499756
7,2.484917283673705,3.025506394250052,9.083854347205714e-06,0.030255063942500524,9.083854347205714e-07,2.5151732411113747,0.01217584686891661,0.08333333333333333,2.4849069118499756
8,2.484912241182311,2.6411829979612578,7.538742141803348e-06,0.02641182997961258,7.538742141803348e-07,2.511324875120862,0.010629181753823129,0.08333333333333333,2.4849069118499756
9,2.4849066734313965,2.3862217354897584,6.769672291768713e-06,0.023862217354897585,6.769672291768713e-07,2.5087695445948746,0.009603135030087306,0.08333333333333333,2.4849069118499756
10,2.4849138694868236,2.1315392409667706,5.82971784030215e-06,0.021315392409667705,5.82971784030215e-07,2.506229851619307,0.008578154616624133,0.08333333333333333,2.4849069118499756
11,2.4849138653832337,1.9501424246113395,5.171086011555049e-06,0.019501424246113393,5.171086011555049e-07,2.504415812467749,0.007848135754881337,0.08333333333333333,2.4849069118499756
12,2.4849210130162986,1.7807823466762207,4.6845496537474255e-06,0.01780782346676221,4.6845496537474257e-07,2.5027292985308804,0.0071665424488125485,0.08333333333333333,2.4849069118499756
13,2.4849066734313965,1.641332619161491,3.846617768299822e-06,0.01641332619161491,3.8466177682998227e-07,2.5013203625014233,0.006605363102319703,0.08333333333333333,2.4849069118499756
14,2.4849066734313965,1.53905681139836,3.518483940900761e-06,0.0153905681139836,3.5184839409007615e-07,2.500297644872879,0.006193761772599869,0.08333333333333333,2.4849069118499756
15,2.4849066734313965,1.4452753456857652,3.122470100101111e-06,0.014452753456857653,3.122470100101111e-07,2.499359718083104,0.00581634145797093,0.08333333333333333,2.4849069118499756
16,2.4849066734313965,1.3726784315043596,2.9554646778975474e-06,0.013726784315043596,2.9554646778975474e-07,2.498633774955999,0.005524183265424501,0.08333333333333333,2.4849069118499756
17,2.4849066734313965,1.30654352934143,2.685174460719895e-06,0.0130654352934143,2.685174460719895e-07,2.4979724457259844,0.005258025965545821,0.08333333333333333,2.4849069118499756
18,2.4849066734313965,1.246809634407293,2.447844502945285e-06,0.01246809634407293,2.447844502945285e-07,2.4973750143166047,0.00501762953990773,0.08333333333333333,2.4849069118499756
19,2.4849066734313965,1.1961204396262637,2.2620273001364837e-06,0.011961204396262637,2.2620273001364838e-07,2.496868065425328,0.004813633737992729,0.08333333333333333,2.4849069118499756
20,2.4849066734313965,1.1471678234008422,2.1636107759242393e-06,0.011471678234008423,2.1636107759242395e-07,2.4963785855166885,0.004616629959484365,0.08333333333333333,2.4849069118499756
21,2.4849066734313965,1.0988445856485023,1.9296456217699084e-06,0.010988445856485023,1.9296456217699085e-07,2.4958953315747996,0.004422153531373087,0.08333333333333333,2.4849069118499756
22,2.4849066734313965,1.059028268065592,1.8571005803221573e-06,0.01059028268065592,1.8571005803221575e-07,2.495497054364308,0.004261917964142139,0.08333333333333333,2.4849069118499756
23,2.4849066734313965,1.0183765397835105,1.7842760993667282e-06,0.010183765397835106,1.7842760993667283e-07,2.4950906208583286,0.004098320445726069,0.08333333333333333,2.4849069118499756
24,2.4849066734313965,0.9713231147669269,1.6160321296068164e-06,0.009713231147669268,1.6160321296068166e-07,2.494620003101132,0.003908956764750062,0.08333333333333333,2.4849069118499756
25,2.4849066734313965,0.9409142893686147,1.4544299243400438e-06,0.009409142893686146,1.454429924340044e-07,2.4943159590900046,0.003786576146815742,0.08333333333333333,2.4849069118499756
26,2.4849066734313965,0.9131883972688304,1.3649330260942968e-06,0.009131883972688304,1.3649330260942968e-07,2.4940387111112297,0.003674995348368777,0.08333333333333333,2.4849069118499756
27,2.4849066734313965,0.8816317716892328,1.2597754380999074e-06,0.008816317716892327,1.2597754380999074e-07,2.493723073637629,0.003547997914248244,0.08333333333333333,2.4849069118499756
28,2.4849066734313965,0.8544591739132564,1.2121954558248902e-06,0.008544591739132565,1.2121954558248903e-07,2.4934513408838166,0.003438645422799236,0.08333333333333333,2.4849069118499756
29,2.4849066734313965,0.8305097569081541,1.1807480236492698e-06,0.008305097569081541,1.1807480236492699e-07,2.493211981351527,0.0033422646140731198,0.08333333333333333,2.4849069118499756
30,2.4849066734313965,0.8094771782420384,1.1018362560091768e-06,0.008094771782420384,1.1018362560091768e-07,2.4930015115032096,0.003257620116118002,0.08333333333333333,2.4849069118499756
31,2.4849066734313965,0.7808949243591492,1.0701860198209214e-06,0.007808949243591492,1.0701860198209215e-07,2.49271567101733,0.003142595392288912,0.08333333333333333,2.4849069118499756
32,2.4849066734313965,0.7564549783626234,1.0080786464860434e-06,0.0075645497836262345,1.0080786464860434e-07,2.4924712673522107,0.003044239315855227,0.08333333333333333,2.4849069118499756
33,2.4849066734313965,0.7318006507706108,9.415549433776823e-07,0.007318006507706108,9.415549433776824e-08,2.492224731461727,0.0029450203266969837,0.08333333333333333,2.4849069118499756
34,2.4849066734313965,0.7106470719056778,8.922935819115011e-07,0.007106470719056778,8.922935819115011e-08,2.4920132907040147,0.002859890081345209,0.08333333333333333,2.4849069118499756
35,2.4849066734313965,0.6910421274820416,8.214449950970516e-07,0.006910421274820416,8.214449950970517e-08,2.4918171341776234,0.002780991130655721,0.08333333333333333,2.4849069118499756
