epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss
1,2.4844583644308855,23.36067354002015,0.001540506724268198,0.23360673540020152,0.00015405067242681982,2.7182191973504017,0.09408923466752316,0.08333333333333333,2.4849069118499756
2,2.4848597652940865,13.880255667970431,0.0009176319957151368,0.13880255667970431,9.176319957151369e-05,2.623754044202847,0.05589624083387157,0.08333333333333333,2.4849069118499756
3,2.484630702079471,9.200390085295844,0.00066956714396373,0.09200390085295844,6.6956714396373e-05,2.5767015183854225,0.03705615385429215,0.08333333333333333,2.4849069118499756
4,2.484912713915879,6.47120085435562,0.0005170328235722559,0.0647120085435562,5.1703282357225596e-05,2.5496764293841365,0.0260627713252168,0.08333333333333333,2.4849069118499756
5,2.48485362386129,5.035156659538282,0.0004410068762990391,0.05035156659538283,4.410068762990391e-05,2.5352493087519057,0.020281141230645755,0.08333333333333333,2.4849069118499756
6,2.484797956200762,4.1002679437450205,0.0003788585483261645,0.04100267943745021,3.788585483261646e-05,2.5258385035339197,0.01651666091799011,0.08333333333333333,2.4849069118499756
7,2.4849586215979467,3.4066789088684186,0.00030918194169600184,0.034066789088684185,3.091819416960018e-05,2.519056304186429,0.0137216398641388,0.08333333333333333,2.4849069118499756
8,2.4849264112889458,2.9131783396775055,0.00025860938722854434,0.029131783396775055,2.5860938722854437e-05,2.5140840674841876,0.011733805960223052,0.08333333333333333,2.4849069118499756
9,2.484921380697963,2.526135591139276,0.00022151788350556562,0.025261355911392763,2.2151788350556563e-05,2.510204958628459,0.010174771683376842,0.08333333333333333,2.4849069118499756
10,2.4848295128078757,2.229569786797292,0.00019100653660584244,0.02229569786797292,1.9100653660584244e-05,2.5071443317268884,0.00898041431277819,0.08333333333333333,2.4849069118499756
11,2.4848366563373507,2.019567310091961,0.00017185156343461908,0.02019567310091961,1.7185156343461908e-05,2.505049453955304,0.008134481679394099,0.08333333333333333,2.4849069118499756
12,2.4849138694868236,1.8224284673516804,0.00014975935614146068,0.018224284673516805,1.4975935614146069e-05,2.5031530787325154,0.007339997105371569,0.08333333333333333,2.4849069118499756
13,2.4849066734313965,1.6945103384336382,0.0001362181348930932,0.01694510338433638,1.3621813489309322e-05,2.50186537095889,0.006824693007245807,0.08333333333333333,2.4849069118499756
14,2.4848294602819236,1.5768844088260565,0.00012590410398855754,0.015768844088260566,1.2590410398855754e-05,2.500610831272171,0.006351113728693837,0.08333333333333333,2.4849069118499756
15,2.484530629881893,1.468082180326859,0.00011501811274845096,0.01468082180326859,1.1501811274845097e-05,2.499223050890609,0.005913520822740616,0.08333333333333333,2.4849069118499756
16,2.484599974397538,1.3918167869728733,0.00010818068448834045,0.013918167869728732,1.0818068448834046e-05,2.4985289446458143,0.005606128182286183,0.08333333333333333,2.4849069118499756
17,2.484599974397538,1.317394545484533,0.00010296582886424211,0.013173945454845331,1.029658288642421e-05,2.4977842719132233,0.005306384196083175,0.08333333333333333,2.4849069118499756
18,2.4845241794487696,1.2466778800327478,9.425583084834429e-05,0.01246677880032748,9.42558308483443e-06,2.497000386916011,0.0050215669006611775,0.08333333333333333,2.4849069118499756
19,2.4845241794487696,1.1907395871288806,8.938312115750424e-05,0.011907395871288806,8.938312115750425e-06,2.4964405772197678,0.004796223873356861,0.08333333333333333,2.4849069118499756
20,2.4845241794487696,1.1429495017417737,8.42771725741631e-05,0.011429495017417737,8.42771725741631e-06,2.495962127350694,0.004603667305509112,0.08333333333333333,2.4849069118499756
21,2.4845241794487696,1.0938786410834005,7.799225905961479e-05,0.010938786410834005,7.79922590596148e-06,2.4954707807189624,0.0044059082730153335,0.08333333333333333,2.4849069118499756
22,2.48467613702797,1.0431222804852485,7.067812829504427e-05,0.010431222804852485,7.067812829504427e-06,2.4951144270150056,0.004201066876332497,0.08333333333333333,2.4849069118499756
23,2.48467613702797,1.0031811840152576,6.646222085090877e-05,0.010031811840152576,6.646222085090878e-06,2.4947145572012346,0.0040401474915137655,0.08333333333333333,2.4849069118499756
24,2.48467613702797,0.9692937634282597,6.322312194975445e-05,0.009692937634282597,6.322312194975446e-06,2.494375427495592,0.0039036314640503943,0.08333333333333333,2.4849069118499756
25,2.48467613702797,0.9393449251294752,6.230999579374228e-05,0.009393449251294752,6.230999579374228e-06,2.4940757484731493,0.0037830605408870287,0.08333333333333333,2.4849069118499756
26,2.48467613702797,0.9091862702739013,5.867553357844018e-05,0.009091862702739014,5.867553357844019e-06,2.4937738375081047,0.00366153565066997,0.08333333333333333,2.4849069118499756
27,2.4845241794487696,0.8804242744298072,5.460282246529713e-05,0.008804242744298071,5.4602822465297135e-06,2.4933339728750994,0.0035458310687478084,0.08333333333333333,2.4849069118499756
28,2.484599974397538,0.8529368180416127,5.125422228365458e-05,0.008529368180416127,5.125422228365458e-06,2.4931344189865454,0.0034349568101858822,0.08333333333333333,2.4849069118499756
29,2.484599967831794,0.8238676161651152,4.935830559224057e-05,0.008238676161651151,4.935830559224057e-06,2.4928435319056814,0.003317882998849199,0.08333333333333333,2.4849069118499756
30,2.484599974397538,0.7983480878623135,4.676286014903572e-05,0.007983480878623135,4.676286014903572e-06,2.4925880986113556,0.0032150677159106847,0.08333333333333333,2.4849069118499756
31,2.484752614814115,0.781377343117883,4.426450945794916e-05,0.00781377343117883,4.426450945794917e-06,2.4925707835133433,0.0031464701296670156,0.08333333333333333,2.4849069118499756
32,2.484752614814115,0.7608032497399441,4.27562713779912e-05,0.007608032497399441,4.27562713779912e-06,2.4923649421041887,0.0030636080546419782,0.08333333333333333,2.4849069118499756
33,2.484752614814115,0.7380790056952511,4.141281001286248e-05,0.007380790056952511,4.141281001286248e-06,2.492137543305678,0.002972099231901308,0.08333333333333333,2.4849069118499756
34,2.484752614814115,0.7164679923689509,3.9036421978956596e-05,0.007164679923689509,3.90364219789566e-06,2.4919211852160665,0.0028850290862552077,0.08333333333333333,2.4849069118499756
35,2.48467613702797,0.7005153190658753,3.8567541089796956e-05,0.007005153190658753,3.856754108979696e-06,2.491685089268906,0.0028208947799335795,0.08333333333333333,2.4849069118499756
36,2.484599974397538,0.6820995934858995,3.7228046117159404e-05,0.006820995934858996,3.7228046117159407e-06,2.491424627025033,0.002746807860337984,0.08333333333333333,2.4849069118499756
37,2.4845241794487696,0.6626873079963067,3.434710987223827e-05,0.0066268730799630676,3.4347109872238272e-06,2.491154440093574,0.00266864289178354,0.08333333333333333,2.4849069118499756
38,2.48467613702797,0.6482714104775512,3.246741705648007e-05,0.006482714104775513,3.246741705648007e-06,2.4911621240658524,0.002610384810247062,0.08333333333333333,2.4849069118499756
39,2.484599974397538,0.6298791402998972,3.2423153662669995e-05,0.0062987914029989725,3.2423153662669995e-06,2.4909019671290755,0.002536437971224461,0.08333333333333333,2.4849069118499756
40,2.484599974397538,0.6144945758960744,3.076792403990675e-05,0.006144945758960744,3.0767924039906753e-06,2.4907479786831828,0.002474451668162597,0.08333333333333333,2.4849069118499756
41,2.484599974397538,0.597572856228446,2.9368592557699096e-05,0.005975728562284461,2.9368592557699096e-06,2.4905785824879105,0.0024062889330866747,0.08333333333333333,2.4849069118499756
42,2.484599974397538,0.5842473270971065,2.801687826075681e-05,0.005842473270971065,2.801687826075681e-06,2.4904452166335718,0.00235260203615453,0.08333333333333333,2.4849069118499756
43,2.484599974397538,0.568123422883669,2.6900753767061104e-05,0.00568123422883669,2.6900753767061107e-06,2.4902839451361443,0.0022876617414405416,0.08333333333333333,2.4849069118499756
44,2.4845242319747216,0.5558907825647246,2.6237141095667278e-05,0.005558907825647246,2.623714109566728e-06,2.490085720400392,0.0022384694293508495,0.08333333333333333,2.4849069118499756
45,2.4844488047076174,0.5441017313996609,2.6067676665124635e-05,0.005441017313996609,2.606767666512464e-06,2.4898923945303832,0.002191079192836801,0.08333333333333333,2.4849069118499756
46,2.4844488047076174,0.5341385729136442,2.5029571781218656e-05,0.005341385729136442,2.502957178121866e-06,2.489792722022472,0.0021509353206187157,0.08333333333333333,2.4849069118499756
47,2.4845242319747216,0.5233616624764854,2.3808810596769374e-05,0.005233616624764854,2.3808810596769377e-06,2.48976024949407,0.0021074447326532675,0.08333333333333333,2.4849069118499756
48,2.4845241794487696,0.5126742213810578,2.2224034915332364e-05,0.005126742213810578,2.2224034915332366e-06,2.4896532081695923,0.0020643649434879123,0.08333333333333333,2.4849069118499756
49,2.484599974397538,0.5038861202496054,2.098652812382641e-05,0.005038861202496054,2.098652812382641e-06,2.4896409454115904,0.00202888187525268,0.08333333333333333,2.4849069118499756
50,2.4845241794487696,0.49127279809337887,2.054943398996238e-05,0.004912727980933789,2.0549433989962383e-06,2.4894390052854503,0.0019781586208684862,0.08333333333333333,2.4849069118499756
51,2.484599974397538,0.4829618568674833,1.9267966131799536e-05,0.004829618568674833,1.9267966131799536e-06,2.489431560552469,0.0019445968828280128,0.08333333333333333,2.4849069118499756
52,2.484752614814115,0.4724211050598223,1.769724846926755e-05,0.004724211050598223,1.7697248469267552e-06,2.489478619291532,0.0019019924749324399,0.08333333333333333,2.4849069118499756
53,2.484599974397538,0.46167792028486215,1.760406017065226e-05,0.004616779202848621,1.760406017065226e-06,2.489218552223376,0.001858866480100316,0.08333333333333333,2.4849069118499756
54,2.48467613702797,0.454656720982156,1.6439107361740984e-05,0.00454656720982156,1.6439107361740985e-06,2.4892242878111217,0.0018305046089419315,0.08333333333333333,2.4849069118499756
55,2.48467613702797,0.44470918701766077,1.6177256507919503e-05,0.004447091870176608,1.6177256507919505e-06,2.4891248713672263,0.0017904585348288875,0.08333333333333333,2.4849069118499756
56,2.484752614814115,0.43677609881927965,1.5465876132235255e-05,0.004367760988192797,1.5465876132235256e-06,2.489122001316379,0.001758447722222395,0.08333333333333333,2.4849069118499756
57,2.484752614814115,0.4280566261783114,1.4742913055839278e-05,0.004280566261783115,1.474291305583928e-06,2.4890346391681137,0.0017233267117052775,0.08333333333333333,2.4849069118499756
58,2.484752641077091,0.42179128014692546,1.4275914092803464e-05,0.0042179128014692546,1.4275914092803465e-06,2.4889720109982254,0.0016980927288800605,0.08333333333333333,2.4849069118499756
59,2.484752614814115,0.4126591795282807,1.3981456984346301e-05,0.004126591795282807,1.3981456984346301e-06,2.4888806035309363,0.0016613283416506467,0.08333333333333333,2.4849069118499756
60,2.484752614814115,0.40420104145183006,1.3526313842811542e-05,0.0040420104145183,1.3526313842811543e-06,2.488795882042837,0.001627269862519117,0.08333333333333333,2.4849069118499756
61,2.484752614814115,0.397273105516286,1.3322529832416195e-05,0.00397273105516286,1.3322529832416197e-06,2.488726689770382,0.0015993798676184922,0.08333333333333333,2.4849069118499756
62,2.484752614814115,0.39097985630396515,1.313343138757391e-05,0.003909798563039651,1.313343138757391e-06,2.488663687353085,0.001574044789352601,0.08333333333333333,2.4849069118499756
63,2.484752614814115,0.3830765129777117,1.2512727239176795e-05,0.0038307651297771173,1.2512727239176796e-06,2.4885846054287253,0.0015422124438684648,0.08333333333333333,2.4849069118499756
64,2.4849066734313965,0.3786646262606327,1.1751040457368175e-05,0.003786646262606327,1.1751040457368176e-06,2.488694520086922,0.0015243314395471756,0.08333333333333333,2.4849069118499756
65,2.484752614814115,0.3700530795242618,1.1421710464415815e-05,0.0037005307952426183,1.1421710464415816e-06,2.488454235195088,0.0014897551346639726,0.08333333333333333,2.4849069118499756
