epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss
1,2.5016796396028975,21.23521556952734,5.95577218742735e-05,0.2123521556952734,5.95577218742735e-06,2.7140377327004725,0.08488621328875241,0.08333333333333333,2.4849069118499756
2,2.4917164895292405,12.684407225984714,3.456663891324243e-05,0.12684407225984715,3.4566638913242432e-06,2.6185640406485473,0.05090768932050682,0.08333333333333333,2.4849069118499756
3,2.486689810088087,8.07949738658439,2.2914442775242846e-05,0.08079497386584389,2.291444277524285e-06,2.567487019885222,0.032491895443629654,0.08333333333333333,2.4849069118499756
4,2.4856574974454,5.799891344651503,1.7552565155137973e-05,0.057998913446515026,1.7552565155137973e-06,2.5436581465545496,0.023334135440075683,0.08333333333333333,2.4849069118499756
5,2.485208964388875,4.444081253931568,1.3154080332996822e-05,0.04444081253931568,1.3154080332996823e-06,2.529651110020439,0.017882652358079478,0.08333333333333333,2.4849069118499756
6,2.4851202964782715,3.6178388369883603,1.0962477135011649e-05,0.0361783883698836,1.096247713501165e-06,2.5212997187845883,0.014558443979097507,0.08333333333333333,2.4849069118499756
7,2.4849537366844086,3.02833501812513,9.097225879196762e-06,0.030283350181251303,9.097225879196762e-07,2.5152379974030383,0.012187051797691214,0.08333333333333333,2.4849069118499756
8,2.484949825552778,2.639756061123899,7.543056340096278e-06,0.02639756061123899,7.543056340096278e-07,2.5113481880260213,0.010623278846686849,0.08333333333333333,2.4849069118499756
9,2.4849066734313965,2.3880290660923813,6.74418637801219e-06,0.023880290660923814,6.744186378012191e-07,2.508787659482578,0.0096104072377835,0.08333333333333333,2.4849069118499756
10,2.4849066734313965,2.133331392389977,5.803970799032823e-06,0.021333313923899772,5.803970799032824e-07,2.5062405546027495,0.008585390569827638,0.08333333333333333,2.4849069118499756
11,2.4849913912262647,1.9516935229506631,5.126767707589381e-06,0.01951693522950663,5.126767707589381e-07,2.5045088531638586,0.00785413099425111,0.08333333333333333,2.4849069118499756
12,2.4849066209054445,1.7792559347136296,4.6706267018498925e-06,0.0177925593471363,4.670626701849893e-07,2.50269966568676,0.007160440662081339,0.08333333333333333,2.4849069118499756
13,2.4849512732993304,1.6401937217187144,3.8891249943700725e-06,0.016401937217187145,3.889124994370073e-07,2.5013535740863846,0.0066006630817789895,0.08333333333333333,2.4849069118499756
14,2.4849067017461675,1.5351454079048563,3.4651259014115664e-06,0.015351454079048563,3.465125901411567e-07,2.500258510166109,0.006178018909462817,0.08333333333333333,2.4849069118499756
15,2.4849067017461675,1.444668046989047,3.1223352373777123e-06,0.01444668046989047,3.1223352373777126e-07,2.499353695654418,0.00581389743657666,0.08333333333333333,2.4849069118499756
16,2.4849066209054445,1.372280298329877,2.951062046898824e-06,0.01372280298329877,2.9510620468988244e-07,2.498629796115133,0.005522580999242165,0.08333333333333333,2.4849069118499756
17,2.4849066734313965,1.3064917100276061,2.680596543402149e-06,0.01306491710027606,2.680596543402149e-07,2.497971911438566,0.005257817245059246,0.08333333333333333,2.4849069118499756
18,2.4849066492202154,1.2450403215142412,2.4394236300390582e-06,0.012450403215142411,2.439423630039058e-07,2.497357292142464,0.005010509011037711,0.08333333333333333,2.4849069118499756
19,2.4849067017461675,1.1979752075241272,2.264094575723381e-06,0.011979752075241273,2.2640945757233811e-07,2.4968866641262926,0.004821097901293599,0.08333333333333333,2.4849069118499756
20,2.4849066734313965,1.1458676591797663,2.1221070798115346e-06,0.011458676591797664,2.1221070798115346e-07,2.4963655668774076,0.004611396043571374,0.08333333333333333,2.4849069118499756
21,2.4849066209054445,1.0991665364953203,1.979273036875966e-06,0.010991665364953202,1.9792730368759663e-07,2.4958984638450477,0.0044234512475369,0.08333333333333333,2.4849069118499756
22,2.4849067017461675,1.0576566937868443,1.8444490683617032e-06,0.010576566937868443,1.8444490683617032e-07,2.495483422648681,0.004256397785616215,0.08333333333333333,2.4849069118499756
23,2.4849066734313965,1.0178463391305657,1.7822012617462154e-06,0.010178463391305657,1.7822012617462156e-07,2.4950853116335843,0.004096186677858686,0.08333333333333333,2.4849069118499756
24,2.4849066209054445,0.9699708668582411,1.6327874201991588e-06,0.009699708668582411,1.632787420199159e-07,2.4946064505847922,0.00390351567568765,0.08333333333333333,2.4849069118499756
25,2.4849066209054445,0.9399833806410509,1.4627774138600793e-06,0.00939983380641051,1.4627774138600794e-07,2.4943066221916737,0.003782830310431043,0.08333333333333333,2.4849069118499756
26,2.4849066734313965,0.9104901051562337,1.3522048715945205e-06,0.009104901051562338,1.3522048715945206e-07,2.49401170046112,0.0036641361099796935,0.08333333333333333,2.4849069118499756
27,2.4849066734313965,0.8826832055224815,1.257753398133958e-06,0.008826832055224816,1.257753398133958e-07,2.4937336432543966,0.003552229113850591,0.08333333333333333,2.4849069118499756
28,2.4849067017461675,0.8559536906199693,1.2038124062947644e-06,0.008559536906199693,1.2038124062947645e-07,2.493466364126813,0.00344465942380266,0.08333333333333333,2.4849069118499756
29,2.4849066734313965,0.8294424899884222,1.163889041268553e-06,0.008294424899884223,1.163889041268553e-07,2.4932012254317737,0.0033379689376158562,0.08333333333333333,2.4849069118499756
30,2.4849065683794924,0.806816007820136,1.1123537435334094e-06,0.00806816007820136,1.1123537435334094e-07,2.4929747938494264,0.003246911339140351,0.08333333333333333,2.4849069118499756
31,2.4849066492202154,0.7808713475931532,1.0640995034086096e-06,0.007808713475931533,1.0640995034086098e-07,2.49271544531988,0.0031425002980825646,0.08333333333333333,2.4849069118499756
32,2.4849066492202154,0.7563637589423463,9.934610506928457e-07,0.007563637589423463,9.934610506928457e-08,2.4924702656658915,0.003043871663308598,0.08333333333333333,2.4849069118499756
33,2.4849066209054445,0.7279085108622422,9.520605229394428e-07,0.007279085108622422,9.520605229394428e-08,2.4921858101416374,0.0029293576883071544,0.08333333333333333,2.4849069118499756
34,2.4849066209054445,0.7112315530005503,8.92410898901053e-07,0.007112315530005503,8.92410898901053e-08,2.492019056247967,0.002862242271503865,0.08333333333333333,2.4849069118499756
35,2.4849066209054445,0.6918249663715723,8.29901503250183e-07,0.0069182496637157235,8.29901503250183e-08,2.4918249043252914,0.002784141905237937,0.08333333333333333,2.4849069118499756
36,2.4849066734313965,0.673692014254309,7.880655923554983e-07,0.006736920142543091,7.880655923554983e-08,2.4916436889700964,0.002711167796011926,0.08333333333333333,2.4849069118499756
