seed,sample_index,boundary_class,boundary_type,offset_steps,offset_ms,layer,state,transition
11,0,real,press,-12,-187.5,L1,spike50,0.4705348610783394
11,0,real,press,-12,-187.5,L1,syn_current,0.02120415319796254
11,0,real,press,-12,-187.5,L1,pre_reset,0.012877677257259745
11,0,real,press,-12,-187.5,L2,spike50,
11,0,real,press,-12,-187.5,L2,syn_current,0.7535562699026114
11,0,real,press,-12,-187.5,L2,pre_reset,0.6259850900699253
11,0,real,press,-11,-171.875,L1,spike50,0.10266351575484978
11,0,real,press,-11,-171.875,L1,syn_current,0.012031734660179705
11,0,real,press,-11,-171.875,L1,pre_reset,0.022492702816951593
11,0,real,press,-11,-171.875,L2,spike50,0.10250402949999426
11,0,real,press,-11,-171.875,L2,syn_current,0.10382321699169417
11,0,real,press,-11,-171.875,L2,pre_reset,0.06031149299252969
11,0,real,press,-10,-156.25,L1,spike50,0.025142591234802225
11,0,real,press,-10,-156.25,L1,syn_current,0.003056659666698991
11,0,real,press,-10,-156.25,L1,pre_reset,0.014502038380478921
11,0,real,press,-10,-156.25,L2,spike50,0.035853965683638744
11,0,real,press,-10,-156.25,L2,syn_current,0.023509626546507456
11,0,real,press,-10,-156.25,L2,pre_reset,0.017390501849517292
11,0,real,press,-9,-140.625,L1,spike50,0.04805696935125481
11,0,real,press,-9,-140.625,L1,syn_current,0.12696911036289582
11,0,real,press,-9,-140.625,L1,pre_reset,0.05565164191427652
11,0,real,press,-9,-140.625,L2,spike50,0.01717887928828621
11,0,real,press,-9,-140.625,L2,syn_current,0.03884925062292277
11,0,real,press,-9,-140.625,L2,pre_reset,0.022539861280605034
11,0,real,press,-8,-125.0,L1,spike50,0.09112705771686092
11,0,real,press,-8,-125.0,L1,syn_current,0.005553699584922467
11,0,real,press,-8,-125.0,L1,pre_reset,0.01664625306714107
11,0,real,press,-8,-125.0,L2,spike50,0.03975591066642503
11,0,real,press,-8,-125.0,L2,syn_current,0.021347904173295684
11,0,real,press,-8,-125.0,L2,pre_reset,0.010141297355289458
11,0,real,press,-7,-109.375,L1,spike50,0.08454564277516086
11,0,real,press,-7,-109.375,L1,syn_current,0.0019324799320505903
11,0,real,press,-7,-109.375,L1,pre_reset,0.013058777521599452
11,0,real,press,-7,-109.375,L2,spike50,0.027341913272414198
11,0,real,press,-7,-109.375,L2,syn_current,0.018186069614445577
11,0,real,press,-7,-109.375,L2,pre_reset,0.008624107552804738
11,0,real,press,-6,-93.75,L1,spike50,0.020410310591235548
11,0,real,press,-6,-93.75,L1,syn_current,0.0015393160210860346
11,0,real,press,-6,-93.75,L1,pre_reset,0.011747981511885497
11,0,real,press,-6,-93.75,L2,spike50,0.02950145158250972
