seed,sample_index,boundary_class,boundary_type,offset_steps,offset_ms,layer,state,transition
37,0,real,press,-12,-187.5,L1,spike50,0.4076331892246202
37,0,real,press,-12,-187.5,L1,syn_current,0.014787168729198497
37,0,real,press,-12,-187.5,L1,pre_reset,0.009188930431443199
37,0,real,press,-12,-187.5,L2,spike50,
37,0,real,press,-12,-187.5,L2,syn_current,0.8298117201241727
37,0,real,press,-12,-187.5,L2,pre_reset,0.6723038554781537
37,0,real,press,-11,-171.875,L1,spike50,0.06481381051208512
37,0,real,press,-11,-171.875,L1,syn_current,0.012761001625794188
37,0,real,press,-11,-171.875,L1,pre_reset,0.01935773481767089
37,0,real,press,-11,-171.875,L2,spike50,0.1336745700836489
37,0,real,press,-11,-171.875,L2,syn_current,0.2160615204963754
37,0,real,press,-11,-171.875,L2,pre_reset,0.10172528007349779
37,0,real,press,-10,-156.25,L1,spike50,0.04623787107935684
37,0,real,press,-10,-156.25,L1,syn_current,0.003352452274120843
37,0,real,press,-10,-156.25,L1,pre_reset,0.01132385808934111
37,0,real,press,-10,-156.25,L2,spike50,0.04748988056852399
37,0,real,press,-10,-156.25,L2,syn_current,0.1579484031319347
37,0,real,press,-10,-156.25,L2,pre_reset,0.07721646434315599
37,0,real,press,-9,-140.625,L1,spike50,0.04160748376638468
37,0,real,press,-9,-140.625,L1,syn_current,0.11259461770414847
37,0,real,press,-9,-140.625,L1,pre_reset,0.04931325613161497
37,0,real,press,-9,-140.625,L2,spike50,0.01906157969835265
37,0,real,press,-9,-140.625,L2,syn_current,0.04182664721567286
37,0,real,press,-9,-140.625,L2,pre_reset,0.024504854788373054
37,0,real,press,-8,-125.0,L1,spike50,0.06894015027479339
37,0,real,press,-8,-125.0,L1,syn_current,0.00615002009492327
37,0,real,press,-8,-125.0,L1,pre_reset,0.022951448527454454
37,0,real,press,-8,-125.0,L2,spike50,0.03151061276198053
37,0,real,press,-8,-125.0,L2,syn_current,0.042691133513829804
37,0,real,press,-8,-125.0,L2,pre_reset,0.025515498192988706
37,0,real,press,-7,-109.375,L1,spike50,0.05159917417225157
37,0,real,press,-7,-109.375,L1,syn_current,0.0021006222768845673
37,0,real,press,-7,-109.375,L1,pre_reset,0.010227244698732263
