seed,sample_index,boundary_class,boundary_type,offset_steps,offset_ms,layer,state,transition
23,0,real,press,-12,-187.5,L1,spike50,0.4540251822445478
23,0,real,press,-12,-187.5,L1,syn_current,0.015363192983008145
23,0,real,press,-12,-187.5,L1,pre_reset,0.0102339387044722
23,0,real,press,-12,-187.5,L2,spike50,0.5569895708431155
23,0,real,press,-12,-187.5,L2,syn_current,0.46239650407832045
23,0,real,press,-12,-187.5,L2,pre_reset,0.3841588996403549
23,0,real,press,-11,-171.875,L1,spike50,0.1198759802840984
23,0,real,press,-11,-171.875,L1,syn_current,0.01096437113922022
23,0,real,press,-11,-171.875,L1,pre_reset,0.01982567121836387
23,0,real,press,-11,-171.875,L2,spike50,0.07494011430163927
23,0,real,press,-11,-171.875,L2,syn_current,0.10106986996192568
23,0,real,press,-11,-171.875,L2,pre_reset,0.052234152426944847
23,0,real,press,-10,-156.25,L1,spike50,0.03228591826181071
23,0,real,press,-10,-156.25,L1,syn_current,0.00277678803503989
23,0,real,press,-10,-156.25,L1,pre_reset,0.016318299281610105
23,0,real,press,-10,-156.25,L2,spike50,0.02924411614885758
23,0,real,press,-10,-156.25,L2,syn_current,0.020932460973961398
23,0,real,press,-10,-156.25,L2,pre_reset,0.008542617152767829
23,0,real,press,-9,-140.625,L1,spike50,0.06032398276854767
23,0,real,press,-9,-140.625,L1,syn_current,0.09495780374144924
23,0,real,press,-9,-140.625,L1,pre_reset,0.03462166207035966
23,0,real,press,-9,-140.625,L2,spike50,0.018514755359815505
23,0,real,press,-9,-140.625,L2,syn_current,0.0602159496451935
23,0,real,press,-9,-140.625,L2,pre_reset,0.028741384417008797
23,0,real,press,-8,-125.0,L1,spike50,0.07938375353333005
23,0,real,press,-8,-125.0,L1,syn_current,0.00629741076384982
23,0,real,press,-8,-125.0,L1,pre_reset,0.015616167862477992
23,0,real,press,-8,-125.0,L2,spike50,0.02860593943887002
23,0,real,press,-8,-125.0,L2,syn_current,0.02155738852201805
23,0,real,press,-8,-125.0,L2,pre_reset,0.009731609369920124
23,0,real,press,-7,-109.375,L1,spike50,0.09306401350657145
23,0,real,press,-7,-109.375,L1,syn_current,0.002142235468196363
23,0,real,press,-7,-109.375,L1,pre_reset,0.009209417746506299
23,0,real,press,-7,-109.375,L2,spike50,0.030103331464436445
23,0,real,press,-7,-109.375,L2,syn_current,0.019132444581226093
23,0,real,press,-7,-109.375,L2,pre_reset,0.010688046993082123
23,0,real,press,-6,-93.75,L1,spike50,0.007964556205450113
23,0,real,press,-6,-93.75,L1,syn_current,0.0016945420235791042
23,0,real,press,-6,-93.75,L1,pre_reset,0.010666207438019049
23,0,real,press,-6,-93.75,L2,spike50,0.023827183630171445
23,0,real,press,-6,-93.75,L2,syn_current,0.005176805634933834
23,0,real,press,-6,-93.75,L2,pre_reset,0.0035208874546875935
23,0,real,press,-5,-78.125,L1,spike50,0.05781480010399309
23,0,real,press,-5,-78.125,L1,syn_current,0.00133642997451211
23,0,real,press,-5,-78.125,L1,pre_reset,0.008410191875038775
23,0,real,press,-5,-78.125,L2,spike50,0.03503754803053327
23,0,real,press,-5,-78.125,L2,syn_current,0.017342736579607942
23,0,real,press,-5,-78.125,L2,pre_reset,0.007237438344570801
23,0,real,press,-4,-62.5,L1,spike50,0.03752909303241636
23,0,real,press,-4,-62.5,L1,syn_current,0.05632213409855735
23,0,real,press,-4,-62.5,L1,pre_reset,0.026091450055549026
23,0,real,press,-4,-62.5,L2,spike50,0.03504537656859119
23,0,real,press,-4,-62.5,L2,syn_current,0.005170544940505617
23,0,real,press,-4,-62.5,L2,pre_reset,0.003068196696842884
23,0,real,press,-3,-46.875,L1,spike50,0.06189189186958044
23,0,real,press,-3,-46.875,L1,syn_current,0.001571543447464574
23,0,real,press,-3,-46.875,L1,pre_reset,0.009654495314216138
23,0,real,press,-3,-46.875,L2,spike50,0.03359694294615423
23,0,real,press,-3,-46.875,L2,syn_current,0.0037531016359397817
