condition,checkpoint_source_condition,seed,lambda_con,epoch,train_loss,train_loss_cls,train_loss_con,train_effective_lambda_con,train_active_item_fraction,train_valid_anchor_fraction,train_accuracy,train_balanced_accuracy,train_macro_f1,train_l1_fr,train_l2_fr,train_l3_fr,train_l1_dead_fraction,train_l2_dead_fraction,train_l3_dead_fraction,val_loss,val_loss_cls,val_loss_con,val_effective_lambda_con,val_active_item_fraction,val_valid_anchor_fraction,val_accuracy,val_balanced_accuracy,val_macro_f1,val_l1_fr,val_l2_fr,val_l3_fr,val_l1_dead_fraction,val_l2_dead_fraction,val_l3_dead_fraction
cls_only,con250,11,0.0,1,2.4861196022999437,2.4861196022999437,0.0,0.0,0.0,0.0,0.08069620253164557,0.0748000954767872,0.026443161161536045,0.0002662079243720332,0.00014375131341475475,9.454654741890823e-05,0.3203125,0.3203125,0.25,2.4847300658150324,2.4847300658150324,0.0,0.0,0.0,0.0,0.09523809523809523,0.08333333333333333,0.014492753623188406,0.00011359320746527778,1.4774383060515873e-05,0.0,0.578125,0.8046875,1.0
cls_only,con250,11,0.0,2,2.468387410610537,2.468387410610537,0.0,0.0,0.0,0.0,0.11550632911392406,0.10913532348477469,0.06489967956537561,0.00028455710109276107,0.00018117397646360758,0.00014138523536392405,0.3125,0.28125,0.21875,2.4814126945677257,2.4814126945677257,0.0,0.0,0.0,0.0,0.10317460317460317,0.09027777777777778,0.027526395173454,0.00014895484561011906,3.3181811135912696e-05,9.688120039682539e-06,0.5859375,0.640625,0.796875
cls_only,con250,11,0.0,3,2.4343921112108835,2.4343921112108835,0.0,0.0,0.0,0.0,0.12025316455696203,0.1155750598429759,0.10379980789262096,0.00036345856099189084,0.00038021425657634494,0.0005417835863330697,0.3125,0.2734375,0.1875,2.468024689053732,2.468024689053732,0.0,0.0,0.0,0.0,0.1111111111111111,0.09722222222222222,0.037259816207184625,0.0001957000248015873,8.065359933035714e-05,7.605174231150794e-05,0.578125,0.5859375,0.53125
cls_only,con250,11,0.0,4,2.390695070918602,2.390695070918602,0.0,0.0,0.0,0.0,0.14556962025316456,0.13975137063567553,0.11065618805556637,0.0004396076443829114,0.0006206367589250396,0.0012417563909216773,0.296875,0.234375,0.125,2.468515978919135,2.468515978919135,0.0,0.0,0.0,0.0,0.10317460317460317,0.09027777777777778,0.026495726495726495,0.00022936624193948413,0.00012909419952876984,0.00014629061259920634,0.5703125,0.546875,0.390625
cls_only,con250,11,0.0,5,2.3269629599172856,2.3269629599172856,0.0,0.0,0.0,0.0,0.16455696202531644,0.15790643581485564,0.13496994708748775,0.0004931582680231408,0.0008222845536244067,0.0017249191863627374,0.2421875,0.203125,0.109375,2.4558100662534197,2.4558100662534197,0.0,0.0,0.0,0.0,0.11904761904761904,0.10555555555555557,0.049914008755472174,0.00029887850322420637,0.00022985064794146825,0.0003444126674107143,0.5390625,0.46875,0.25
cls_only,con250,11,0.0,6,2.2593363568752625,2.2593363568752625,0.0,0.0,0.0,0.0,0.20411392405063292,0.19612602516115074,0.18888577399199333,0.0006229062623615507,0.0013836244993571994,0.0033675568013251584,0.203125,0.15625,0.09375,2.434873482537648,2.434873482537648,0.0,0.0,0.0,0.0,0.14285714285714285,0.13125,0.08815721315721316,0.00040447901165674606,0.0004926409040178571,0.0010172526041666667,0.53125,0.375,0.1875
cls_only,con250,11,0.0,7,2.178972183903561,2.178972183903561,0.0,0.0,0.0,0.0,0.2389240506329114,0.22887769362101076,0.22378987362454175,0.0007482601117484178,0.002014884465857397,0.005341348768789557,0.1953125,0.15625,0.046875,2.4344238213130405,2.4344238213130405,0.0,0.0,0.0,0.0,0.1349206349206349,0.12222222222222223,0.06881690206825475,0.00045873248387896825,0.0006357828776041666,0.0013093494233630952,0.5234375,0.3046875,0.171875
cls_only,con250,11,0.0,8,2.092596576183657,2.092596576183657,0.0,0.0,0.0,0.0,0.24367088607594936,0.23386112624999286,0.24633502441023838,0.0008010381384740902,0.002222230162801622,0.005314501026008702,0.1953125,0.1328125,0.0,2.379312129247756,2.379312129247756,0.0,0.0,0.0,0.0,0.16666666666666666,0.1571759259259259,0.11936919289860465,0.0005144391741071429,0.000862000480530754,0.0018489777095734127,0.5078125,0.2734375,0.09375
cls_only,con250,11,0.0,9,2.0005030481121207,2.0005030481121207,0.0,0.0,0.0,0.0,0.2958860759493671,0.28422437574489473,0.2949341062301114,0.000923929335195807,0.002923796448526503,0.007135511953619462,0.1796875,0.1328125,0.0,2.386345416780502,2.386345416780502,0.0,0.0,0.0,0.0,0.19047619047619047,0.17939814814814814,0.15304886785839264,0.0006287589905753969,0.0013408358134920635,0.0032871791294642855,0.484375,0.2265625,0.015625
cls_only,con250,11,0.0,10,1.910248395762866,1.910248395762866,0.0,0.0,0.0,0.0,0.32436708860759494,0.31149609883175866,0.3270362706527175,0.0010798973373219937,0.003943962386891812,0.009568902510630934,0.1953125,0.1171875,0.0,2.465233360018049,2.465233360018049,0.0,0.0,0.0,0.0,0.1984126984126984,0.19120370370370368,0.169776628600158,0.0007464696490575396,0.0019061376178075397,0.004739912729414683,0.4609375,0.2109375,0.015625
cls_only,con250,11,0.0,11,1.7879074766666074,1.7879074766666074,0.0,0.0,0.0,0.0,0.3813291139240506,0.37366587857874806,0.4000046018907107,0.0012404526336283624,0.0050100495543661,0.011853085288518592,0.1875,0.1171875,0.015625,2.4556525056324308,2.4556525056324308,0.0,0.0,0.0,0.0,0.23809523809523808,0.23723544973544972,0.2319022771480467,0.000873626224578373,0.002652122860863095,0.006647503565228175,0.46875,0.1875,0.015625
cls_only,con250,11,0.0,12,1.6576888199093975,1.6576888199093975,0.0,0.0,0.0,0.0,0.4161392405063291,0.4064673114606458,0.43877450715145233,0.0014268899265723893,0.006344517575034612,0.014833571035650712,0.1796875,0.1171875,0.015625,2.436425867534819,2.436425867534819,0.0,0.0,0.0,0.0,0.1984126984126984,0.191765873015873,0.17891124297438774,0.0010436527312748015,0.003784906296502976,0.00938778831845238,0.453125,0.1875,0.015625
cls_only,con250,11,0.0,13,1.5218640414974358,1.5218640414974358,0.0,0.0,0.0,0.0,0.47468354430379744,0.4742575830635704,0.5020081149231336,0.0016473214837569225,0.008158816566950158,0.019219410570361948,0.1796875,0.1015625,0.0,2.521159569422404,2.521159569422404,0.0,0.0,0.0,0.0,0.23809523809523808,0.2348214285714286,0.22308367960541875,0.0012340242900545635,0.005162556966145833,0.013418046254960318,0.4296875,0.15625,0.015625
cls_only,con250,11,0.0,14,1.390063048918036,1.390063048918036,0.0,0.0,0.0,0.0,0.5395569620253164,0.532711306875885,0.5629704176147922,0.0018396015408672865,0.009440844572043116,0.02164198477056962,0.171875,0.09375,0.0,2.5703371252332414,2.5703371252332414,0.0,0.0,0.0,0.0,0.31746031746031744,0.3173280423280423,0.30691485658590917,0.0013524615575396825,0.00582062251984127,0.015321761842757936,0.4296875,0.1328125,0.0
cls_only,con250,11,0.0,15,1.2836035822011247,1.2836035822011247,0.0,0.0,0.0,0.0,0.560126582278481,0.5581760455388879,0.5764569862271012,0.0019924791553352452,0.010264722606803797,0.02386696730987935,0.171875,0.109375,0.0,2.5771707769424195,2.5771707769424195,0.0,0.0,0.0,0.0,0.31746031746031744,0.31478174603174597,0.3222682909912013,0.0014817979600694445,0.006637088836185516,0.016552637493799604,0.421875,0.125,0.0
