representation,condition,seed,feature_dim,selected_C,val_BA,test_accuracy,test_BA,test_macro_f1,delta_test_BA_vs_Raw250
SNN250,cls_only,11,1024,0.01,0.6441468253968253,0.5263157894736842,0.5335648148148148,0.5112573099415204,-0.013392857142857206
SNN125,cls_only,11,2048,0.01,0.6582671957671957,0.5157894736842106,0.519345238095238,0.49841269841269836,-0.02761243386243395
SNN250,cls_only,23,1024,0.01,0.6504960317460318,0.5684210526315789,0.5887896825396824,0.5636599511599512,0.04183201058201047
SNN125,cls_only,23,2048,0.01,0.6514219576719577,0.5578947368421052,0.5810185185185185,0.5536070568578307,0.034060846560846514
SNN250,cls_only,101,1024,0.01,0.6353835978835979,0.5368421052631579,0.5504298941798943,0.5261075117692765,0.003472222222222321
SNN125,cls_only,101,2048,0.001,0.6410714285714286,0.5473684210526316,0.5573743386243386,0.5429182902867113,0.01041666666666663
SNN250,con250,11,1024,0.001,0.7453373015873015,0.5578947368421052,0.5439814814814815,0.5344932723222197,-0.0029761904761904656
SNN125,con250,11,2048,0.001,0.7641865079365079,0.5789473684210527,0.5836640211640212,0.566776973026973,0.03670634920634919
SNN250,con250,23,1024,0.01,0.630026455026455,0.5263157894736842,0.5373677248677249,0.5122578220617436,-0.009589947089947093
SNN125,con250,23,2048,0.001,0.6347883597883598,0.49473684210526314,0.5069444444444444,0.4964835776376697,-0.040013227513227556
SNN250,con250,101,1024,0.001,0.6424603174603175,0.5789473684210527,0.5825066137566138,0.5687604949753287,0.03554894179894186
SNN125,con250,101,2048,0.001,0.6694113756613757,0.5473684210526316,0.5512566137566138,0.5446941689201751,0.004298941798941858
SNN250,con500,11,1024,0.1,0.7154431216931215,0.5578947368421052,0.5648148148148148,0.5503065644689685,0.017857142857142794
SNN125,con500,11,2048,0.001,0.7234457671957673,0.5368421052631579,0.5390211640211641,0.5235755415321979,-0.007936507936507908
SNN250,con500,23,1024,0.001,0.6746031746031745,0.5052631578947369,0.4953703703703703,0.4883032967204793,-0.05158730158730168
SNN125,con500,23,2048,0.001,0.6875661375661376,0.5368421052631579,0.5428240740740741,0.5335620032988454,-0.004133597883597906
SNN250,con500,101,1024,0.001,0.6703373015873014,0.5368421052631579,0.531084656084656,0.5252978505842282,-0.015873015873015928
SNN125,con500,101,2048,0.01,0.6816468253968253,0.5789473684210527,0.6086309523809523,0.5763998858039105,0.06167328042328035
