representation,condition,n_runs,mean_test_BA,sd_test_BA,mean_test_accuracy,mean_test_macro_f1,mean_delta_test_BA_vs_Raw250
SNN125,cls_only,3,0.552579365079365,0.031114983657635025,0.5403508771929825,0.5316460151857468,0.005621693121693065
SNN125,con250,3,0.5472883597883599,0.038513421591377446,0.5403508771929825,0.5359849065282726,0.00033068783068782953
SNN125,con500,3,0.5634920634920635,0.039137641712425904,0.5508771929824562,0.5445124768783179,0.016534391534391513
SNN250,cls_only,3,0.5575947971781305,0.028301031430636652,0.543859649122807,0.5336749242902493,0.010637125220458529
SNN250,con250,3,0.5546186067019401,0.024377061907614128,0.5543859649122806,0.538503863119764,0.0076609347442681
SNN250,con500,3,0.5304232804232804,0.034726946012764784,0.5333333333333333,0.5213025705912253,-0.016534391534391606
