condition,mean_snn_only_test_BA,mean_raw_plus_snn_test_BA,mean_fusion_delta_vs_raw,sd_fusion_delta_vs_raw
cls_only,0.5575947971781305,0.6106150793650794,0.06365740740740737,0.006570210478275679
con250,0.5546186067019401,0.6379519400352733,0.0909942680776014,0.04774098572935291
con500,0.5304232804232804,0.6122685185185185,0.06531084656084656,0.005443808741122443
