condition,seed,mode,SameLabel@1,SameLabel@5,n_queries,knn5_BA
cls_only,11,250,0.24636209813874788,0.216175972927242,2955,0.23625181525810632
cls_only,11,500,0.30007390983000737,0.2614929785661493,2706,0.2820087862396443
cls_only,23,250,0.2246024018175917,0.21493021746186305,3081,0.23747745438819898
cls_only,23,500,0.3072505384063173,0.27013639626704955,2786,0.29912961458456894
cls_only,101,250,0.24816053511705685,0.22254180602006693,2990,0.23459784756208443
cls_only,101,500,0.3068605518269948,0.27926920208799405,2682,0.30213096308736737
con250,11,250,0.2472929470295581,0.22388059701492538,3417,0.25266401284596013
con250,11,500,0.32601988344189237,0.28392183750428523,2917,0.3036353731161027
con250,23,250,0.23573200992555832,0.2156327543424318,3224,0.23600752061640604
con250,23,500,0.2986377925253231,0.2707649318896263,2863,0.29441695696272235
con250,101,250,0.23835784313725492,0.21666666666666667,3264,0.24578383836577708
con250,101,500,0.3190743338008415,0.2800140252454418,2852,0.31394450653001355
con500,11,250,0.23602853745541022,0.21771700356718193,3364,0.23690274236744333
con500,11,500,0.30583362098722816,0.2804280289955126,2897,0.29593886031810396
con500,23,250,0.23636363636363636,0.22277198211624444,3355,0.2499079284714174
con500,23,500,0.30566037735849055,0.2852144082332762,2915,0.31107727409549896
con500,101,250,0.24535202682109114,0.22103017372752212,3281,0.24199851185222868
con500,101,500,0.3187696609577071,0.28640335547011536,2861,0.307826900981062
