condition,lambda_con,seed,best_epoch,global_val_BA,probe_selected_C,probe_val_BA,train_l3_fr,active_item_fraction,valid_anchor_fraction
con250,0.0,11,79,0.6489087301587302,0.01,0.6441468253968253,0.08495775053772746,0.0,0.0
con250,0.0,23,93,0.6060515873015871,0.01,0.6504960317460318,0.0842595160761966,0.0,0.0
con250,0.0,101,97,0.6770171957671959,0.01,0.6353835978835979,0.06243442583687698,0.0,0.0
con250,0.01,11,78,0.6433531746031748,0.01,0.6572420634920634,0.09159455118300039,0.8333921637701855,0.9835434254211716
con250,0.01,23,73,0.6080357142857143,0.01,0.6361772486772487,0.08439993556541732,0.8634820961787281,0.9921236573895321
con250,0.01,101,70,0.6648478835978836,0.01,0.6249669312169311,0.06526609010334257,0.8145777399177042,0.9856590032577515
con250,0.03,11,80,0.6470568783068783,0.01,0.6526124338624338,0.08349281021311314,0.8325196180936164,0.9819106746323502
con250,0.03,23,74,0.6267857142857142,0.1,0.6351190476190476,0.09046404874777492,0.8853248414796208,0.992402265343485
con250,0.03,101,72,0.682473544973545,0.1,0.6734457671957673,0.06705977041510087,0.8347162244448296,0.9873066355910483
con250,0.1,11,100,0.7006283068783068,0.001,0.7453373015873015,0.11246500135977057,0.9535714616406633,0.9964063175116913
con250,0.1,23,54,0.6392857142857142,0.01,0.630026455026455,0.08666412739814082,0.9010107548953087,0.9928951708576347
con250,0.1,101,78,0.651818783068783,0.001,0.6424603174603175,0.08660019500346124,0.9135321438168172,0.9944282340098031
con500,0.0,11,79,0.6489087301587302,0.01,0.6441468253968253,0.08495775053772746,0.0,0.0
con500,0.0,23,93,0.6060515873015871,0.01,0.6504960317460318,0.0842595160761966,0.0,0.0
con500,0.0,101,97,0.6770171957671959,0.01,0.6353835978835979,0.06243442583687698,0.0,0.0
con500,0.01,11,71,0.6707671957671958,1.0,0.6352513227513229,0.07914656627027294,0.9111994617373642,0.9728869418554669
con500,0.01,23,78,0.6282738095238095,0.1,0.6057208994708995,0.08065824870821796,0.9519886618739458,0.9790844245801998
con500,0.01,101,98,0.6451058201058201,0.01,0.6249669312169313,0.07855205294452136,0.9263134837877586,0.976126332071763
con500,0.03,11,67,0.6716931216931217,0.01,0.6310846560846561,0.09236425085912776,0.9202157357959018,0.9733502827113187
con500,0.03,23,100,0.6278439153439154,0.01,0.6523809523809524,0.09410240076765229,0.9795647146754332,0.9814166351209713
con500,0.03,101,77,0.6729828042328041,0.01,0.6555224867724868,0.07614522040644779,0.9291126177331033,0.9765767922884301
con500,0.1,11,94,0.675760582010582,0.1,0.7154431216931215,0.1122411414037777,0.980769631342881,0.9814154882974262
con500,0.1,23,85,0.6697089947089947,0.001,0.6746031746031745,0.09462583517726464,0.9861384677459646,0.9821398642998708
con500,0.1,101,84,0.6870701058201059,0.001,0.6703373015873014,0.08011723771879944,0.9701919057006935,0.981315098985841
