seed,model_kind,history_ms,layer,state,phase,bias_mode,shared_C,retrained_C,full_test_ba,trunc_shared_test_ba,trunc_retrained_test_ba,context_drop_shared_pp,information_loss_retrained_pp,geometry_shift_pp,full_test_accuracy,trunc_shared_test_accuracy,trunc_retrained_test_accuracy,full_test_macro_f1,trunc_shared_test_macro_f1,trunc_retrained_test_macro_f1,fit_intercept,scaler_with_mean
23,a2,1000,L1,spike50,0.25,no_bias,0.01,0.01,0.24787920412920414,0.24787920412920414,0.24787920412920414,0.0,0.0,0.0,0.2465753424657534,0.2465753424657534,0.2465753424657534,0.2292646296269484,0.2292646296269484,0.2292646296269484,False,False
23,a2,1000,L1,spike50,0.25,affine,0.01,0.01,0.2868471805971806,0.2868471805971806,0.2868471805971806,0.0,0.0,0.0,0.2808219178082192,0.2808219178082192,0.2808219178082192,0.2714475804564938,0.2714475804564938,0.2714475804564938,True,True
23,a2,1000,L1,spike50,0.5,no_bias,0.1,0.01,0.35866980241980234,0.35866980241980234,0.3953990453990454,0.0,-3.672924297924307,3.672924297924307,0.363013698630137,0.363013698630137,0.410958904109589,0.3419118182611436,0.3419118182611436,0.3654795850254255,False,False
23,a2,1000,L1,spike50,0.5,affine,0.1,10.0,0.3781732156732156,0.3781732156732156,0.3318188755688756,0.0,4.635434010433998,-4.635434010433998,0.3904109589041096,0.3904109589041096,0.3356164383561644,0.368100590404512,0.368100590404512,0.33217604718386345,True,True
23,a2,1000,L1,spike50,0.75,no_bias,0.1,0.1,0.4044816294816295,0.38563242313242313,0.41384518259518255,1.8849206349206393,-0.9363553113553025,2.821275946275942,0.4178082191780822,0.3972602739726027,0.4315068493150685,0.40423881027318637,0.38541205911884896,0.4090697466458116,False,False
23,a2,1000,L1,spike50,0.75,affine,0.1,0.1,0.478239121989122,0.4712946775446776,0.4333638583638583,0.694444444444442,4.487526362526367,-3.793081918081925,0.4794520547945205,0.4726027397260274,0.4383561643835616,0.474430680199603,0.46365777994139235,0.4273357552034022,True,True
23,a2,1000,L1,spike50,1.0,no_bias,0.1,0.1,0.2814851814851815,0.28095099345099345,0.253520091020091,0.05341880341880323,2.7965090465090494,-2.743090243090246,0.2945205479452055,0.2945205479452055,0.2602739726027397,0.27529809791105614,0.27297175328780077,0.2411127314709108,False,False
23,a2,1000,L1,spike50,1.0,affine,0.1,0.01,0.2814851814851815,0.275990675990676,0.2574120324120324,0.5494505494505475,2.407314907314906,-1.8578643578643583,0.2945205479452055,0.2876712328767123,0.2671232876712329,0.27506936529101916,0.27015172587133013,0.2438409536201971,True,True
23,a2,1000,L1,syn_current,0.25,no_bias,0.1,0.1,0.1944208569208569,0.1944208569208569,0.1944208569208569,0.0,0.0,0.0,0.1917808219178082,0.1917808219178082,0.1917808219178082,0.17792141245861756,0.17792141245861756,0.17792141245861756,False,False
23,a2,1000,L1,syn_current,0.25,affine,0.1,0.1,0.23442390942390942,0.23442390942390942,0.23442390942390942,0.0,0.0,0.0,0.2328767123287671,0.2328767123287671,0.2328767123287671,0.21733797570678373,0.21733797570678373,0.21733797570678373,True,True
