split_seed,representation,linear,small_temporal_cnn,small_temporal_gru,cnn_minus_linear,gru_minus_linear,gru_minus_cnn
11,fixed_100ms,0.5195533769063182,0.5377791394335513,0.6379561546840958,0.01822576252723307,0.11840277777777763,0.10017701525054457
11,fixed_250ms,0.683183551198257,0.5475354030501088,0.6069716775599128,-0.13564814814814818,-0.07621187363834425,0.05943627450980393
11,fixed_500ms,0.6476988017429194,0.591755174291939,0.5597426470588236,-0.05594362745098036,-0.08795615468409579,-0.03201252723311543
11,raw_timestep,0.28724128540305016,0.2941857298474945,0.2431712962962963,0.006944444444444364,-0.04406998910675386,-0.051014433551198224
11,relative_10bin,0.817824074074074,0.5553036492374728,0.6280364923747277,-0.2625204248366012,-0.18978758169934629,0.07273284313725492
23,fixed_100ms,0.4822323373793962,0.43017623716153125,0.3418300653594771,-0.05205610021786494,-0.14040227201991912,-0.08834617180205417
23,fixed_250ms,0.5375632197323373,0.531422152194211,0.4717164643635232,-0.006141067538126377,-0.06584675536881412,-0.05970568783068775
23,fixed_500ms,0.5711260893246187,0.5276775988173047,0.4754940865234982,-0.04344849050731403,-0.0956320028011205,-0.05218351229380647
23,raw_timestep,0.3284673591658886,0.33259025832555245,0.2372111344537815,0.004122899159663851,-0.09125622471210709,-0.09537912387177094
23,relative_10bin,0.6836465141612201,0.5936789993775288,0.42595315904139436,-0.08996751478369136,-0.2576933551198258,-0.1677258403361344
37,fixed_100ms,0.48712259962259963,0.43582251082251083,0.3987928737928737,-0.051300088800088794,-0.08832972582972592,-0.03702963702963713
37,fixed_250ms,0.6102904040404041,0.5864794927294926,0.567742673992674,-0.02381091131091151,-0.04254773004773016,-0.01873681873681865
37,fixed_500ms,0.5881042568542568,0.6002074314574314,0.6450313575313575,0.01210317460317456,0.05692710067710072,0.04482392607392616
37,raw_timestep,0.2724393661893662,0.3661872849372849,0.21543734043734042,0.09374791874791871,-0.05700202575202579,-0.1507499444999445
37,relative_10bin,0.7286220723720724,0.6149246586746587,0.5565836940836941,-0.11369741369741371,-0.1720383782883783,-0.058340964590964606
53,fixed_100ms,0.46532634032634035,0.40117521367521364,0.4524087024087024,-0.06415112665112671,-0.012917637917637947,0.05123348873348876
53,fixed_250ms,0.4664432789432789,0.5057303807303808,0.4281759906759907,0.039287101787101875,-0.0382672882672882,-0.07755439005439008
53,fixed_500ms,0.6331585081585082,0.5034965034965034,0.41418997668997665,-0.12966200466200473,-0.2189685314685315,-0.08930652680652679
53,raw_timestep,0.2948717948717949,0.25053418803418803,0.3122086247086247,-0.04433760683760685,0.017336829836829826,0.06167443667443667
53,relative_10bin,0.6054778554778554,0.5523989898989898,0.5163170163170163,-0.05307886557886554,-0.08916083916083906,-0.036081973581973514
71,fixed_100ms,0.5305526377217553,0.5113649626517273,0.476420985060691,-0.019187675070028054,-0.05413165266106429,-0.034943977591036235
71,fixed_250ms,0.6269286881419234,0.5215190242763773,0.4860615079365078,-0.10540966386554607,-0.14086718020541555,-0.03545751633986949
71,fixed_500ms,0.5787406629318393,0.5405228758169934,0.44829598506069096,-0.038217787114845914,-0.13044467787114838,-0.09222689075630247
71,raw_timestep,0.34296802054154996,0.32657854808590103,0.23128501400560228,-0.016389472455648924,-0.11168300653594768,-0.09529353408029875
71,relative_10bin,0.7381273342670401,0.5691030578898225,0.5577701914098973,-0.16902427637721762,-0.18035714285714288,-0.011332866479925263
