split_seed,split,users,samples,classes_present,user_ids
11,train,12,477,12,"user_0,user_10,user_13,user_15,user_18,user_19,user_20,user_4,user_5,user_6,user_7,user_8"
11,val,4,168,12,"user_11,user_12,user_16,user_9"
11,test,4,208,12,"user_1,user_14,user_2,user_3"
23,train,12,495,12,"user_0,user_1,user_12,user_13,user_15,user_18,user_19,user_2,user_20,user_4,user_7,user_9"
23,val,4,181,12,"user_10,user_11,user_14,user_3"
23,test,4,177,12,"user_16,user_5,user_6,user_8"
37,train,12,519,12,"user_0,user_11,user_12,user_15,user_16,user_18,user_19,user_2,user_3,user_6,user_7,user_8"
37,val,4,176,12,"user_1,user_13,user_20,user_5"
37,test,4,158,12,"user_10,user_14,user_4,user_9"
53,train,12,514,12,"user_1,user_10,user_12,user_13,user_14,user_15,user_19,user_20,user_5,user_7,user_8,user_9"
53,val,4,199,12,"user_16,user_3,user_4,user_6"
53,test,4,140,12,"user_0,user_11,user_18,user_2"
71,train,12,503,12,"user_1,user_10,user_11,user_12,user_13,user_14,user_18,user_19,user_20,user_5,user_7,user_9"
71,val,4,170,12,"user_0,user_15,user_3,user_8"
71,test,4,180,12,"user_16,user_2,user_4,user_6"
