epoch,optimization_train_loss,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,model,split_seed,representation,requested_duration_ms,actual_duration_ms,n_time_bins
1,2.495047637251688,2.4879489794717147,0.08333333333333333,2.4894577208019437,0.10555555555555556,0.07142857142857142,0.031218958422023557,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
2,2.48643588569929,2.4825212010797464,0.08730158730158731,2.4849211829049245,0.08333333333333333,0.08928571428571429,0.013736263736263736,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
3,2.4817954014432257,2.478036540609236,0.11904761904761905,2.4805369150070917,0.10416666666666667,0.1130952380952381,0.04206349206349206,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
4,2.4772462005135396,2.474018120915635,0.1352436323366556,2.4767840249197826,0.11423611111111111,0.125,0.03936507936507936,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
5,2.473573404787971,2.4696161042219438,0.13353636028054633,2.4733451207478843,0.1125,0.125,0.03837072018890201,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
6,2.468995689096191,2.4645163897948197,0.11209268767408302,2.469162078130813,0.11631944444444443,0.13095238095238096,0.05180821981280697,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
7,2.4633104466292344,2.4593068248820753,0.11024279338232827,2.4661034175327847,0.12336309523809523,0.13690476190476192,0.0642529675692302,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
8,2.458783354649254,2.453993343457236,0.13552048726467333,2.463171913510277,0.15168650793650792,0.16071428571428573,0.06573170748677017,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
9,2.4537614246584334,2.447976326292666,0.1431339977851606,2.459144501459031,0.140625,0.1488095238095238,0.059032123487692954,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
10,2.4480466612729885,2.4418669406722926,0.14116035773012517,2.4558738526843844,0.1443452380952381,0.15476190476190477,0.05398570643210556,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
11,2.4414754273756496,2.4349995419164374,0.1404577334809893,2.4503547123500278,0.1324404761904762,0.1488095238095238,0.05786516853932585,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
12,2.4336695925994487,2.4270544152089886,0.1960825027685493,2.4457785288492837,0.16517857142857142,0.17857142857142858,0.07201575070845019,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
13,2.4261306386823676,2.418173032236799,0.19635096815329375,2.4388671602521623,0.18229166666666666,0.19642857142857142,0.08009661835748792,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
14,2.415344083334165,2.407844559451569,0.16982742709486895,2.4332099642072404,0.13541666666666666,0.14285714285714285,0.05410827901167103,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
15,2.406072364663178,2.395981586704214,0.16424418604651161,2.424387886410668,0.15625,0.16666666666666666,0.056819923371647506,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
16,2.393953789205171,2.3818656393566973,0.19052652773583004,2.4159007299514044,0.140625,0.1488095238095238,0.054956999522216915,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
17,2.379631314887441,2.3644303935628765,0.2316625557904628,2.4034629549298967,0.19419642857142858,0.20833333333333334,0.10330798532472345,small_temporal_cnn,11,raw_timestep,15.625,15.625,256
