experiment,split_seed,model,representation,requested_duration_ms,samples_per_bin,actual_duration_ms,n_time_bins,best_epoch,train_balanced_accuracy,val_balanced_accuracy,val_accuracy,val_macro_f1,test_balanced_accuracy,test_accuracy,test_macro_f1
experiment_1_3_3,11,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,27.0,0.2655091477765896,0.2561851343101343,0.27380952380952384,0.20939143717901398,0.2941857298474945,0.32211538461538464,0.2027149136478904
experiment_1_3_3,11,small_temporal_gru,raw_timestep,15.625,1.0,15.625,256,63.0,0.6831786454606222,0.23769459706959706,0.23809523809523808,0.22006153602698786,0.2431712962962963,0.24519230769230768,0.2194103169612027
experiment_1_3_3,11,linear,raw_timestep,15.625,1.0,15.625,256,,,0.26527396214896215,0.27976190476190477,0.24267875074746795,0.28724128540305016,0.2980769230769231,0.28047776863928314
experiment_1_3_3,11,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,163.0,0.9087857068598347,0.4423038766788767,0.44047619047619047,0.43546682920020446,0.5377791394335513,0.5432692307692307,0.5342583319139681
experiment_1_3_3,11,small_temporal_gru,fixed_100ms,100.0,6.0,93.75,43,79.0,0.9784401765869789,0.45195741758241753,0.4642857142857143,0.45129242918663226,0.6379561546840958,0.6346153846153846,0.6274080143865354
experiment_1_3_3,11,linear,fixed_100ms,100.0,6.0,93.75,43,,,0.3636752136752137,0.375,0.3541439444819217,0.5195533769063182,0.5288461538461539,0.5229972557971971
experiment_1_3_3,11,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,132.0,0.9143065090376137,0.5209630647130646,0.5297619047619048,0.5210591676734614,0.5475354030501088,0.5576923076923077,0.5351774945663463
experiment_1_3_3,11,small_temporal_gru,fixed_250ms,250.0,16.0,250.0,16,78.0,0.9542684328294794,0.4627213064713065,0.47023809523809523,0.4579285186972242,0.6069716775599128,0.6057692307692307,0.5941969991273685
experiment_1_3_3,11,linear,fixed_250ms,250.0,16.0,250.0,16,,,0.4517094017094017,0.4583333333333333,0.4464819530286534,0.683183551198257,0.6875,0.6820908007191738
experiment_1_3_3,11,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,69.0,0.8333740691662204,0.5390186202686202,0.5595238095238095,0.5351697056438437,0.591755174291939,0.6057692307692307,0.5916093941174914
experiment_1_3_3,11,small_temporal_gru,fixed_500ms,500.0,32.0,500.0,8,54.0,0.7962960927350462,0.5082684676434676,0.5178571428571429,0.49934010828308634,0.5597426470588236,0.5769230769230769,0.5495915537633803
experiment_1_3_3,11,linear,fixed_500ms,500.0,32.0,500.0,8,,,0.45666971916971916,0.4583333333333333,0.43645126627702674,0.6476988017429194,0.6442307692307693,0.6442168933181406
experiment_1_3_3,11,small_temporal_cnn,relative_10bin,,,,10,61.0,0.7164615767813443,0.4909913003663004,0.5059523809523809,0.4825567150987207,0.5553036492374728,0.5721153846153846,0.5551067750988783
experiment_1_3_3,11,small_temporal_gru,relative_10bin,,,,10,59.0,0.9162072327770003,0.5360729548229549,0.5476190476190477,0.5205597879584541,0.6280364923747277,0.6394230769230769,0.6263437858283436
experiment_1_3_3,11,linear,relative_10bin,,,,10,,,0.5299068986568987,0.5476190476190477,0.5265747592191816,0.817824074074074,0.8173076923076923,0.8150728645096385
experiment_1_3_3,23,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,181.0,0.710531874638376,0.43440223311546844,0.4419889502762431,0.4215093351265818,0.33259025832555245,0.3502824858757062,0.3270676366536958
experiment_1_3_3,23,small_temporal_gru,raw_timestep,15.625,1.0,15.625,256,60.0,0.6945592895389057,0.26988069800569797,0.27624309392265195,0.25457935310876484,0.2372111344537815,0.24293785310734464,0.22853721948549532
experiment_1_3_3,23,linear,raw_timestep,15.625,1.0,15.625,256,,,0.27706709820680414,0.281767955801105,0.28114368011348734,0.3284673591658886,0.3446327683615819,0.32156023486668645
experiment_1_3_3,23,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,100.0,0.7888334201755236,0.611237326127032,0.6132596685082873,0.5995346083274555,0.43017623716153125,0.4406779661016949,0.42506314363949366
experiment_1_3_3,23,small_temporal_gru,fixed_100ms,100.0,6.0,93.75,43,58.0,0.8571960802967301,0.4642874350594939,0.47513812154696133,0.4674997461293995,0.3418300653594771,0.3446327683615819,0.3365316216142215
experiment_1_3_3,23,linear,fixed_100ms,100.0,6.0,93.75,43,,,0.48268392827216355,0.4861878453038674,0.4687724939119462,0.4822323373793962,0.4971751412429379,0.48930424902754616
experiment_1_3_3,23,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,130.0,0.9583287098709404,0.6099374685771745,0.6132596685082873,0.6082868402820761,0.531422152194211,0.5423728813559322,0.5441531804002223
experiment_1_3_3,23,small_temporal_gru,fixed_250ms,250.0,16.0,250.0,16,84.0,0.9628428018344762,0.5441794452823866,0.5524861878453039,0.5373412655472527,0.4717164643635232,0.480225988700565,0.46181507535674204
experiment_1_3_3,23,linear,fixed_250ms,250.0,16.0,250.0,16,,,0.6189380132394838,0.6187845303867403,0.6023056318028314,0.5375632197323373,0.5536723163841808,0.5468109051442385
experiment_1_3_3,23,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,84.0,0.875598751319714,0.6475191679235798,0.6519337016574586,0.6345537983037983,0.5276775988173047,0.536723163841808,0.5329670638512668
experiment_1_3_3,23,small_temporal_gru,fixed_500ms,500.0,32.0,500.0,8,80.0,0.9285064441371588,0.5747187657114128,0.574585635359116,0.5756522225661304,0.4754940865234982,0.4971751412429379,0.47981175541732773
experiment_1_3_3,23,linear,fixed_500ms,500.0,32.0,500.0,8,,,0.5408638134741076,0.5414364640883977,0.5230582768736273,0.5711260893246187,0.5875706214689266,0.5771919773779232
experiment_1_3_3,23,small_temporal_cnn,relative_10bin,,,,10,117.0,0.9465570204324157,0.6770540053628289,0.6795580110497238,0.6741300576464863,0.5936789993775288,0.615819209039548,0.5915168022441164
experiment_1_3_3,23,small_temporal_gru,relative_10bin,,,,10,56.0,0.8959517882258455,0.5747077677224736,0.5911602209944752,0.5734221775903304,0.42595315904139436,0.4350282485875706,0.4341378916030391
experiment_1_3_3,23,linear,relative_10bin,,,,10,,,0.6866159711747947,0.6906077348066298,0.6921542253939362,0.6836465141612201,0.6949152542372882,0.7002844000714182
experiment_1_3_3,37,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,143.0,0.606950509499716,0.38545654372860255,0.3977272727272727,0.3774222084854269,0.3661872849372849,0.379746835443038,0.3464001108928645
experiment_1_3_3,37,small_temporal_gru,raw_timestep,15.625,1.0,15.625,256,34.0,0.4503241520684438,0.2849702380952381,0.30113636363636365,0.24158108636009967,0.21543734043734042,0.22151898734177214,0.18996858629778768
experiment_1_3_3,37,linear,raw_timestep,15.625,1.0,15.625,256,,,0.24770463741051976,0.2556818181818182,0.2552004463289533,0.2724393661893662,0.27848101265822783,0.25152499287768054
experiment_1_3_3,37,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,110.0,0.858208845748479,0.5162999922191099,0.5284090909090909,0.5203652871759876,0.43582251082251083,0.4430379746835443,0.43430459972126645
experiment_1_3_3,37,small_temporal_gru,fixed_100ms,100.0,6.0,93.75,43,63.0,0.8485880944776611,0.538777038593215,0.5511363636363636,0.5312453734005458,0.3987928737928737,0.4177215189873418,0.383056492115933
experiment_1_3_3,37,linear,fixed_100ms,100.0,6.0,93.75,43,,,0.5221453859321507,0.5340909090909091,0.5264628097042481,0.48712259962259963,0.4810126582278481,0.4794748098669667
experiment_1_3_3,37,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,186.0,0.9788758395790804,0.6435973000311236,0.6420454545454546,0.649486337992985,0.5864794927294926,0.5886075949367089,0.5945128648512339
experiment_1_3_3,37,small_temporal_gru,fixed_250ms,250.0,16.0,250.0,16,64.0,0.9050239786404716,0.6223827030812326,0.625,0.6201096610252415,0.567742673992674,0.5886075949367089,0.55348256491314
experiment_1_3_3,37,linear,fixed_250ms,250.0,16.0,250.0,16,,,0.646466503267974,0.6477272727272727,0.646671855108262,0.6102904040404041,0.6012658227848101,0.5961742004929611
experiment_1_3_3,37,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,86.0,0.8880369263523652,0.6522875816993464,0.6420454545454546,0.6507262057628204,0.6002074314574314,0.6012658227848101,0.594833660911247
experiment_1_3_3,37,small_temporal_gru,fixed_500ms,500.0,32.0,500.0,8,196.0,1.0,0.6651678727046374,0.6647727272727273,0.6668479505634703,0.6450313575313575,0.6392405063291139,0.6427754824584635
experiment_1_3_3,37,linear,fixed_500ms,500.0,32.0,500.0,8,,,0.6121576408341115,0.6193181818181818,0.6190034204985903,0.5881042568542568,0.5759493670886076,0.5677769843530153
experiment_1_3_3,37,small_temporal_cnn,relative_10bin,,,,10,96.0,0.8943045361628835,0.6348029489573607,0.6420454545454546,0.6297176026378065,0.6149246586746587,0.6265822784810127,0.6123982721449612
experiment_1_3_3,37,small_temporal_gru,relative_10bin,,,,10,73.0,0.9583236602738819,0.6693753890445068,0.6761363636363636,0.6700754453342296,0.5565836940836941,0.569620253164557,0.5543092756489586
experiment_1_3_3,37,linear,relative_10bin,,,,10,,,0.74994650638033,0.7556818181818182,0.7494463765825327,0.7286220723720724,0.7215189873417721,0.7223291532756203
experiment_1_3_3,53,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,106.0,0.5162831564201884,0.4356855011460275,0.4472361809045226,0.4225469832935209,0.25053418803418803,0.25,0.23458704074829836
experiment_1_3_3,53,small_temporal_gru,raw_timestep,15.625,1.0,15.625,256,69.0,0.7584399263283549,0.341701275089433,0.34673366834170855,0.3213081502184708,0.3122086247086247,0.32857142857142857,0.28973686064837856
experiment_1_3_3,53,linear,raw_timestep,15.625,1.0,15.625,256,,,0.3437259012916907,0.35175879396984927,0.33986984331501474,0.2948717948717949,0.30714285714285716,0.29734996278950304
experiment_1_3_3,53,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,132.0,0.8340907505161913,0.617138265000107,0.628140703517588,0.6148023779419519,0.40117521367521364,0.40714285714285714,0.39134844289509596
experiment_1_3_3,53,small_temporal_gru,fixed_100ms,100.0,6.0,93.75,43,161.0,0.9981060606060606,0.5474964119700961,0.5577889447236181,0.5488707335379611,0.4524087024087024,0.4714285714285714,0.43766898627405876
experiment_1_3_3,53,linear,fixed_100ms,100.0,6.0,93.75,43,,,0.5646566335711073,0.5628140703517588,0.5614044075839154,0.46532634032634035,0.4785714285714286,0.4545816728908891
experiment_1_3_3,53,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,129.0,0.9008240438887735,0.7294450736884949,0.7386934673366834,0.7261069745698022,0.5057303807303808,0.5071428571428571,0.5011157525187121
experiment_1_3_3,53,small_temporal_gru,fixed_250ms,250.0,16.0,250.0,16,102.0,0.9970238095238094,0.6355299975365765,0.6432160804020101,0.641086267453854,0.4281759906759907,0.44285714285714284,0.4208360552420431
experiment_1_3_3,53,linear,fixed_250ms,250.0,16.0,250.0,16,,,0.6466038225906646,0.6532663316582915,0.6458885029735976,0.4664432789432789,0.4785714285714286,0.461972573070774
experiment_1_3_3,53,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,73.0,0.8375327478206697,0.660194690786796,0.6733668341708543,0.6592454883613421,0.5034965034965034,0.5071428571428571,0.48985891479793914
experiment_1_3_3,53,small_temporal_gru,fixed_500ms,500.0,32.0,500.0,8,97.0,0.9605794968699263,0.5873971119036908,0.5979899497487438,0.58634877662092,0.41418997668997665,0.42142857142857143,0.39256725198974607
experiment_1_3_3,53,linear,fixed_500ms,500.0,32.0,500.0,8,,,0.6480343486922434,0.6532663316582915,0.6484281963093633,0.6331585081585082,0.6285714285714286,0.6149478155943673
experiment_1_3_3,53,small_temporal_cnn,relative_10bin,,,,10,121.0,0.9283763761163422,0.726214173253647,0.7286432160804021,0.7227626955048354,0.5523989898989898,0.5642857142857143,0.5498085397495168
experiment_1_3_3,53,small_temporal_gru,relative_10bin,,,,10,63.0,0.8580027158365647,0.6337017758070389,0.6432160804020101,0.6301149759913125,0.5163170163170163,0.5428571428571428,0.507329988851728
experiment_1_3_3,53,linear,relative_10bin,,,,10,,,0.7747739407278881,0.7839195979899497,0.7850147052768022,0.6054778554778554,0.6285714285714286,0.6066854021570045
experiment_1_3_3,71,small_temporal_cnn,raw_timestep,15.625,1.0,15.625,256,55.0,0.3735363526575965,0.4244047619047618,0.45294117647058824,0.37616284817722406,0.32657854808590103,0.35,0.28900224139765135
experiment_1_3_3,71,small_temporal_gru,raw_timestep,15.625,1.0,15.625,256,42.0,0.5004670897805698,0.28213522588522594,0.2823529411764706,0.2601063081093801,0.23128501400560228,0.24444444444444444,0.20661999397771755
experiment_1_3_3,71,linear,raw_timestep,15.625,1.0,15.625,256,,,0.3366376678876679,0.34705882352941175,0.32578895376974515,0.34296802054154996,0.35555555555555557,0.3399861215741434
experiment_1_3_3,71,small_temporal_cnn,fixed_100ms,100.0,6.0,93.75,43,79.0,0.7407378323412747,0.565533424908425,0.5764705882352941,0.5634807642345946,0.5113649626517273,0.5222222222222223,0.5086100200077477
experiment_1_3_3,71,small_temporal_gru,fixed_100ms,100.0,6.0,93.75,43,151.0,0.9962504213009774,0.5607562576312576,0.5529411764705883,0.5459236750543995,0.476420985060691,0.4722222222222222,0.4672188527479128
experiment_1_3_3,71,linear,fixed_100ms,100.0,6.0,93.75,43,,,0.5629120879120879,0.5647058823529412,0.5554169011065563,0.5305526377217553,0.5333333333333333,0.5324733951772219
experiment_1_3_3,71,small_temporal_cnn,fixed_250ms,250.0,16.0,250.0,16,147.0,0.930451614460078,0.7008585164835165,0.7058823529411765,0.7010947550746401,0.5215190242763773,0.5277777777777778,0.5325410529408329
experiment_1_3_3,71,small_temporal_gru,fixed_250ms,250.0,16.0,250.0,16,82.0,0.9663090102498887,0.6157928876678878,0.6176470588235294,0.5993094437233759,0.4860615079365078,0.49444444444444446,0.48631405011227913
experiment_1_3_3,71,linear,fixed_250ms,250.0,16.0,250.0,16,,,0.6140796703296704,0.611764705882353,0.6067103510581772,0.6269286881419234,0.6333333333333333,0.6324110555949952
experiment_1_3_3,71,small_temporal_cnn,fixed_500ms,500.0,32.0,500.0,8,99.0,0.8834612152168643,0.6405181623931625,0.6529411764705882,0.644598841550596,0.5405228758169934,0.5555555555555556,0.538558324297738
experiment_1_3_3,71,small_temporal_gru,fixed_500ms,500.0,32.0,500.0,8,51.0,0.7430300290402833,0.5823450854700855,0.5941176470588235,0.5699086670762518,0.44829598506069096,0.4722222222222222,0.43619293499558925
experiment_1_3_3,71,linear,fixed_500ms,500.0,32.0,500.0,8,,,0.6281898656898656,0.6235294117647059,0.6176311926525054,0.5787406629318393,0.5833333333333334,0.5802832103683497
experiment_1_3_3,71,small_temporal_cnn,relative_10bin,,,,10,113.0,0.9064230385246729,0.6365766178266178,0.6470588235294118,0.6377481227158729,0.5691030578898225,0.5833333333333334,0.5685849137665994
experiment_1_3_3,71,small_temporal_gru,relative_10bin,,,,10,88.0,0.9882922422262639,0.6311584249084249,0.6294117647058823,0.6238800251153157,0.5577701914098973,0.5666666666666667,0.5619535930019801
experiment_1_3_3,71,linear,relative_10bin,,,,10,,,0.8394001831501833,0.8470588235294118,0.8424612621620735,0.7381273342670401,0.7444444444444445,0.7375975967647025
