model,representation,n_splits,mean_test_ba,sd_test_ba,mean_test_accuracy,mean_test_macro_f1,mean_val_ba,sd_val_ba
linear,fixed_100ms,5,0.4969574583912819,0.027172103680234753,0.5037877430443404,0.49576627655196415,0.49921464987254466,0.08293075277115142
linear,fixed_250ms,5,0.5848818284112401,0.08417764483369686,0.5908685802147506,0.5838919070044286,0.5955594822274388,0.08182213670365629
linear,fixed_500ms,5,0.6037656638024285,0.03439088566357605,0.603931103938613,0.5968833762023592,0.5771830775720094,0.0785610807379194
linear,raw_timestep,5,0.30519756523432995,0.029454370335148913,0.31677782335902915,0.2981798161494593,0.29408185338912896,0.04343320012770241
linear,relative_10bin,5,0.7147395700704524,0.07789580661279387,0.7213515613805251,0.7163938833556769,0.716128700018019,0.11760987129556241
small_temporal_cnn,fixed_100ms,5,0.4632636127489068,0.05824315706006291,0.4712700501839098,0.45871690763551437,0.5505025769867101,0.07285555334442864
small_temporal_cnn,fixed_250ms,5,0.5385372905961141,0.03080568409838735,0.5447186837811168,0.5415000690554695,0.6409602846986748,0.0818322336059736
small_temporal_cnn,fixed_500ms,5,0.5527319167760344,0.041766148289431204,0.5612913260188523,0.5495654715951364,0.627907644614301,0.05020391004967644
small_temporal_cnn,raw_timestep,5,0.31401520184608417,0.04372597546184965,0.33042894118682575,0.2799543886680801,0.3872268348409989,0.07604442782317922
small_temporal_cnn,relative_10bin,5,0.5770818710156945,0.02671487540023833,0.5924271839509986,0.5754830606008144,0.633127809153351,0.08776683513669262
small_temporal_gru,fixed_100ms,5,0.46148175626116805,0.11146203084775766,0.4681240931230204,0.4503767934277323,0.5126549121672961,0.05058071204426327
small_temporal_gru,fixed_250ms,5,0.5121336629057217,0.07322705966135484,0.5223808803416183,0.5033289489503145,0.576121268007878,0.07266908944185171
small_temporal_gru,fixed_500ms,5,0.5085508105728694,0.09337411551702508,0.5213979036291845,0.5001877957249014,0.5835794606866588,0.055729311648363214
small_temporal_gru,raw_timestep,5,0.24786268198032904,0.037423544592941414,0.25653300423145947,0.22685459547411635,0.28327640682903843,0.03766557773808524
small_temporal_gru,relative_10bin,5,0.536932110645346,0.07392856099836413,0.5507190776398028,0.5368149069868099,0.6090032624610797,0.053011018157387346
