epoch,train_objective_loss,train_loss,train_balanced_accuracy,train_accuracy,train_macro_f1,val_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,train_output_firing_rate,val_output_firing_rate,train_hidden1_firing_rate,val_hidden1_firing_rate
1,2.4849066734313965,2.483395221016624,0.08527131782945736,0.07474747474747474,0.01510863350485992,2.4849066734313965,0.08333333333333333,0.08839779005524862,0.01353637901861252,2.1043771043771045e-05,0.0,9.46969696969697e-05,8.093059392265193e-06
2,2.483395221016624,2.4758454187951906,0.08897685142629531,0.07878787878787878,0.022401318145998998,2.4849066734313965,0.08333333333333333,0.08839779005524862,0.01353637901861252,0.00010521885521885521,0.0,0.0002446338383838384,4.855835635359116e-05
3,2.4756141860075673,2.463605926494406,0.09305158805917146,0.08282828282828283,0.03025173661406931,2.4849066734313965,0.08333333333333333,0.08839779005524862,0.01353637901861252,0.00035774410774410775,0.0,0.0005760732323232323,0.00015376812845303866
4,2.4573980904588795,2.435278059737851,0.10455310474269018,0.09494949494949495,0.050104575810555885,2.4849066734313965,0.08333333333333333,0.08839779005524862,0.01353637901861252,0.000989057239057239,0.0,0.0010939472853535354,0.0003426061809392265
5,2.4129502479476157,2.35274394642223,0.1455809292007472,0.13737373737373737,0.10483921650675798,2.467249569971917,0.08888888888888889,0.09392265193370165,0.02409188034188034,0.0029882154882154882,0.0003453038674033149,0.002225378787878788,0.0008066082527624309
6,2.311692248932039,2.228445615672102,0.1845679491996425,0.17777777777777778,0.13931973374401682,2.3523759051581115,0.11493055555555555,0.12154696132596685,0.05878569966967756,0.009017255892255892,0.0027912062615101287,0.004563210227272727,0.00208800932320442
7,2.2045404429387565,2.1447106245792273,0.2245347466234672,0.21818181818181817,0.17435526466883508,2.2836029806189773,0.1638888888888889,0.1712707182320442,0.11639863130881095,0.015046296296296295,0.006733425414364641,0.006932607323232323,0.0036122021754143646
8,2.1091294856986615,2.0264782551563147,0.26689711769337654,0.26464646464646463,0.21220013689427097,2.27139607714026,0.1792483660130719,0.1878453038674033,0.1473359640526057,0.019444444444444445,0.010416666666666666,0.008900528724747475,0.004944859288674033
9,1.9936760285888055,1.849116778855372,0.31454811907665636,0.31717171717171716,0.27550928920661893,2.240278433699634,0.2001633986928105,0.20994475138121546,0.1834362848037261,0.020738636363636365,0.011222375690607736,0.01051037720959596,0.0059834685773480665
10,1.798928642513776,1.665707482231988,0.4135549752560273,0.4222222222222222,0.4060453805967415,2.1946446421396666,0.21525735294117646,0.2265193370165746,0.21338361173316736,0.031292087542087545,0.017927025782688767,0.013921440972222223,0.008179385359116022
11,1.6231831988903007,1.4688523506877398,0.47150804138170493,0.47878787878787876,0.47082065287051367,2.180731143740659,0.19215057817998993,0.19889502762430938,0.19463166685055744,0.04238215488215488,0.02517840699815838,0.01795000789141414,0.010739489813535912
12,1.4208964424903947,1.2823207999720718,0.5497399258898087,0.5636363636363636,0.5345203099662946,2.2283174069546865,0.2671568627450981,0.281767955801105,0.2745267401136249,0.05299873737373737,0.03297651933701658,0.022495462436868688,0.014049551104972375
13,1.2367829089212898,1.0882042601855115,0.6070349740917476,0.6242424242424243,0.5927298547362346,2.1968662659766265,0.3167452237305179,0.3314917127071823,0.32697665976686746,0.05526094276094276,0.0360554788213628,0.02690380366161616,0.0172759841160221
14,1.0592930829886233,0.9393331834764191,0.668886999988962,0.6868686868686869,0.6566107677691851,2.123991686994858,0.37444224484665667,0.39226519337016574,0.3785549924902904,0.055913299663299665,0.03752302025782689,0.03153803661616161,0.020764092714088397
15,0.9060335740898595,0.8352737537538162,0.6975963576546048,0.7151515151515152,0.6817240928963386,2.1141819084546842,0.3655982905982907,0.3812154696132597,0.3655289417188236,0.054156144781144784,0.03680363720073665,0.03578164457070707,0.02414159616712707
16,0.8130781605990246,0.7469679079874597,0.7270770906317775,0.7474747474747475,0.7079988218329302,2.0816086668994545,0.4188866892911011,0.43646408839779005,0.41988743384318106,0.05041035353535354,0.03524976979742173,0.03997198547979798,0.027548774171270718
17,0.7073050753034726,0.6372261529619043,0.7725977620110959,0.7919191919191919,0.763578962603182,2.1379027445671968,0.41951671694318754,0.43646408839779005,0.4225086709802592,0.0477483164983165,0.03346569981583794,0.043758877840909094,0.03057827607044199
18,0.626936105285028,0.5414915271479674,0.8178325680563058,0.8303030303030303,0.8169937221877338,2.0144427020246813,0.45071905899111786,0.44751381215469616,0.4517622647162578,0.05001052188552189,0.0351634438305709,0.0474777067550505,0.033712987741712705
19,0.5230781245713282,0.4642475698933457,0.8723625822721192,0.8727272727272727,0.8671741892047687,2.0829125669121082,0.4763014286911345,0.46408839779005523,0.48070583688743745,0.05899621212121212,0.04368093922651934,0.05093611900252525,0.036758675759668506
