epoch,train_objective_loss,train_loss,train_balanced_accuracy,train_accuracy,train_macro_f1,val_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,train_output_firing_rate,val_output_firing_rate,train_hidden1_firing_rate,train_hidden2_firing_rate,val_hidden1_firing_rate,val_hidden2_firing_rate
1,2.4849068583864153,2.484608525940866,0.08740806996620949,0.07676767676767676,0.019296700463997254,2.4849068420368003,0.08333333333333333,0.08839779005524862,0.01353637901861252,5.260942760942761e-05,0.0,8.779198232323232e-05,3.748421717171717e-05,1.3488432320441988e-05,0.0
2,2.4842844890825675,2.483873206437236,0.08921966416910805,0.07878787878787878,0.02286428110896196,2.4849068420368003,0.08333333333333333,0.08839779005524862,0.01353637901861252,0.0001473063973063973,0.0,0.00014500473484848486,9.666982323232323e-05,1.8883805248618784e-05,0.0
3,2.483686280491376,2.482723526039509,0.08921966416910805,0.07878787878787878,0.0228119669177544,2.4849068420368003,0.08333333333333333,0.08839779005524862,0.01353637901861252,0.0003893097643097643,0.0,0.00027915877525252526,0.00025548453282828285,5.665141574585635e-05,0.0
4,2.482656449019307,2.4822616933572172,0.09115764866523207,0.08080808080808081,0.026611192555493175,2.4849068420368003,0.08333333333333333,0.08839779005524862,0.01353637901861252,0.000505050505050505,0.0,0.0004172585227272727,0.0004369870580808081,0.00010251208563535911,0.0
5,2.481845639932035,2.481701961671463,0.09115764866523207,0.08080808080808081,0.026509991381856158,2.4849068420368003,0.08333333333333333,0.08839779005524862,0.01353637901861252,0.0005471380471380471,0.0,0.0005326704545454545,0.0005741003787878788,0.00014297738259668507,5.395372928176795e-06
6,2.4815314817910243,2.480777033410891,0.09505432262004558,0.08484848484848485,0.03742097086276119,2.4849068420368003,0.08333333333333333,0.08839779005524862,0.01353637901861252,0.0005892255892255892,0.0,0.0006776751893939394,0.0007901278409090909,0.00019423342541436463,1.8883805248618784e-05
7,2.48034312508323,2.479118223864623,0.09875222893423097,0.08888888888888889,0.04706283001909898,2.484653952372008,0.08368055555555555,0.08839779005524862,0.022624434389140274,0.000726010101010101,5.7550644567219155e-05,0.0009311868686868687,0.0011008522727272727,0.0003264200621546961,0.00011060514502762431
8,2.477688369847307,2.473828015664611,0.11570131129029008,0.10707070707070707,0.0764827607974881,2.4829378852528103,0.08402777777777777,0.08839779005524862,0.03527926322043969,0.0016835016835016834,0.0007193830570902394,0.0018189709595959596,0.0025508996212121214,0.0008254920580110497,0.0006960031077348066
9,2.4695787405726883,2.461383176572395,0.13696944883749737,0.13333333333333333,0.09171536747262131,2.4755953925749217,0.10555555555555556,0.11049723756906077,0.06202925614690321,0.005481902356902357,0.0030789594843462246,0.00357974273989899,0.007066761363636364,0.0020475440262430937,0.0031562931629834255
10,2.4587840494483406,2.454380681297996,0.12657969862216575,0.12525252525252525,0.07397257920214247,2.469301790163662,0.1013888888888889,0.10497237569060773,0.06416129670258908,0.010143097643097643,0.006733425414364641,0.005405618686868687,0.013764599116161616,0.0034152710635359114,0.007540033667127072
11,2.452502887417572,2.4468570169776376,0.13047637257697925,0.1292929292929293,0.07451138133151997,2.467225437006239,0.12256944444444444,0.1270718232044199,0.07528011204481792,0.010742845117845118,0.007337707182320442,0.006597222222222222,0.018253827335858584,0.0042407631215469616,0.010485907285911603
12,2.4456775173996435,2.4408605084274755,0.15005282466101474,0.14747474747474748,0.09482773496099393,2.4677391052246094,0.1277777777777778,0.13259668508287292,0.08730534260056733,0.009711700336700336,0.006531998158379374,0.007611268939393939,0.0224185211489899,0.004998813017955801,0.013383222548342542
13,2.4396121140682334,2.433713606150463,0.18562950104051149,0.1797979797979798,0.12640617388689077,2.4652218528874013,0.13233251633986928,0.13812154696132597,0.09061646814314599,0.008480639730639731,0.0051795580110497235,0.00845959595959596,0.025804924242424244,0.005489791954419889,0.015665465296961327
14,2.4304946229915427,2.422066263237385,0.20880619560513283,0.2080808080808081,0.16002008346661803,2.453700140694887,0.15614787581699346,0.16574585635359115,0.13259803921568628,0.014393939393939395,0.008949125230202578,0.009511126893939395,0.029613517992424242,0.006239748791436464,0.01815273221685083
15,2.420774782546843,2.4060018520162565,0.23061803282798055,0.22828282828282828,0.1735299482742614,2.4448362555951704,0.1397875816993464,0.14917127071823205,0.09608968658204652,0.029366582491582492,0.024890653775322284,0.01179470486111111,0.03941564078282828,0.007990547306629835,0.025266531422651933
16,2.399229707621565,2.3857782773297243,0.26436840370294534,0.2727272727272727,0.21756235558297043,2.438938528134678,0.16729983660130718,0.17679558011049723,0.13363017450403905,0.0305976430976431,0.028717771639042357,0.01436434659090909,0.05055733112373737,0.00990050932320442,0.03360777796961326
17,2.3840203029940827,2.3697048712258386,0.306881503378072,0.31717171717171716,0.24124407457046115,2.436350037379818,0.16270424836601308,0.1712707182320442,0.13091155245918887,0.03536405723905724,0.03565262430939226,0.016728811553030302,0.06052024147727273,0.011850936636740332,0.04242921270718232
18,2.362646060519748,2.3522211074829102,0.30977697790699316,0.3151515151515151,0.25571449594322404,2.4221933322716813,0.19203431372549018,0.20441988950276244,0.14659998545160594,0.040477693602693605,0.03766689686924494,0.01800820707070707,0.06689650410353536,0.01286256906077348,0.04732821132596685
19,2.3472935339417123,2.332901851576988,0.34798121241552177,0.3575757575757576,0.2696177404018621,2.4136336205413986,0.20095996732026145,0.2154696132596685,0.16475497044000126,0.03479587542087542,0.0321420349907919,0.019941603535353535,0.07309126420454545,0.01414397013121547,0.05197092973066298
