epoch,train_objective_loss,train_loss,train_balanced_accuracy,train_accuracy,train_macro_f1,val_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,train_output_firing_rate,val_output_firing_rate,train_hidden1_firing_rate,train_hidden2_firing_rate,val_hidden1_firing_rate,val_hidden2_firing_rate
1,2.4849069003278883,2.4849069003278883,0.08333333333333333,0.0762081784386617,0.01180195739781232,2.484906869056897,0.08333333333333333,0.07051282051282051,0.010978043912175649,0.0,0.0,1.5428961431226765e-05,0.0,0.0001439803685897436,5.321013621794872e-05
2,2.4849069003278883,2.4849069003278883,0.08333333333333333,0.0762081784386617,0.01180195739781232,2.484906869056897,0.08333333333333333,0.07051282051282051,0.010978043912175649,0.0,0.0,6.806894749070632e-05,0.0,0.00026292067307692306,9.703024839743589e-05
3,2.4849069003278883,2.4849069003278883,0.08333333333333333,0.0762081784386617,0.01180195739781232,2.4851748759929952,0.08333333333333333,0.07051282051282051,0.011178861788617886,0.0,0.0001669337606837607,0.0001978537407063197,1.724413336431227e-05,0.0005258413461538461,0.00028170072115384613
4,2.4849069003278883,2.4843186711733227,0.08810353409656546,0.08178438661710037,0.023960080870649974,2.485392215924385,0.08974358974358974,0.07692307692307693,0.0205761316872428,6.776641883519208e-05,0.0005675747863247864,0.00046649918680297396,0.00016518064591078066,0.0010141225961538462,0.0008294521233974359
5,2.4840634126202326,2.4812329364975145,0.10000829600132737,0.09479553903345725,0.04046616430260047,2.4813909897437463,0.10780885780885781,0.09615384615384616,0.03888888888888889,0.00046468401486988845,0.0018362713675213675,0.0008721901138475836,0.0005690564010223048,0.0017465444711538462,0.0023287259615384615
6,2.4796361276208247,2.474777635588522,0.10689397710303633,0.10594795539033457,0.0459403578528827,2.471331626940996,0.13111888111888112,0.12179487179487179,0.044532627865961204,0.0021782063197026023,0.005876068376068376,0.0017080767890334573,0.0024368683201672864,0.0031268780048076925,0.006544846754807692
7,2.473292354314301,2.466816171837562,0.10411293120352354,0.10780669144981413,0.05526885504285418,2.465412518916986,0.10676823176823176,0.10256410256410256,0.03911776945484811,0.006670151796778191,0.012887286324786324,0.002825315113847584,0.00643659967472119,0.004967322716346154,0.013844025440705128
8,2.4656402559528563,2.460304300138055,0.10657344977902468,0.11152416356877323,0.05530849873744562,2.459961298184517,0.10876623376623377,0.10897435897435898,0.04773678337285534,0.010929755266418836,0.019297542735042736,0.004105011326672863,0.011824937558085502,0.007161458333333333,0.022974258814102564
9,2.4598116537895343,2.455433585829894,0.11793708614266106,0.12267657992565056,0.06254646191746678,2.4572963897998514,0.12067099567099566,0.12179487179487179,0.05682024012834446,0.013630731102850062,0.023237179487179488,0.004943620759758364,0.0153872124767658,0.008595002003205128,0.029027694310897436
10,2.4544198424399566,2.449152397843542,0.1387157412854277,0.14312267657992564,0.07305511252879675,2.4542475908230514,0.1266233766233766,0.1282051282051282,0.05231800766283525,0.0153829770755886,0.025373931623931624,0.005040732458178439,0.015591419319237918,0.008695162259615384,0.029087164463141024
11,2.4474245269945563,2.441148954696372,0.1590956227280269,0.16171003717472118,0.08586285560923242,2.4505882202050624,0.1553030303030303,0.15384615384615385,0.0759797220323536,0.015276486988847584,0.026308760683760684,0.004814743552509293,0.014655698187732342,0.008388421474358974,0.027008839142628204
12,2.438981486075873,2.431044451809284,0.17683398192980074,0.17843866171003717,0.09509576768612914,2.4474878188891287,0.14772727272727273,0.14743589743589744,0.06535682023486901,0.020881737918215612,0.03428819444444445,0.0054990633712825275,0.016765835559944237,0.009314903846153846,0.029503455528846152
13,2.42657515018846,2.4187126850993215,0.18809829340904619,0.1895910780669145,0.107568243500886,2.4428739914527307,0.16843434343434346,0.16666666666666666,0.08469166175242027,0.025751239157372985,0.04056490384615385,0.007137256040892193,0.02238197752091078,0.011631109775641026,0.037594526241987176
14,2.4145504728125817,2.4049304347055998,0.2083754596563526,0.21189591078066913,0.13689820216927462,2.434503102913881,0.16046176046176044,0.16025641025641027,0.07934472934472935,0.02639986059479554,0.03902911324786325,0.00908947345492565,0.029559167344330856,0.014495067107371794,0.047983022836538464
15,2.40015609645489,2.3890352116198343,0.2558290467736623,0.26022304832713755,0.18570394985816283,2.421099595534496,0.19933677433677433,0.1987179487179487,0.11934243723833615,0.03340884448574969,0.04871127136752137,0.010503492390799257,0.03594494220492565,0.016635992588141024,0.056759565304487176
16,2.386791984387933,2.3750365134951794,0.28932857198982315,0.2955390334572491,0.20857025816227645,2.4173527436378675,0.20601065601065602,0.21153846153846154,0.12916682435415708,0.03453183085501859,0.04811030982905983,0.01169243000697026,0.04185695719098513,0.018285506810897436,0.06386468349358974
17,2.3732365959195842,2.360795132732746,0.29144729618759274,0.2955390334572491,0.20090398811402077,2.4109767094636574,0.19013764013764012,0.19230769230769232,0.11828690359630371,0.03274086121437422,0.04330261752136752,0.01335512749767658,0.04885626016496283,0.020548502604166668,0.07294483673878205
18,2.3577642795321667,2.3426043366854077,0.3342940409804927,0.3382899628252788,0.24045193457078326,2.393754304983677,0.20637140637140639,0.21153846153846154,0.132365836863588,0.03940133209417596,0.04891159188034188,0.015359984897769517,0.05731405378717472,0.023597130408653848,0.08365885416666667
