epoch,train_objective_loss,train_loss,train_balanced_accuracy,train_accuracy,train_macro_f1,val_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,train_output_firing_rate,val_output_firing_rate,train_hidden1_firing_rate,val_hidden1_firing_rate
1,2.4849066734313965,2.4830907815657324,0.08527131782945736,0.07966457023060797,0.015808671510425896,2.4849066734313965,0.08333333333333333,0.07738095238095238,0.011970534069981583,1.0918937805730258e-05,0.0,8.7010285639413e-05,2.4704706101190477e-05
2,2.481608671212346,2.474615851788151,0.08914938420752373,0.08385744234800839,0.023435392318794674,2.4849066734313965,0.08333333333333333,0.07738095238095238,0.011970534069981583,8.735150244584206e-05,0.0,0.00018272159984276728,7.411411830357142e-05
3,2.472514464920172,2.4624351155582964,0.09331605087419041,0.0880503144654088,0.031552565312017035,2.487033934820266,0.07692307692307693,0.07142857142857142,0.011111111111111112,0.00040400069881201954,9.300595238095238e-05,0.00044682340801886793,0.0002514067150297619
4,2.451300287146738,2.4167758283875025,0.11934452951894814,0.11530398322851153,0.07550183123668162,2.5196747666313533,0.07051282051282051,0.06547619047619048,0.01053639846743295,0.0013757861635220125,0.0013020833333333333,0.0010932586477987421,0.0006728399367559524
5,2.3837655395331874,2.3186272770103917,0.1420939225808412,0.14046121593291405,0.11310372000870893,2.5684582619439986,0.06810897435897435,0.06547619047619048,0.023583662714097495,0.004454926624737945,0.003937251984126984,0.002264314727463312,0.0014241536458333333
6,2.2799069711497246,2.231766410343802,0.16563363754497476,0.16771488469601678,0.13105985165521508,2.616701228278024,0.09443681318681318,0.09523809523809523,0.05643678407810202,0.011890723270440252,0.00855654761904762,0.004141177771226415,0.0026157924107142855
7,2.171475844313264,2.076870558396825,0.21303713625661302,0.2138364779874214,0.1729079509727046,2.483712525594802,0.09489468864468864,0.09523809523809523,0.052593954248366014,0.020756900768693222,0.013702876984126984,0.005568146455712788,0.003391810825892857
8,2.0404524510761477,1.9614987213406674,0.2712868122388471,0.2746331236897275,0.24272895657772045,2.4557398160298667,0.12557234432234432,0.125,0.08685290859424089,0.03181778476589797,0.01953125,0.007226460134958071,0.00435820079985119
9,1.9163061125473406,1.8134251842958622,0.3335772805612922,0.33962264150943394,0.2873460848238963,2.408140159788586,0.14548992673992675,0.1488095238095238,0.1186745426732911,0.03155573025856045,0.01953125,0.008321766083595387,0.005049932570684524
10,1.7786232185563702,1.6669759308017276,0.3921559556007231,0.39622641509433965,0.35893064945618214,2.4710719131288075,0.14903846153846154,0.15476190476190477,0.12641440853784705,0.02794156184486373,0.017609126984126984,0.009538374606918238,0.005843389601934524
11,1.6173143609264862,1.495166837044482,0.4600352032038079,0.4612159329140461,0.43558619553033145,2.4258310794830322,0.17525183150183152,0.17857142857142858,0.15568512952575173,0.032374650593990216,0.019872271825396824,0.01158977004716981,0.007112048921130952
12,1.42818154703896,1.3258925526397034,0.5474866501392665,0.5534591194968553,0.5347551406496872,2.3448476564316523,0.21047008547008547,0.21428571428571427,0.21003180704460223,0.03951563591893781,0.02328249007936508,0.014533788653039833,0.008879162016369048
13,1.2829640661395572,1.1707876558323826,0.5918876248454736,0.6037735849056604,0.5670911898912855,2.37484503927685,0.22687728937728938,0.23214285714285715,0.21017556336183787,0.04810883997204752,0.027963789682539684,0.018057705221436057,0.011032831101190476
14,1.1535787399959765,1.059272033613433,0.6245355041503297,0.639412997903564,0.587314987180014,2.3814013571966264,0.2584134615384615,0.26785714285714285,0.23925389098018982,0.05184311670160727,0.03140500992063492,0.02115936599187631,0.013032459077380952
15,1.0451147716250309,0.9813429355871253,0.6541818457879504,0.6687631027253669,0.6224390418875787,2.36251087415786,0.2844551282051282,0.2976190476190476,0.2743430225865479,0.05152646750524109,0.03156001984126984,0.023716444739255764,0.014838809058779762
16,0.9579802898990784,0.8940325443099879,0.6933868376455585,0.7085953878406709,0.6591428521056457,2.351848250343686,0.28416895604395603,0.2976190476190476,0.2694415024109685,0.048720300489168415,0.029358878968253968,0.026061116024633124,0.016342889694940476
17,0.8738019646338697,0.7879389471977761,0.7293254387731132,0.7463312368972747,0.7015677242814459,2.3607204301016673,0.2825091575091575,0.2976190476190476,0.26612469696916435,0.0441343466107617,0.026258680555555556,0.028421653891509434,0.017739432198660716
18,0.7833239676067664,0.729745565595367,0.7297968262357797,0.7484276729559748,0.7089215175259076,2.33249256724403,0.2877174908424908,0.30357142857142855,0.28765002970885317,0.04670029699510832,0.028738839285714284,0.030366589688155136,0.01911126999627976
19,0.7203741599678744,0.6457289266136458,0.7718839985918474,0.7861635220125787,0.764202385608035,2.3152386120387485,0.35241147741147744,0.36904761904761907,0.3409107594937945,0.046296296296296294,0.028273809523809524,0.03192458562631027,0.020064581008184524
20,0.6160447576260917,0.5691691405243344,0.8206622552189412,0.8238993710691824,0.824969007298717,2.3268988927205405,0.34050671550671546,0.35119047619047616,0.3374519553133033,0.05074030398322851,0.030815972222222224,0.03373081679114256,0.021135602678571428
21,0.5559651051302376,0.5275680493383788,0.8369650415798672,0.8385744234800838,0.8355670974765975,2.3007086912790933,0.31064942002442003,0.32142857142857145,0.3126210803099319,0.05543544723969252,0.034660218253968256,0.03546129782494759,0.02231561569940476
22,0.5052667070234846,0.46896858478991993,0.8427475705818729,0.8469601677148847,0.8436811560916668,2.305550983973912,0.31982600732600736,0.3273809523809524,0.3182061653853983,0.05772842417889588,0.038411458333333336,0.037127288882337524,0.023550851004464284
23,0.46285626011074715,0.42959439082840456,0.8603920385170385,0.8658280922431866,0.8607903196121822,2.27425818216233,0.3548076923076923,0.3630952380952381,0.35878696599728005,0.05987945492662474,0.04138764880952381,0.03861721206761006,0.024623325892857144
24,0.4173524243526739,0.38032684517356585,0.8783861568018545,0.8825995807127882,0.8810077554060972,2.273340861002604,0.3769192612942613,0.3869047619047619,0.3843284465582543,0.061888539482879104,0.0437437996031746,0.04029088050314465,0.02579461960565476
25,0.36254391805180963,0.31590578594172775,0.9061536291550826,0.9077568134171907,0.9070385808412036,2.2610092617216564,0.3886370573870574,0.39880952380952384,0.39407492153462614,0.06414875960866527,0.04656498015873016,0.04210069444444445,0.02701968238467262
26,0.30903609668683707,0.27197767234948195,0.9230699976702884,0.9245283018867925,0.9221100823988144,2.3212416626158214,0.3789644383394383,0.3869047619047619,0.3822573327367272,0.06566649196366177,0.04827008928571429,0.043963226382337524,0.028323218936011904
