timestep,true_class,competitor_class,evidence_true,evidence_competitor,mem_beta1_true,mem_beta1_competitor,spike_beta1_true,spike_beta1_competitor,mem_beta05_true,mem_beta05_competitor,spike_beta05_true,spike_beta05_competitor,cumulative_evidence_true,cumulative_evidence_competitor,cumulative_spike_beta1_true,cumulative_spike_beta05_true
0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,6,1,0.08293774724006653,0.0019630983006209135,0.08293774724006653,0.0019630983006209135,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
25,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,0.041468873620033264,0.0009815491503104568,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
26,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,0.020734436810016632,0.0004907745751552284,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
27,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,0.010367218405008316,0.0002453872875776142,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
28,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,0.005183609202504158,0.0001226936437888071,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
29,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,0.002591804601252079,6.134682189440355e-05,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
30,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,0.0012959023006260395,3.0673410947201774e-05,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
31,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,0.0006479511503130198,1.5336705473600887e-05,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
32,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,0.0003239755751565099,7.668352736800443e-06,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
33,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,0.00016198778757825494,3.834176368400222e-06,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
34,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,8.099389378912747e-05,1.917088184200111e-06,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
35,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,4.0496946894563735e-05,9.585440921000554e-07,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
36,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,2.0248473447281867e-05,4.792720460500277e-07,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
37,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,1.0124236723640934e-05,2.3963602302501386e-07,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
38,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,5.062118361820467e-06,1.1981801151250693e-07,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
39,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,2.5310591809102334e-06,5.990900575625346e-08,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
40,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,1.2655295904551167e-06,2.995450287812673e-08,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
41,6,1,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0,6.327647952275584e-07,1.4977251439063366e-08,0.0,0.0,0.08293774724006653,0.0019630983006209135,0.0,0.0
42,6,1,0.010521740652620792,0.0494719073176384,0.09345948789268732,0.05143500561825931,0.0,0.0,0.010522057035018406,0.04947191480626412,0.0,0.0,0.09345948789268732,0.05143500561825931,0.0,0.0
43,6,1,0.0,0.0,0.09345948789268732,0.05143500561825931,0.0,0.0,0.005261028517509203,0.02473595740313206,0.0,0.0,0.09345948789268732,0.05143500561825931,0.0,0.0
44,6,1,0.010521740652620792,0.0494719073176384,0.10398122854530811,0.10090691293589771,0.0,0.0,0.013152254911375394,0.061839886019204426,0.0,0.0,0.10398122854530811,0.10090691293589771,0.0,0.0
45,6,1,0.0,0.0,0.10398122854530811,0.10090691293589771,0.0,0.0,0.006576127455687697,0.030919943009602213,0.0,0.0,0.10398122854530811,0.10090691293589771,0.0,0.0
46,6,1,0.0,0.0,0.10398122854530811,0.10090691293589771,0.0,0.0,0.0032880637278438485,0.015459971504801107,0.0,0.0,0.10398122854530811,0.10090691293589771,0.0,0.0
47,6,1,0.018412722274661064,0.07606354355812073,0.12239395081996918,0.17697045649401844,0.0,0.0,0.02005675413858299,0.08379352931052128,0.0,0.0,0.12239395081996918,0.17697045649401844,0.0,0.0
48,6,1,0.010521740652620792,0.0494719073176384,0.13291569147258997,0.22644236381165683,0.0,0.0,0.020550117721912287,0.09136867197289904,0.0,0.0,0.13291569147258997,0.22644236381165683,0.0,0.0
49,6,1,0.0,0.0,0.13291569147258997,0.22644236381165683,0.0,0.0,0.010275058860956143,0.04568433598644952,0.0,0.0,0.13291569147258997,0.22644236381165683,0.0,0.0
50,6,1,0.010521740652620792,0.0494719073176384,0.14343743212521076,0.27591427112929523,0.0,0.0,0.015659270083098864,0.07231407531086316,0.0,0.0,0.14343743212521076,0.27591427112929523,0.0,0.0
51,6,1,0.0,0.0,0.14343743212521076,0.27591427112929523,0.0,0.0,0.007829635041549432,0.03615703765543158,0.0,0.0,0.14343743212521076,0.27591427112929523,0.0,0.0
52,6,1,0.010521740652620792,0.0494719073176384,0.15395917277783155,0.3253861784469336,0.0,0.0,0.014436558173395508,0.06755042614535418,0.0,0.0,0.15395917277783155,0.3253861784469336,0.0,0.0
53,6,1,0.0,0.0,0.15395917277783155,0.3253861784469336,0.0,0.0,0.007218279086697754,0.03377521307267709,0.0,0.0,0.15395917277783155,0.3253861784469336,0.0,0.0
54,6,1,0.0,0.0,0.15395917277783155,0.3253861784469336,0.0,0.0,0.003609139543348877,0.016887606536338546,0.0,0.0,0.15395917277783155,0.3253861784469336,0.0,0.0
55,6,1,0.010521740652620792,0.0494719073176384,0.16448091343045235,0.374858085764572,0.0,0.0,0.012326310424295231,0.05791571058580767,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0
56,6,1,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0,0.0061631552121476155,0.028957855292903834,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0
57,6,1,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0,0.0030815776060738077,0.014478927646451917,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0
58,6,1,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0,0.0015407888030369039,0.0072394638232259586,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0
59,6,1,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0,0.0007703944015184519,0.0036197319116129793,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0
60,6,1,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0,0.00038519720075922597,0.0018098659558064896,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0
61,6,1,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0,0.00019259860037961298,0.0009049329779032448,0.0,0.0,0.16448091343045235,0.374858085764572,0.0,0.0
