architecture,training_family,regularization,n,lambda_rate_mean,lambda_persist_mean,achieved_rate_grad_ratio_mean,achieved_persist_grad_ratio_mean,lambda_rate_std,lambda_persist_std,achieved_rate_grad_ratio_std,achieved_persist_grad_ratio_std
234x234,e2e_wc,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234x234,e2e_wc,task_plus_reg,3,0.040485825060284586,0.014492372841363886,0.025000000000000005,0.05000000000000001,0.016712571757858778,0.006475688548372843,0.0,0.0
234x234,local_tsce,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234x234,local_tsce,task_plus_reg,3,0.07356083983080225,0.025928375069849918,0.024999999999999998,0.049999999999999996,0.008261924670266844,0.005399292864936147,2.4532694666933987e-18,0.0
34x234,e2e_wc,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34x234,e2e_wc,task_plus_reg,3,0.03449336753730491,0.012459537371665485,0.025000000000000005,0.05000000000000001,0.010515002210608797,0.0049451406213356685,0.0,0.0
34x234,local_tsce,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34x234,local_tsce,task_plus_reg,3,0.07231067331616088,0.02494627524741525,0.025000000000000005,0.05000000000000001,0.005619392429775329,0.003781423052663859,0.0,0.0
34x34,e2e_wc,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34x34,e2e_wc,task_plus_reg,3,0.04469838215441252,0.01577574408963665,0.025000000000000005,0.049999999999999996,0.011201333576541062,0.005098869250056766,0.0,0.0
34x34,local_tsce,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34x34,local_tsce,task_plus_reg,3,0.072785427799003,0.025145259230048577,0.025000000000000005,0.05000000000000001,0.0050997413492841264,0.003356804265393786,2.4532694666933987e-18,0.0
34x345,e2e_wc,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34x345,e2e_wc,task_plus_reg,3,0.05127282852965662,0.01584967996343682,0.024999999999999998,0.05000000000000001,0.012520822264464307,0.005354101793415158,0.0,0.0
34x345,local_tsce,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34x345,local_tsce,task_plus_reg,3,0.074692082651034,0.022586200702396225,0.024999999999999998,0.049999999999999996,0.004009845244087359,0.003462867237618182,0.0,4.9065389333867974e-18
34x45,e2e_wc,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34x45,e2e_wc,task_plus_reg,3,0.05923028113515968,0.017440848048562173,0.024999999999999998,0.05000000000000001,0.008423564762051415,0.0034774693752771843,0.0,6.938893903907228e-18
34x45,local_tsce,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34x45,local_tsce,task_plus_reg,3,0.07298510130000636,0.02134133060842018,0.024999999999999998,0.049999999999999996,0.005094283150102855,0.003446309128124636,2.4532694666933987e-18,4.9065389333867974e-18
4x4,e2e_wc,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4x4,e2e_wc,task_plus_reg,3,0.05421721612940833,0.016541910366881126,0.025000000000000005,0.05000000000000001,0.022528568419800447,0.007602021101668222,0.0,0.0
4x4,local_tsce,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4x4,local_tsce,task_plus_reg,3,0.06544683361731879,0.01932443020062578,0.024999999999999998,0.049999999999999996,0.002795940992123393,0.001731429868624004,2.4532694666933987e-18,4.9065389333867974e-18
5x5,e2e_wc,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5x5,e2e_wc,task_plus_reg,3,0.06798863598616942,0.015950290970750573,0.024999999999999998,0.05000000000000001,0.009680126557641396,0.0028499104002317585,0.0,0.0
5x5,local_tsce,task_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5x5,local_tsce,task_plus_reg,3,0.06863927734162827,0.015996916782884018,0.024999999999999998,0.05000000000000001,0.002707610132780046,0.0008904803654775361,0.0,4.9065389333867974e-18
